,Adj-r_sq,F-statistics,HML %,P(F-value),Rm-Rf %,SMB %,Symbol,WML %,const,high-low
272,0.0589,16.0796,0.0005,0.0,0.0,0.0,SOLARINDS,0.0702,0.4063,0.9021
273,0.2401,78.739,0.0,0.0,0.0,0.0,PNB,0.0005,0.8776,0.1849
274,0.1885,57.3909,0.0,0.0,0.0,0.0,BFINVEST,0.296,0.1231,0.5544
275,0.2489,82.501,0.0,0.0,0.0,0.0,FEDDERELEC,0.0529,0.9044,0.8843
276,0.191,59.0878,0.0,0.0,0.0,0.0,PREMIER,0.3517,0.254,0.2475
277,0.0443,12.3947,0.2985,0.0,0.0,0.2035,CADILAHC,0.0004,0.8986,0.1701
278,0.039,10.9845,0.4607,0.0,0.0,0.8758,TECHM,0.0054,0.9501,0.9019
279,0.113,31.6619,0.6246,0.0,0.0,0.1946,SUNCLAYLTD,0.0385,0.0001,0.6891
280,0.1363,39.8158,0.0,0.0,0.0,0.0001,MAHINDCIE,0.4326,0.0852,0.3575
281,0.2544,84.9183,0.0,0.0,0.0,0.0,KEI,0.0268,0.0033,0.8962
282,0.1181,33.9317,0.0018,0.0,0.0,0.0,COMPUSOFT,0.1956,0.736,0.0251
283,0.2654,79.186,0.0,0.0,0.0,0.0,GSCLCEMENT,0.0004,0.991,0.0507
284,0.2285,73.8579,0.0326,0.0,0.0,0.0,KEC,0.3946,0.041,0.1991
285,0.2204,29.3217,0.0238,0.0,0.0,0.0,LINCOLN,0.0457,0.6693,0.0526
286,0.0692,17.2858,0.0024,0.0,0.0,0.0,GOKUL,0.0574,0.7601,0.0525
287,0.1966,61.1987,0.0,0.0,0.0,0.0,MUNJALAU,0.3763,0.5424,0.5749
288,0.2482,78.0734,0.0001,0.0,0.0,0.0,TINPLATE,0.6135,0.1102,0.2009
289,0.1487,43.956,0.0014,0.0,0.0,0.0,VARDHACRLC,0.3402,0.1024,0.7632
290,0.1586,47.3712,0.4116,0.0,0.0,0.0,BAJAJELEC,0.8524,0.3699,0.1721
291,0.0659,8.9464,0.0036,0.0,0.0271,0.0043,ARIHANT,0.1838,0.5927,0.5982
292,0.2076,65.4677,0.0,0.0,0.0,0.0,INDRAMEDCO,0.8093,0.5509,0.202
293,0.1931,59.8683,0.7691,0.0,0.0,0.0704,ZEEL,0.0059,0.0929,0.7592
294,0.0627,16.8334,0.0787,0.0,0.0,0.0027,GANDHITUBE,0.2874,0.1982,0.736
295,0.166,49.9724,0.7016,0.0,0.0,0.0,BLUESTARCO,0.3666,0.0093,0.9431
296,0.0491,13.7052,0.0025,0.0,0.0,0.1956,HCLTECH,0.033,0.3228,0.8476
297,0.4043,167.9531,0.0,0.0,0.0,0.0678,DLF,0.0,0.6967,0.4787
298,0.1292,37.3543,0.0,0.0,0.0,0.0,SICAGEN,0.9892,0.3143,0.6507
299,0.3353,124.079,0.0,0.0,0.0,0.0,JINDALSAW,0.0001,0.7907,0.1322
300,0.0433,11.9069,0.1564,0.0,0.0,0.0,KIRLOSIND,0.4814,0.0942,0.3269
301,0.2118,67.1148,0.0,0.0,0.0,0.0,APARINDS,0.0494,0.0487,0.9932
302,0.0976,14.1946,0.7006,0.0,0.0,0.7074,MANPASAND,0.3529,0.5825,0.5415
303,0.2097,65.4185,0.0,0.0,0.0,0.0,HINDMOTORS,0.1525,0.8969,0.8719
304,0.0746,20.4102,0.0003,0.0,0.0,0.0,WELSPUNIND,0.0485,0.2856,0.1029
305,0.245,80.8236,0.6145,0.0,0.0,0.3273,NTPC,0.0224,0.3717,0.3049
306,0.0741,17.9427,0.0017,0.0,0.0005,0.0,SPLIL,0.534,0.2115,0.0679
307,0.2106,66.61,0.0004,0.0,0.0,0.0,ESSELPACK,0.0161,0.004,0.5015
308,0.406,169.117,0.52,0.0,0.0,0.9592,SIEMENS,0.0018,0.2425,0.0285
309,0.1522,43.2553,0.0182,0.0,0.0,0.0001,SPARC,0.6787,0.1948,0.42
310,0.0631,17.566,0.0012,0.0,0.0,0.0007,KIRLOSENG,0.814,0.2519,0.3518
311,0.0974,24.4615,0.0,0.0,0.0,0.0,CENTUM,0.7451,0.0239,0.9004
312,0.1989,62.017,0.0,0.0,0.0,0.0,KABRAEXTRU,0.8811,0.1974,0.2864
313,0.1775,53.6222,0.0,0.0,0.0,0.0,RNAVAL,0.1344,0.4279,0.5208
314,0.0794,19.274,0.0006,0.0,0.0003,0.0,NAGREEKEXP,0.6115,0.3267,0.9164
315,0.1389,39.4954,0.0,0.0,0.0,0.0,BANARISUG,0.6015,0.3582,0.0868
316,0.1676,48.2312,0.0,0.0,0.0,0.0,ASSAMCO,0.0129,0.825,0.944
317,0.0493,8.3111,0.0153,0.0,0.0154,0.0,STEL,0.3583,0.1282,0.2616
318,0.106,28.581,0.0009,0.0,0.0,0.0,MINDAIND,0.2639,0.0417,0.1502
319,0.2559,83.8054,0.0022,0.0,0.0,0.0,PRSMJOHNSN,0.3317,0.4658,0.5526
320,0.1695,49.6646,0.0,0.0,0.0,0.0,TEXMOPIPES,0.7326,0.3745,0.7527
321,0.173,52.4708,0.0,0.0,0.0,0.0,AVTNPL,0.4238,0.7354,0.248
322,0.1557,45.9513,0.0001,0.0,0.0,0.0,SUNILHITEC,0.32,0.865,0.2941
323,0.3017,107.2993,0.0,0.0,0.0,0.13,MRF,0.0821,0.006,0.0036
324,0.1668,50.2517,0.0,0.0,0.0,0.0,GUJALKALI,0.0219,0.0713,0.3339
325,0.0342,9.7199,0.1403,0.0,0.0,0.521,GOLDBEES,0.4723,0.1654,0.2364
326,0.0841,21.3892,0.0157,0.0,0.0,0.0,VSSL,0.1449,0.1345,0.2099
327,0.149,25.162,0.0732,0.0,0.0,0.0,HESTERBIO,0.347,0.0488,0.0653
328,0.0845,23.2019,0.8159,0.0,0.0,0.0004,ESABINDIA,0.2337,0.3285,0.2695
329,0.1873,56.9596,0.0,0.0,0.0,0.0,SELMCL,0.0011,0.8784,0.4071
330,0.0851,18.018,0.0,0.0,0.0001,0.0,PNC,0.3311,0.4338,0.1267
331,0.0659,17.8928,0.0273,0.0,0.0,0.0377,RESPONIND,0.2491,0.5162,0.0806
332,0.1485,27.0263,0.2234,0.0,0.0,0.0,MONTECARLO,0.1839,0.8424,0.5816
333,0.1263,36.5663,0.053,0.0,0.0,0.0014,SOBHA,0.1536,0.4788,0.0484
334,0.0193,4.661,0.063,0.0003,0.0273,0.0004,TARMAT,0.7191,0.2149,0.3416
335,0.1882,58.0327,0.2713,0.0,0.0,0.0007,RAMCOCEM,0.4927,0.0339,0.0085
336,0.1357,39.6127,0.8604,0.0,0.0,0.0,TRITURBINE,0.0111,0.1801,0.1907
337,0.1437,42.2937,0.1191,0.0,0.0,0.0,GREAVESCOT,0.0319,0.1997,0.13
338,0.1168,33.5326,0.8089,0.0,0.0,0.1128,LUPIN,0.0008,0.5598,0.734
339,0.1833,56.215,0.0176,0.0,0.0,0.0,EROSMEDIA,0.183,0.9808,0.5329
340,0.0095,3.1559,0.8375,0.0078,0.0005,0.4676,GALLISPAT,0.6309,0.0273,0.0176
341,0.1724,50.7111,0.0,0.0,0.0,0.0,GAYAPROJ,0.064,0.2777,0.223
342,0.2648,89.5907,0.0,0.0,0.0,0.0013,JPPOWER,0.0,0.7022,0.2484
343,0.1395,39.0299,0.0,0.0,0.0,0.0,MBLINFRA,0.0404,0.3905,0.3703
344,0.1518,42.0974,0.0,0.0,0.0,0.0,WELENT,0.1854,0.1218,0.122
345,0.0842,23.6287,0.0001,0.0,0.0,0.0,TIDEWATER,0.7951,0.7111,0.0071
346,0.1435,42.218,0.0122,0.0,0.0,0.0,AARTIIND,0.1807,0.0021,0.2277
347,0.1268,34.8509,0.0049,0.0,0.0,0.0,AURIONPRO,0.1763,0.6528,0.3599
348,0.0776,21.1312,0.0253,0.0,0.0,0.0,SANWARIA,0.2502,0.7371,0.4477
349,0.0306,8.7599,0.057,0.0,0.0,0.2261,QGOLDHALF,0.1275,0.2177,0.1009
350,0.3476,132.0683,0.0,0.0,0.0,0.0011,JPASSOCIAT,0.0,0.6197,0.6098
351,0.2436,80.213,0.0,0.0,0.0,0.0,HBLPOWER,0.797,0.344,0.0312
352,0.0805,22.5229,0.0018,0.0,0.0,0.0,20MICRONS,0.6651,0.5564,0.573
353,0.0168,4.4172,0.3658,0.0006,0.0041,0.0147,VIVIDHA,0.76,0.2349,0.8753
354,0.4005,165.3601,0.0,0.0,0.0,0.0001,UNITECH,0.0002,0.5092,0.1715
355,0.0893,23.3935,0.0086,0.0,0.0,0.0,SUTLEJTEX,0.2491,0.7944,0.4064
356,0.1537,45.671,0.7559,0.0,0.0,0.0002,AMARAJABAT,0.0104,0.1143,0.5923
357,0.1488,31.9687,0.0497,0.0,0.0,0.0038,WONDERLA,0.0544,0.379,0.5169
358,0.2138,67.9012,0.0,0.0,0.0,0.0,SBIN,0.2665,0.7155,0.0037
359,0.1061,30.1955,0.0036,0.0,0.0,0.0,PANACEABIO,0.3835,0.5005,0.1436
360,0.2168,67.6433,0.0,0.0,0.0,0.0,SUBROS,0.4397,0.0455,0.1405
361,0.1473,19.6589,0.0021,0.0,0.0001,0.0,ORTINLABSS,0.8103,0.3883,0.706
362,0.1005,24.2818,0.0034,0.0,0.0,0.0,INDBANK,0.2255,0.0955,0.0017
363,0.2657,87.3494,0.0,0.0,0.0,0.0,MADHUCON,0.3615,0.9287,0.1921
364,0.0902,23.0215,0.0056,0.0,0.0,0.0,ONWARDTEC,0.1459,0.3601,0.039
365,0.1277,33.3456,0.0,0.0,0.0,0.0,NAHARPOLY,0.5886,0.2925,0.7494
366,0.0979,27.693,0.3958,0.0,0.0,0.1604,IDEA,0.2069,0.4515,0.1903
367,0.0769,20.7189,0.034,0.0,0.0,0.0,TREEHOUSE,0.8395,0.0393,0.0723
368,0.0309,7.6859,0.0216,0.0,0.0006,0.0,INDOSOLAR,0.8791,0.3569,0.1435
369,0.2229,42.1417,0.0,0.0,0.0,0.0,CCHHL,0.016,0.7079,0.2137
370,0.0899,25.3063,0.1578,0.0,0.0,0.0129,KAJARIACER,0.3632,0.1134,0.2294
371,0.1622,46.6959,0.0107,0.0,0.0,0.0,BBL,0.6953,0.202,0.7058
372,0.0485,7.2561,0.0453,0.0,0.0234,0.0001,MANAKSTEEL,0.9216,0.2854,0.5848
373,0.1329,38.6961,0.1679,0.0,0.0,0.0019,SWARAJENG,0.9428,0.0133,0.0174
374,0.2568,85.9847,0.0,0.0,0.0,0.0,DREDGECORP,0.0,0.1045,0.9981
375,0.1565,46.6404,0.0,0.0,0.0,0.0,KRBL,0.3606,0.0001,0.9514
376,0.1125,30.1273,0.0003,0.0,0.0,0.0,GEECEE,0.1504,0.2377,0.455
377,0.028,6.2757,0.8544,0.0,0.0001,0.2336,MOHOTAIND,0.677,0.0616,0.8743
378,0.1251,33.8017,0.0001,0.0,0.0,0.0,INDOTECH,0.7807,0.5519,0.3408
379,0.1856,57.0803,0.0001,0.0,0.0,0.0,SHANTIGEAR,0.4141,0.326,0.6378
380,0.204,64.0437,0.0224,0.0,0.0,0.0,JKLAKSHMI,0.0044,0.1851,0.6525
381,0.1699,51.3645,0.9945,0.0,0.0,0.4934,OIL,0.0495,0.6628,0.0045
382,0.1728,46.654,0.0001,0.0,0.0,0.0,FCONSUMER,0.5719,0.105,0.3632
383,0.1671,50.3501,0.3531,0.0,0.0,0.9304,BHARATFORG,0.2306,0.1517,0.4727
384,0.1741,48.5302,0.0,0.0,0.0,0.0,PSL,0.0101,0.1024,0.0092
385,0.0666,11.2896,0.1047,0.0,0.0168,0.0,GULPOLY,0.7856,0.6939,0.1053
386,0.0799,21.6292,0.0076,0.0,0.0,0.0,CELESTIAL,0.0988,0.6302,0.0868
387,0.1147,18.9857,0.0253,0.0,0.0,0.0,MENONBE,0.4333,0.8096,0.9353
388,0.0788,17.789,0.0006,0.0,0.0,0.0,PATSPINLTD,0.0473,0.1399,0.8991
389,0.0536,14.9265,0.685,0.0,0.0,0.3334,IGL,0.5315,0.2232,0.1012
390,0.2655,89.9254,0.0035,0.0,0.0,0.7317,IDFC,0.083,0.5227,0.6204
391,0.3097,111.3652,0.0208,0.0,0.0,0.0,JMFINANCIL,0.9902,0.0471,0.0345
392,0.2049,60.8378,0.0,0.0,0.0,0.0,TRIVENI,0.3067,0.2737,0.8009
393,0.077,20.2115,0.0,0.0,0.0061,0.0,ZODIACLOTH,0.0223,0.6708,0.0146
394,0.1109,31.6961,0.2171,0.0,0.0,0.1055,PETRONET,0.4059,0.2374,0.0716
395,0.1146,31.2469,0.0,0.0,0.0,0.0,VISASTEEL,0.2657,0.8442,0.7966
396,0.0346,9.8265,0.0564,0.0,0.0004,0.0004,CYIENT,0.0073,0.0535,0.9887
397,0.1448,42.6473,0.0,0.0,0.0,0.0012,PNBGILTS,0.9894,0.3646,0.049
398,0.0554,15.3,0.1042,0.0,0.0,0.0023,GREENPLY,0.5011,0.4165,0.2596
399,0.2773,91.385,0.0,0.0,0.0,0.0,ZEEMEDIA,0.2786,0.3892,0.0518
400,0.1177,33.8178,0.9998,0.0,0.0,0.0424,MUTHOOTFIN,0.1884,0.2024,0.2171
401,0.0941,26.5632,0.023,0.0,0.0,0.4903,BAJFINANCE,0.1645,0.2432,0.0144
402,0.128,35.5972,0.0,0.0,0.0,0.0,BASML,0.6162,0.2358,0.0473
403,0.0611,16.2721,0.0004,0.0,0.0,0.0001,KNRCON,0.2623,0.1404,0.7228
404,0.3787,150.9545,0.0,0.0,0.0,0.2655,IBREALEST,0.3377,0.2099,0.4139
405,0.1877,57.8558,0.0,0.0,0.0,0.0,VOLTAMP,0.6181,0.2216,0.4879
406,0.1064,29.4179,0.0347,0.0,0.0,0.0,KOTHARIPET,0.1646,0.1961,0.5207
407,0.1069,30.4326,0.0026,0.0,0.0,0.0,RATNAMANI,0.4982,0.0074,0.9694
408,0.1138,32.5926,0.0316,0.0,0.0,0.0,FIEMIND,0.3696,0.0167,0.7693
409,0.2452,78.9796,0.0006,0.0,0.0,0.0,BALAJITELE,0.7321,0.4428,0.8752
410,0.1616,48.4122,0.0,0.0,0.0,0.0,KOHINOOR,0.0183,0.3067,0.7395
411,0.0976,27.607,0.0006,0.0,0.0,0.0,ELGIEQUIP,0.8047,0.0869,0.1393
412,0.1343,39.1655,0.0808,0.0,0.0,0.2436,DABUR,0.0462,0.0313,0.8719
413,0.3047,108.8045,0.0076,0.0,0.0,0.0006,ASHOKLEY,0.6244,0.0615,0.0198
414,0.0584,10.9411,0.0002,0.0,0.0382,0.0001,BANG,0.1694,0.6154,0.5264
415,0.2208,70.694,0.0155,0.0,0.0,0.3302,SRTRANSFIN,0.4221,0.3823,0.5797
416,0.1637,49.1504,0.0171,0.0,0.0,0.0,SUNDRMFAST,0.9042,0.0019,0.8852
417,0.0772,21.5078,0.0,0.0,0.0002,0.0,KOTARISUG,0.5278,0.4825,0.987
418,0.1074,30.603,0.0003,0.0,0.0,0.0,IVC,0.6659,0.53,0.1905
419,0.1358,35.8711,0.0972,0.0,0.0,0.0,RBL,0.1555,0.0363,0.1362
420,0.0887,24.9382,0.9201,0.0,0.0,0.0009,SYMPHONY,0.0018,0.0954,0.8378
421,0.2927,102.8259,0.0,0.0,0.0,0.0,NFL,0.0001,0.8558,0.2276
422,0.3148,114.0232,0.0,0.0,0.0,0.0651,UNITEDBNK,0.0,0.1373,0.5112
423,0.2329,35.6731,0.0015,0.0,0.0,0.0,MAJESCO,0.8696,0.9639,0.6364
424,0.1351,24.8321,0.0199,0.0,0.0,0.0001,MINDACORP,0.7913,0.8199,0.6107
425,0.1051,27.7027,0.0,0.0,0.0,0.0,AGCNET,0.2693,0.9075,0.4426
426,0.1138,30.9034,0.0,0.0,0.0,0.0,MUKTAARTS,0.5598,0.2852,0.6361
427,0.1963,54.6447,0.0,0.0,0.0,0.0,NITCO,0.7981,0.1497,0.2256
428,0.018,2.8516,0.2709,0.015,0.5952,0.0033,BKMINDST,0.4317,0.2243,0.3048
429,0.1061,26.0887,0.0065,0.0,0.0,0.0,ASAL,0.8643,0.286,0.4726
430,0.4952,242.3203,0.0,0.0,0.0,0.0004,CENTURYTEX,0.073,0.1067,0.353
431,0.1848,56.485,0.0,0.0,0.0,0.0,NCLIND,0.7423,0.1331,0.1511
432,0.0502,13.99,0.0503,0.0,0.0,0.0,ASTRAL,0.1018,0.2293,0.3054
433,0.007,2.3924,0.7143,0.0361,0.0071,0.7561,RKFORGE,0.6178,0.2398,0.9205
434,0.1795,54.2386,0.0038,0.0,0.0,0.0,IGARASHI,0.4892,0.0224,0.1668
435,0.1135,25.9113,0.0075,0.0,0.0,0.0,JPOLYINVST,0.0286,0.9747,0.2303
436,0.0138,3.7875,0.111,0.0021,0.6167,0.0025,KIRIINDUS,0.8847,0.1202,0.1527
437,0.6034,375.2711,0.0,0.0,0.0,0.0511,RPOWER,0.0,0.4467,0.3262
438,0.3475,132.024,0.0,0.0,0.0,0.0,HINDCOPPER,0.0,0.8473,0.1026
439,0.2983,105.5569,0.0,0.0,0.0,0.0,PENINLAND,0.0245,0.5183,0.0124
440,0.1247,36.0544,0.007,0.0,0.0,0.0,JAGRAN,0.2357,0.3446,0.4829
441,0.1697,50.6193,0.0,0.0,0.0,0.0,MTEDUCARE,0.4904,0.724,0.3688
442,0.1572,40.3789,0.0,0.0,0.0,0.0,3IINFOTECH,0.0026,0.6763,0.9077
443,0.1833,42.5298,0.0,0.0,0.0,0.0,ADSL,0.0015,0.6693,0.9573
444,0.1857,55.19,0.0502,0.0,0.0,0.0,WOCKPHARMA,0.4084,0.396,0.8953
445,0.1126,29.391,0.0,0.0,0.0,0.0,ESTER,0.8983,0.1726,0.6519
446,0.0905,21.2782,0.0753,0.0,0.0,0.0,KTIL,0.3592,0.2545,0.7568
447,0.1548,46.0717,0.0,0.0,0.0,0.0574,APOLLOHOSP,0.0,0.6108,0.9816
448,0.0687,16.4368,0.0055,0.0,0.0024,0.0,EUROTEXIND,0.3906,0.4357,0.2496
449,0.1184,28.7479,0.0,0.0,0.0,0.0,SPMLINFRA,0.0394,0.2442,0.6693
450,0.0896,19.7609,0.0001,0.0,0.0,0.0,GLOBALVECT,0.0071,0.1048,0.951
451,0.0655,18.2404,0.3939,0.0,0.0,0.0245,AJANTPHARM,0.0356,0.1282,0.4591
452,0.0971,27.4689,0.9186,0.0,0.0,0.0188,GILLETTE,0.0351,0.0485,0.0103
453,0.0985,27.8654,0.0001,0.0,0.0,0.0,CLNINDIA,0.0092,0.7377,0.6487
454,0.0359,6.6638,0.0156,0.0,0.0411,0.0002,3PLAND,0.2349,0.5392,0.0517
455,0.1518,45.0211,0.0307,0.0,0.0,0.0,PAPERPROD,0.8454,0.0378,0.5173
456,0.2363,50.451,0.0,0.0,0.0,0.0,SUPERHOUSE,0.0561,0.2822,0.9559
457,0.1148,32.915,0.6715,0.0,0.0,0.239,MCDOWELL-N,0.2854,0.2926,0.7433
458,0.1187,31.45,0.0009,0.0,0.0,0.0,GULFPETRO,0.6165,0.2368,0.1362
459,0.3055,109.2332,0.1244,0.0,0.0,0.1861,VOLTAS,0.4022,0.0089,0.9755
460,0.2306,74.7362,0.0,0.0,0.0,0.0,HIMATSEIDE,0.1317,0.0234,0.9669
461,0.0635,17.0023,0.0004,0.0,0.0,0.0,INDOTHAI,0.9859,0.0827,0.2322
462,0.1902,58.7854,0.0,0.0,0.0,0.0,SWELECTES,0.2841,0.235,0.1059
463,0.2264,72.9743,0.0,0.0,0.0,0.0,KWALITY,0.4926,0.3771,0.0656
464,0.25,83.0152,0.0,0.0,0.0,0.0,BALLARPUR,0.082,0.6661,0.8605
465,0.0628,17.4417,0.0016,0.0,0.0,0.0,JKIL,0.8851,0.6528,0.4545
466,0.0169,5.2373,0.5378,0.0001,0.0003,0.2671,POLYMED,0.8587,0.6269,0.9429
467,0.2041,62.3481,0.0146,0.0,0.0,0.0,AMRUTANJAN,0.6669,0.1262,0.6299
468,0.0331,9.3586,0.0148,0.0,0.0002,0.0005,RSYSTEMS,0.5523,0.8529,0.5811
469,0.0294,4.9179,0.1293,0.0002,0.0014,0.0044,UNIVCABLES,0.3499,0.3514,0.7706
470,0.3244,119.0954,0.0,0.0,0.0,0.1406,RCOM,0.024,0.9553,0.0903
471,0.1291,35.6565,0.0,0.0,0.0,0.0,DALMIASUG,0.2787,0.0324,0.9224
472,0.1261,35.5446,0.0,0.0,0.0,0.0,JUBLINDS,0.0485,0.3219,0.0859
473,0.1035,29.4059,0.0002,0.0,0.0,0.9567,GODREJCP,0.3225,0.4739,0.5093
474,0.0194,3.9608,0.6668,0.0015,0.0765,0.4859,PILITA,0.0666,0.1322,0.3725
475,0.1711,30.9804,0.1328,0.0,0.0,0.0,CAMLINFINE,0.9695,0.6954,0.7614
476,0.2133,67.7103,0.0,0.0,0.0,0.0,GSFC,0.0295,0.3527,0.0082
477,0.2972,105.0206,0.0,0.0,0.0,0.0,IL&FSTRANS,0.0,0.3073,0.7313
478,0.1181,32.4503,0.0242,0.0,0.0,0.0,PPAP,0.0779,0.0273,0.7923
479,0.2338,76.0444,0.0001,0.0,0.0,0.0421,APOLLOTYRE,0.043,0.2135,0.1171
480,0.0443,11.4864,0.0759,0.0,0.0,0.1532,VAIBHAVGBL,0.9321,0.0165,0.1161
481,0.0579,14.433,0.9359,0.0,0.0,0.0001,ADVANIHOTR,0.2186,0.3567,0.3832
482,0.3722,145.5116,0.0,0.0,0.0,0.0,ANSALAPI,0.0,0.8133,0.059
483,0.0721,15.5344,0.0681,0.0,0.0001,0.0,BODALCHEM,0.5871,0.0558,0.0595
484,0.1876,57.8178,0.0004,0.0,0.0,0.1017,SUNTV,0.1693,0.3607,0.365
485,0.2172,67.8215,0.0,0.0,0.0,0.0,HIL,0.9092,0.193,0.4214
486,0.2051,30.1591,0.4427,0.0,0.0,0.0,SATIN,0.0525,0.49,0.1263
487,0.2432,80.0391,0.0,0.0,0.0,0.0,PRAJIND,0.867,0.3974,0.2211
488,0.154,45.7635,0.0007,0.0,0.0,0.0,INDIANHUME,0.7393,0.2199,0.2643
489,0.197,61.3636,0.0,0.0,0.0,0.0,RENUKA,0.0042,0.7509,0.4463
490,0.1314,38.2012,0.1915,0.0,0.0,0.0031,GLENMARK,0.0001,0.8872,0.2172
491,0.1198,34.4959,0.023,0.0,0.0,0.0002,WHEELS,0.041,0.2044,0.133
492,0.1179,27.1617,0.2498,0.0,0.0,0.0,ELAND,0.5648,0.4587,0.7601
493,0.1477,43.6455,0.0001,0.0,0.0,0.0,JKTYRE,0.8302,0.5204,0.9852
494,0.0415,11.6621,0.0019,0.0,0.0,0.6908,WIPRO,0.6926,0.7781,0.2289
495,0.2418,79.4622,0.0,0.0,0.0,0.0,CHAMBLFERT,0.0074,0.1746,0.1125
496,0.1029,26.6337,0.0,0.0,0.0,0.0,SIMPLEX,0.6271,0.7712,0.5093
497,0.1475,43.5712,0.1106,0.0,0.0,0.0001,BASF,0.5276,0.1872,0.0
498,0.0902,25.0466,0.0019,0.0,0.0,0.0,ORIENTHOT,0.2362,0.5048,0.7078
499,0.0422,11.8256,0.4321,0.0,0.0,0.0002,KKCL,0.2051,0.0251,0.5599
500,0.1562,44.5997,0.0,0.0,0.0,0.0,BAFNAPHARM,0.3051,0.6793,0.9966
501,0.0611,17.0092,0.4223,0.0,0.0,0.0001,INDOCO,0.8472,0.0415,0.4278
502,0.1639,42.7806,0.0,0.0,0.0,0.0,MADHAV,0.2445,0.2857,0.3657
503,0.2085,65.8027,0.0,0.0,0.0,0.0,GNFC,0.2008,0.0479,0.3106
504,0.1423,41.7652,0.0001,0.0,0.0,0.0,TARAJEWELS,0.5242,0.0167,0.3851
505,0.0847,21.2667,0.4088,0.0,0.0,0.0,THANGAMAYL,0.7658,0.3046,0.7278
506,0.0683,17.0396,0.1455,0.0,0.0,0.0,BHARATRAS,0.6375,0.0028,0.9092
507,0.1187,33.0354,0.0,0.0,0.0,0.0,MANUGRAPH,0.9695,0.8499,0.1895
508,0.0333,6.9748,0.7007,0.0,0.0029,0.1658,HATSUN,0.4166,0.0453,0.2635
509,0.1529,41.5342,0.0002,0.0,0.0,0.0,CAREERP,0.0015,0.6784,0.9784
510,0.3212,117.3882,0.0,0.0,0.0,0.0004,NCC,0.0793,0.2337,0.0518
511,0.1286,32.3086,0.0003,0.0,0.0,0.0,JBMA,0.3035,0.1299,0.0015
512,0.1043,28.0765,0.0006,0.0,0.0,0.0,SQSBFSI,0.6454,0.0743,0.9499
513,0.1025,25.2928,0.1354,0.0,0.0,0.0,HARITASEAT,0.0119,0.0612,0.5825
514,0.2225,69.8915,0.0,0.0,0.0,0.0,GATI,0.3406,0.2797,0.138
515,0.0985,27.8727,0.0032,0.0,0.0,0.0007,LINDEINDIA,0.9053,0.432,0.9285
516,0.0489,13.6345,0.1959,0.0,0.0,0.0003,ABBOTINDIA,0.0216,0.0077,0.781
517,0.1494,44.212,0.0001,0.0,0.0,0.0,ZUARI,0.4262,0.4554,0.5369
518,0.1434,41.7067,0.0002,0.0,0.0,0.0,DATAMATICS,0.7303,0.2457,0.8839
519,0.2007,62.336,0.0,0.0,0.0,0.0,TALBROAUTO,0.1975,0.1113,0.1965
520,0.1824,52.5672,0.0,0.0,0.0,0.0,NAHARCAP,0.6512,0.1144,0.726
521,0.635,428.9746,0.4173,0.0,0.0,0.0,BANKBEES,0.6198,0.0032,0.2971
522,0.1014,22.9251,0.0,0.0,0.0002,0.0,OISL,0.2616,0.3418,0.3655
523,0.018,4.6541,0.4172,0.0003,0.0095,0.018,NIBL,0.2614,0.2324,0.6205
524,0.0791,12.4309,0.0033,0.0,0.0158,0.0,GENUSPAPER,0.8018,0.1624,0.6735
525,0.0726,20.2684,0.0403,0.0,0.0,0.0008,ICRA,0.6599,0.04,0.892
526,0.1823,52.5346,0.0,0.0,0.0,0.0,VLSFINANCE,0.0122,0.2781,0.8539
527,0.1547,46.0217,0.7742,0.0,0.0,0.0243,HINDPETRO,0.5041,0.3623,0.7701
528,0.1094,31.2108,0.0072,0.0,0.0,0.0,FINPIPE,0.1785,0.0005,0.388
529,0.1055,30.0005,0.0083,0.0,0.0,0.0,NEULANDLAB,0.3912,0.0519,0.3457
530,0.1554,41.7604,0.001,0.0,0.0,0.0,GOKEX,0.0101,0.3783,0.3661
531,0.1142,32.7307,0.0008,0.0,0.0,0.0,BALMLAWRIE,0.7273,0.9184,0.2222
532,0.085,23.852,0.0014,0.0,0.0,0.7633,J&KBANK,0.6171,0.3402,0.1694
533,0.1458,42.9801,0.0001,0.0,0.0,0.0,IFBIND,0.0461,0.0051,0.9622
534,0.127,34.6284,0.0,0.0,0.0,0.0,NAGAROIL,0.4598,0.9756,0.3017
535,0.0949,23.6441,0.0001,0.0,0.0001,0.0,ARCHIDPLY,0.0,0.1387,0.4249
536,0.0975,22.8073,0.0,0.0,0.0,0.0,JINDALPHOT,0.1617,0.6094,0.5022
537,0.1677,49.0679,0.0256,0.0,0.0,0.0,ADORWELD,0.5802,0.1736,0.6191
538,0.2984,102.805,0.0,0.0,0.0,0.0,MERCATOR,0.0824,0.6185,0.7417
539,0.3094,110.2981,0.0,0.0,0.0,0.0,JINDALPOLY,0.2949,0.5517,0.6866
540,0.3774,150.0947,0.0,0.0,0.0,0.0,PSUBNKBEES,0.0043,0.5337,0.0158
541,0.2124,67.3427,0.0,0.0,0.0,0.0,GIPCL,0.001,0.2524,0.2952
542,0.0719,20.0625,0.0049,0.0,0.0,0.005,ZYDUSWELL,0.1941,0.1641,0.5205
543,0.4325,188.4553,0.0,0.0,0.0,0.0,PTC,0.0004,0.398,0.6839
544,0.2228,71.5334,0.038,0.0,0.0,0.0174,UPL,0.4503,0.0111,0.5721
