Symbol,Rm-Rf %,SMB %,HML %,WML %,Adj-r_sq,const
GREENPLY,0.0,0.0011,0.1049,0.6258,0.0552,0.3779
ZEEMEDIA,0.0,0.0,0.0,0.4532,0.2755,0.453
MUTHOOTFIN,0.0,0.0624,0.9943,0.122,0.1173,0.2271
BAJFINANCE,0.0,0.2831,0.0225,0.0676,0.0904,0.1929
BASML,0.0,0.0,0.0,0.4153,0.1259,0.194
KNRCON,0.0,0.0001,0.0004,0.2335,0.0618,0.1342
IBREALEST,0.0,0.3168,0.0,0.2655,0.3789,0.226
VOLTAMP,0.0,0.0,0.0,0.6991,0.1881,0.2066
KOTHARIPET,0.0,0.0,0.0341,0.1916,0.1069,0.2088
RATNAMANI,0.0,0.0,0.0026,0.4876,0.1076,0.0073
FIEMIND,0.0,0.0,0.0314,0.3896,0.1145,0.0173
BALAJITELE,0.0,0.0,0.0006,0.7485,0.2459,0.4373
KOHINOOR,0.0,0.0,0.0,0.0142,0.1622,0.3146
ELGIEQUIP,0.0,0.0,0.0006,0.6134,0.0967,0.0726
DABUR,0.0,0.248,0.0808,0.046,0.135,0.0317
ASHOKLEY,0.0,0.0001,0.008,0.9242,0.3022,0.0457
BANG,0.012,0.0001,0.0002,0.1986,0.0591,0.5918
SRTRANSFIN,0.0,0.2842,0.0154,0.3627,0.2212,0.3649
SUNDRMFAST,0.0,0.0,0.0171,0.9225,0.1644,0.0019
KOTARISUG,0.0,0.0,0.0,0.5235,0.0779,0.4822
IVC,0.0,0.0,0.0003,0.5071,0.1069,0.5781
RBL,0.0,0.0,0.1012,0.0936,0.1348,0.0293
SYMPHONY,0.0,0.0007,0.9209,0.0013,0.0894,0.0926
NFL,0.0,0.0,0.0,0.0,0.2925,0.9084
UNITEDBNK,0.0,0.0775,0.0,0.0,0.3151,0.1272
MAJESCO,0.0,0.0,0.0014,0.843,0.234,0.9617
MINDACORP,0.0,0.0001,0.0192,0.8233,0.1359,0.7997
AGCNET,0.0,0.0,0.0,0.2141,0.1054,0.9335
MUKTAARTS,0.0,0.0,0.0,0.6065,0.1144,0.2976
NITCO,0.0,0.0,0.0,0.9388,0.196,0.1347
BKMINDST,0.2546,0.0023,0.2701,0.4665,0.0179,0.2234
ASAL,0.0,0.0,0.0066,0.9338,0.1065,0.2656
CENTURYTEX,0.0,0.0002,0.0,0.097,0.4953,0.0955
NCLIND,0.0,0.0,0.0,0.562,0.1841,0.115
ASTRAL,0.0,0.0,0.0497,0.1377,0.0501,0.2513
RKFORGE,0.0027,0.7648,0.714,0.6018,0.008,0.2374
IGARASHI,0.0,0.0,0.004,0.635,0.1789,0.0179
JPOLYINVST,0.0,0.0,0.0085,0.0388,0.1131,0.9883
KIRIINDUS,0.2368,0.0011,0.1086,0.9932,0.0128,0.0996
RPOWER,0.0,0.0684,0.0,0.0,0.6034,0.4142
HINDCOPPER,0.0,0.0,0.0,0.0,0.3466,0.9186
PENINLAND,0.0,0.0,0.0,0.0068,0.2952,0.433
JAGRAN,0.0,0.0,0.007,0.1855,0.1251,0.3243
MTEDUCARE,0.0,0.0,0.0,0.3947,0.1698,0.6863
3IINFOTECH,0.0,0.0,0.0,0.0021,0.1579,0.6787
ADSL,0.0,0.0,0.0,0.0014,0.1842,0.6701
WOCKPHARMA,0.0,0.0,0.05,0.4142,0.1864,0.3989
ESTER,0.0,0.0,0.0,0.953,0.1132,0.1781
KTIL,0.0,0.0,0.0739,0.3769,0.0913,0.2608
APOLLOHOSP,0.0,0.0549,0.0,0.0,0.1555,0.611
EUROTEXIND,0.0001,0.0,0.0061,0.4801,0.0684,0.4105
SPMLINFRA,0.0,0.0,0.0,0.0434,0.1191,0.236
GLOBALVECT,0.0,0.0,0.0001,0.0066,0.0906,0.1048
AJANTPHARM,0.0,0.0169,0.3961,0.0238,0.0658,0.1176
GILLETTE,0.0,0.0057,0.9074,0.0101,0.093,0.0346
CLNINDIA,0.0,0.0,0.0001,0.0104,0.099,0.7183
3PLAND,0.1948,0.0004,0.0104,0.3352,0.0323,0.5757
PAPERPROD,0.0,0.0,0.0309,0.9312,0.1522,0.0343
SUPERHOUSE,0.0,0.0,0.0,0.0552,0.2373,0.2824
MCDOWELL-N,0.0,0.2537,0.6727,0.304,0.1155,0.3001
GULFPETRO,0.0,0.0,0.0011,0.7657,0.1178,0.2107
VOLTAS,0.0,0.1792,0.1243,0.398,0.3061,0.0087
HIMATSEIDE,0.0,0.0,0.0,0.1242,0.2312,0.023
INDOTHAI,0.0,0.0,0.0004,0.828,0.0632,0.0923
SWELECTES,0.0,0.0,0.0,0.1725,0.1891,0.2012
KWALITY,0.0,0.0,0.0,0.7048,0.2248,0.3242
BALLARPUR,0.0,0.0,0.0,0.0827,0.2506,0.6726
JKIL,0.0,0.0,0.0016,0.9859,0.0631,0.6235
POLYMED,0.0001,0.266,0.5373,0.8469,0.0177,0.6291
AMRUTANJAN,0.0,0.0,0.0146,0.7225,0.2046,0.1315
RSYSTEMS,0.0001,0.0006,0.0146,0.6114,0.0336,0.8769
UNIVCABLES,0.0011,0.0046,0.1252,0.3707,0.0308,0.3561
RCOM,0.0,0.0801,0.0,0.0099,0.3233,0.9698
DALMIASUG,0.0,0.0,0.0,0.2793,0.1298,0.0318
JUBLINDS,0.0,0.0,0.0,0.0228,0.1247,0.3661
GODREJCP,0.0,0.9627,0.0002,0.2637,0.1039,0.4508
PILITA,0.0142,0.4134,0.6728,0.0597,0.0197,0.1234
CAMLINFINE,0.0,0.0,0.1349,0.9828,0.1722,0.6832
GSFC,0.0,0.0,0.0,0.0802,0.2095,0.4342
IL&FSTRANS,0.0,0.0,0.0,0.0,0.2977,0.2975
PPAP,0.0,0.0,0.0235,0.0811,0.1188,0.0281
APOLLOTYRE,0.0,0.0217,0.0001,0.0203,0.2328,0.1829
VAIBHAVGBL,0.0,0.2275,0.0778,0.8453,0.043,0.0201
ADVANIHOTR,0.0,0.0,0.9172,0.1675,0.0581,0.33
ANSALAPI,0.0,0.0,0.0,0.0,0.3708,0.7401
BODALCHEM,0.0,0.0,0.0766,0.6952,0.0696,0.0459
SUNTV,0.0,0.0726,0.0005,0.121,0.1877,0.3341
HIL,0.0,0.0,0.0,0.7981,0.2175,0.1794
SATIN,0.0,0.0,0.3987,0.0667,0.2032,0.5004
PRAJIND,0.0,0.0,0.0,0.7036,0.2429,0.4356
INDIANHUME,0.0,0.0,0.0007,0.8843,0.1538,0.2433
RENUKA,0.0,0.0,0.0,0.0024,0.1973,0.7187
GLENMARK,0.0,0.0051,0.1892,0.0002,0.131,0.9414
WHEELS,0.0,0.0001,0.0236,0.0696,0.1189,0.1758
ELAND,0.0,0.0,0.247,0.5866,0.1187,0.4685
JKTYRE,0.0,0.0,0.0001,0.8252,0.1484,0.5202
WIPRO,0.0,0.8283,0.0019,0.5431,0.0412,0.7272
CHAMBLFERT,0.0,0.0,0.0,0.0028,0.2409,0.2038
SIMPLEX,0.0,0.0,0.0,0.5524,0.1034,0.7407
BASF,0.0,0.0,0.1191,0.1613,0.1343,0.1194
ORIENTHOT,0.0,0.0,0.0019,0.2551,0.0909,0.5163
KKCL,0.0,0.0003,0.4301,0.1656,0.0427,0.027
BAFNAPHARM,0.0,0.0,0.0,0.2975,0.1569,0.6787
INDOCO,0.0,0.0001,0.4197,0.953,0.0614,0.0457
MADHAV,0.0,0.0,0.0,0.2921,0.164,0.2669
GNFC,0.0,0.0,0.0,0.2612,0.2085,0.0542
TARAJEWELS,0.0,0.0,0.0001,0.6191,0.1424,0.0188
THANGAMAYL,0.0,0.0,0.4093,0.7143,0.0854,0.3126
BHARATRAS,0.0,0.0,0.146,0.6228,0.0691,0.0027
MANUGRAPH,0.0,0.0,0.0,0.7993,0.1182,0.7922
HATSUN,0.0001,0.128,0.7114,0.3877,0.0331,0.0394
CAREERP,0.0,0.0,0.0002,0.0013,0.1536,0.677
NCC,0.0,0.0009,0.0,0.0347,0.3196,0.2785
JBMA,0.0,0.0,0.0003,0.1198,0.121,0.0901
SQSBFSI,0.0,0.0,0.0006,0.6328,0.105,0.0732
HARITASEAT,0.0,0.0,0.1297,0.0138,0.1031,0.0651
GATI,0.0,0.0,0.0,0.4786,0.2217,0.3129
LINDEINDIA,0.0,0.0006,0.0031,0.9162,0.0992,0.434
ABBOTINDIA,0.0,0.0002,0.1963,0.0173,0.0496,0.0072
ZUARI,0.0,0.0,0.0001,0.3608,0.1498,0.4756
DATAMATICS,0.0,0.0,0.0002,0.7079,0.1441,0.2415
TALBROAUTO,0.0,0.0,0.0,0.127,0.2003,0.0954
NAHARCAP,0.0,0.0,0.0,0.69,0.183,0.1098
BANKBEES,0.0,0.0,0.4207,0.746,0.635,0.0026
OISL,0.0002,0.0,0.0,0.2085,0.1016,0.3249
NIBL,0.0021,0.014,0.413,0.2274,0.0187,0.225
GENUSPAPER,0.0124,0.0,0.0031,0.8134,0.0803,0.168
ICRA,0.0,0.0007,0.0401,0.672,0.0734,0.0403
VLSFINANCE,0.0,0.0,0.0,0.0099,0.183,0.2735
HINDPETRO,0.0,0.0254,0.7729,0.4664,0.1553,0.3529
FINPIPE,0.0,0.0,0.0071,0.1301,0.1096,0.0005
NEULANDLAB,0.0,0.0,0.0081,0.479,0.1055,0.0581
GOKEX,0.0,0.0,0.001,0.006,0.1555,0.4087
BALMLAWRIE,0.0,0.0,0.0007,0.5728,0.1139,0.8648
J&KBANK,0.0,0.6056,0.0014,0.7867,0.0843,0.3026
IFBIND,0.0,0.0,0.0001,0.0438,0.1465,0.005
NAGAROIL,0.0,0.0,0.0,0.5611,0.1269,0.9428
ARCHIDPLY,0.0,0.0,0.0001,0.0,0.0952,0.1276
JINDALPHOT,0.0,0.0,0.0,0.1255,0.098,0.6328
ADORWELD,0.0,0.0,0.0259,0.6346,0.1682,0.1662
MERCATOR,0.0,0.0,0.0,0.0879,0.2989,0.6036
JINDALPOLY,0.0,0.0,0.0,0.3199,0.3098,0.5372
PSUBNKBEES,0.0,0.0002,0.0,0.0133,0.3749,0.4498
GIPCL,0.0,0.0,0.0,0.0016,0.2123,0.2285
ZYDUSWELL,0.0,0.0061,0.0048,0.2273,0.0724,0.1743
PTC,0.0,0.0,0.0,0.0003,0.4329,0.4098
UPL,0.0,0.0203,0.0376,0.5035,0.2233,0.012
TI,0.0,0.0,0.0,0.0226,0.1401,0.3709
PGHH,0.0,0.0057,0.6114,0.1831,0.0674,0.0019
JUSTDIAL,0.0,0.0404,0.5298,0.1472,0.0838,0.8732
VASCONEQ,0.0,0.0,0.0,0.824,0.2023,0.8031
GTNTEX,0.0021,0.0006,0.0385,0.7592,0.0346,0.1487
TATACHEM,0.0,0.0001,0.0001,0.0729,0.3598,0.2358
SPICEMOBI,0.0,0.0,0.0539,0.9834,0.0379,0.891
REPRO,0.0,0.0,0.0019,0.5333,0.1154,0.1909
GRINDWELL,0.0,0.0,0.0592,0.6442,0.0514,0.1801
KARURVYSYA,0.0,0.0,0.282,0.0337,0.0861,0.5444
AXISCADES,0.0,0.0,0.0,0.1013,0.2127,0.5549
HOVS,0.0,0.0,0.1425,0.1457,0.0876,0.0728
DIVISLAB,0.0,0.0062,0.3658,0.6847,0.0717,0.7489
CUB,0.0,0.0037,0.2814,0.385,0.1169,0.0184
RUCHIRA,0.0,0.0,0.0002,0.0405,0.1018,0.021
DECCANCE,0.0,0.0,0.0001,0.7109,0.1397,0.4647
JMCPROJECT,0.0,0.0,0.0,0.3117,0.246,0.0986
GUJAPOLLO,0.0,0.0,0.1477,0.4383,0.0799,0.2732
SUNPHARMA,0.0,0.6187,0.0047,0.6501,0.0894,0.8458
SCHAEFFLER,0.0,0.0,0.3002,0.6408,0.0944,0.0077
EVEREADY,0.0,0.0,0.0009,0.0189,0.2151,0.0001
ABAN,0.0,0.0,0.0,0.0071,0.2629,0.5512
MANAKALUCO,0.0003,0.0001,0.8038,0.2507,0.0503,0.6009
NILAINFRA,0.0,0.0,0.0209,0.123,0.2168,0.2118
BHUSANSTL,0.0,0.0,0.0001,0.2629,0.1028,0.0949
VSTTILLERS,0.0,0.0,0.1157,0.1328,0.1057,0.0053
THIRUSUGAR,0.0,0.0,0.003,0.6534,0.0962,0.8049
POWERMECH,0.0,0.0008,0.4135,0.9218,0.0938,0.7396
KOTAKGOLD,0.0918,0.6431,0.8747,0.316,0.0015,0.4792
IPCALAB,0.0,0.0019,0.0005,0.0001,0.0827,0.7997
MEGH,0.0,0.0,0.0,0.9598,0.244,0.0278
ICICINF100,0.2982,0.9414,0.228,0.2894,0.0042,0.1136
MHRIL,0.0,0.0,0.0,0.671,0.1937,0.9507
3MINDIA,0.0,0.0,0.0234,0.0874,0.1601,0.0217
HDFC,0.0,0.0003,0.0,0.59,0.3512,0.0544
GLOBUSSPR,0.0,0.0,0.0,0.387,0.2169,0.9475
TRIDENT,0.0,0.0,0.0,0.1738,0.2678,0.0667
RALLIS,0.0,0.0022,0.7027,0.731,0.159,0.3788
JKCEMENT,0.0,0.0004,0.1213,0.0048,0.1607,0.0621
KITEX,0.0,0.0,0.0008,0.3148,0.1237,0.0999
VGUARD,0.0,0.0309,0.0475,0.1007,0.0393,0.5428
BANKBARODA,0.0,0.0,0.0,0.0629,0.2403,0.8758
SAGCEM,0.0,0.0,0.0002,0.7441,0.0875,0.1641
EASTSILK,0.0083,0.0006,0.0003,0.9827,0.0429,0.2929
KOTAKPSUBK,0.0,0.0001,0.0,0.0,0.4405,0.4617
MAHSCOOTER,0.0,0.0,0.316,0.0933,0.1423,0.0337
SABTN,0.0,0.02,0.2216,0.5985,0.031,0.1715
MANAPPURAM,0.0,0.0002,0.0033,0.1235,0.1497,0.2289
ELGIRUBCO,0.0,0.0,0.0,0.0139,0.1004,0.5195
STINDIA,0.6429,0.1835,0.2516,0.393,0.0037,0.452
BERGEPAINT,0.0,0.0019,0.909,0.7019,0.0726,0.3235
IDFCBANK,0.0,0.0602,0.0104,0.2781,0.2786,0.4646
CENTENKA,0.0,0.0,0.0,0.4554,0.3105,0.3199
AXISGOLD,0.0026,0.2766,0.2446,0.11,0.0065,0.473
HINDZINC,0.0,0.0062,0.0049,0.3229,0.2755,0.0861
BINANIIND,0.0,0.0,0.0,0.0265,0.2491,0.9714
BFUTILITIE,0.0,0.0,0.0002,0.2577,0.2533,0.8095
ORIENTBELL,0.0,0.0,0.0,0.3506,0.191,0.3517
SUPREMEIND,0.0,0.0001,0.178,0.7964,0.0816,0.0045
PIONDIST,0.0011,0.0005,0.0308,0.3251,0.0412,0.123
GICHSGFIN,0.0,0.0,0.0,0.2426,0.3204,0.0846
ICICINIFTY,0.0,0.0853,0.0392,0.3294,0.063,0.1257
POLARIS,0.0,0.0039,0.0007,0.0546,0.0819,0.1605
MAYURUNIQ,0.0,0.0002,0.0053,0.0019,0.0542,0.7592
HAVELLS,0.0,0.039,0.1908,0.0702,0.1033,0.6863
JAYNECOIND,0.0,0.0,0.0,0.0002,0.2903,0.9198
UNIPLY,0.0017,0.0325,0.8296,0.4855,0.0155,0.0278
IDBIGOLD,0.0023,0.8199,0.8344,0.9214,0.0069,0.3666
IZMO,0.0,0.0,0.0,0.0141,0.1584,0.3842
63MOONS,0.0,0.0001,0.427,0.0098,0.0952,0.4066
KOKUYOCMLN,0.0,0.0,0.0,0.9226,0.1875,0.2402
STERTOOLS,0.0,0.0,0.0037,0.2305,0.0863,0.0965
DYNAMATECH,0.0,0.0001,0.1314,0.1436,0.0769,0.3761
HMVL,0.0,0.0,0.0159,0.1251,0.0737,0.3737
TTKPRESTIG,0.0,0.0304,0.2437,0.6486,0.0603,0.1068
INDIAGLYCO,0.0,0.0,0.0,0.6026,0.265,0.4252
VIPCLOTHNG,0.0,0.0,0.0,0.651,0.2294,0.4934
DENORA,0.0,0.0,0.0176,0.1903,0.171,0.9988
AHLEAST,0.0,0.0,0.05,0.1256,0.0798,0.5559
NETWORK18,0.0,0.0,0.0,0.088,0.2782,0.7279
JAGSNPHARM,0.0,0.0,0.0,0.8374,0.1789,0.4267
BALRAMCHIN,0.0,0.0,0.0,0.3436,0.1356,0.2211
SHAHALLOYS,0.6158,0.0011,0.0057,0.5615,0.0175,0.1665
CAPLIPOINT,0.0,0.0006,0.2678,0.8953,0.0976,0.109
JUBILANT,0.0,0.0,0.0022,0.5927,0.1582,0.2762
BBTC,0.0,0.0,0.0137,0.7125,0.2606,0.0125
SUPPETRO,0.0,0.0,0.0032,0.6469,0.1724,0.0301
MAHLIFE,0.0,0.0,0.0061,0.1212,0.1159,0.8882
RELCAPITAL,0.0,0.5302,0.0,0.0003,0.5604,0.6881
AJMERA,0.0,0.0,0.0,0.6443,0.204,0.3831
HDFCBANK,0.0,0.0,0.0,0.6601,0.427,0.0003
GREENPOWER,0.0,0.0,0.0,0.0246,0.1775,0.9111
GSS,0.0,0.0,0.0,0.2692,0.0874,0.9472
INTELLECT,0.0,0.0,0.0,0.0184,0.2807,0.7208
VADILALIND,0.0,0.0,0.0443,0.0074,0.2171,0.1062
ENGINERSIN,0.0,0.0016,0.0005,0.3645,0.1909,0.8873
INGERRAND,0.0,0.0,0.0,0.9322,0.2317,0.5449
SHREYANIND,0.0,0.0,0.0763,0.5699,0.0734,0.0533
TWL,0.0,0.0,0.0001,0.789,0.1052,0.7762
BLKASHYAP,0.0,0.0,0.0,0.0103,0.2201,0.2116
FMNL,0.0,0.0006,0.0168,0.1122,0.0589,0.0699
DISHTV,0.0,0.0406,0.0,0.8165,0.2577,0.8226
AARVEEDEN,0.0,0.0,0.0,0.3997,0.1553,0.9225
BIOCON,0.0,0.0057,0.0776,0.3047,0.0852,0.2825
KTKBANK,0.0,0.1186,0.0,0.0062,0.3922,0.8076
SHK,0.0,0.0001,0.8079,0.4441,0.1345,0.5587
JMTAUTOLTD,0.1431,0.9439,0.2989,0.0014,0.0123,0.9311
SGL,0.5541,0.3436,0.0186,0.7324,0.0127,0.0239
BHEL,0.0,0.7221,0.0001,0.0031,0.2845,0.5193
LUMAXIND,0.0,0.0,0.0042,0.0,0.1742,0.1043
KESORAMIND,0.0,0.0,0.0,0.0786,0.2317,0.9608
RML,0.0,0.0,0.0166,0.5238,0.1272,0.0731
KESARENT,0.0007,0.0,0.0568,0.8973,0.0501,0.51
MANGLMCEM,0.0,0.0,0.0001,0.4969,0.2658,0.5751
SANOFI,0.0,0.0713,0.9376,0.4149,0.0545,0.0897
GRANULES,0.0,0.0,0.0004,0.5332,0.1463,0.4859
SIGNET,0.0015,0.0024,0.0823,0.584,0.0535,0.5698
RADICO,0.0,0.0,0.0,0.0435,0.1567,0.4884
SHREEPUSHK,0.0,0.0,0.0002,0.1448,0.2008,0.1326
MCLEODRUSS,0.0,0.0,0.0,0.3062,0.2156,0.4608
CENTRALBK,0.0,0.097,0.0,0.0006,0.2695,0.8578
ASAHISONG,0.0,0.0,0.0,0.015,0.2107,0.2204
BANKINDIA,0.0,0.0,0.0,0.0,0.5238,0.9888
SAKHTISUG,0.0,0.0,0.0,0.0671,0.1769,0.8202
COALINDIA,0.0,0.5728,0.0204,0.0,0.2178,0.8539
VENUSREM,0.0,0.0,0.0005,0.8102,0.1792,0.3594
AARTIDRUGS,0.0,0.0,0.0035,0.1776,0.1301,0.2548
WABCOINDIA,0.0,0.0002,0.4038,0.2924,0.1037,0.0163
SANDESH,0.0,0.0001,0.0066,0.4422,0.0868,0.0399
ALEMBICLTD,0.0,0.0,0.0,0.3394,0.2112,0.2542
DCW,0.0,0.0,0.0,0.2126,0.3072,0.5975
MPSLTD,0.0,0.0,0.5643,0.0252,0.1004,0.0757
TOKYOPLAST,0.0,0.0,0.0063,0.5377,0.073,0.0619
SURANAT&P,0.0446,0.0,0.0,0.8127,0.0597,0.9577
CREST,0.0025,0.0001,0.0041,0.5612,0.0376,0.0951
TVSMOTOR,0.0,0.2758,0.1914,0.0148,0.1466,0.0002
TAKE,0.0,0.0,0.0,0.0003,0.1578,0.1605
HFCL,0.0,0.0,0.0,0.6808,0.266,0.5814
HNGSNGBEES,0.0015,0.1813,0.8398,0.2718,0.0113,0.2222
TCIFINANCE,0.0,0.0,0.0001,0.191,0.0874,0.99
INDHOTEL,0.0,0.0049,0.0073,0.0689,0.1249,0.1821
BSELINFRA,0.0,0.0,0.0,0.0219,0.1185,0.2606
KMSUGAR,0.0,0.0,0.0072,0.929,0.0816,0.046
PROZONINTU,0.0,0.0,0.0,0.6181,0.1933,0.5819
EVERESTIND,0.0,0.0,0.0001,0.3739,0.1982,0.3965
HONDAPOWER,0.0,0.0,0.0023,0.0793,0.1787,0.3762
NSIL,0.0,0.0001,0.0011,0.4223,0.0975,0.3004
EMKAY,0.001,0.0,0.0001,0.5129,0.0597,0.0641
GTL,0.0,0.0,0.0,0.0011,0.3327,0.7389
UFLEX,0.0,0.0,0.0,0.0,0.4119,0.0417
SESHAPAPER,0.0,0.0036,0.0149,0.1052,0.091,0.1408
FLEXITUFF,0.0009,0.0712,0.0422,0.9199,0.022,0.8471
ARCOTECH,0.0485,0.7779,0.4224,0.1777,0.0094,0.988
KANORICHEM,0.0,0.0,0.0,0.0408,0.2542,0.6383
MOIL,0.0,0.0,0.0142,0.667,0.1441,0.9766
NESTLEIND,0.0,0.423,0.0103,0.0718,0.078,0.1904
AUROPHARMA,0.0,0.9472,0.0035,0.1126,0.1495,0.1007
BLUEDART,0.0,0.0001,0.4561,0.0717,0.1101,0.1031
EXCELCROP,0.0035,0.0097,0.2444,0.4999,0.0176,0.0761
ATLANTA,0.0,0.0,0.0,0.4801,0.2147,0.4343
TATAGLOBAL,0.0,0.0,0.0,0.2926,0.4008,0.4325
GUJFLUORO,0.0,0.0272,0.0004,0.1167,0.1516,0.1946
ITDCEM,0.0,0.0,0.1007,0.0784,0.0656,0.2562
CIPLA,0.0,0.0595,0.437,0.4152,0.1876,0.3719
HEG,0.0,0.0,0.0,0.7862,0.1719,0.0191
PCJEWELLER,0.0,0.0,0.2105,0.4414,0.1026,0.3103
SANGHVIMOV,0.0005,0.0001,0.004,0.4231,0.036,0.3288
DBREALTY,0.0,0.0,0.0,0.0225,0.3083,0.2606
PRABHAT,0.0,0.0,0.3883,0.2377,0.1642,0.3679
SUPREMEINF,0.0,0.0,0.0,0.3058,0.1355,0.9422
METKORE,0.0023,0.0,0.0234,0.1842,0.0338,0.9739
GDL,0.0,0.0,0.1389,0.0373,0.1028,0.2622
FEL,0.0,0.0052,0.0,0.2795,0.0998,0.766
LOTUSEYE,0.0,0.0,0.0002,0.8919,0.1162,0.117
LALPATHLAB,0.0009,0.0118,0.5339,0.0938,0.0452,0.6605
ACE,0.0,0.0,0.0,0.0171,0.2988,0.0824
UNITY,0.0,0.0,0.0,0.0,0.3456,0.0912
RELIGARE,0.0,0.8176,0.0976,0.3715,0.0538,0.2219
NHPC,0.0,0.0,0.0,0.0,0.2839,0.4287
GAEL,0.0,0.0,0.0,0.0996,0.1977,0.0823
SAIL,0.0,0.2538,0.0,0.0,0.4,0.603
SALORAINTL,0.0,0.0007,0.1633,0.1489,0.0645,0.1538
HONAUT,0.0,0.0122,0.5808,0.8187,0.1322,0.0001
MUTHOOTCAP,0.0004,0.0,0.127,0.0382,0.1061,0.096
V2RETAIL,0.1271,0.009,0.6523,0.9016,0.0072,0.1356
PHOENIXLTD,0.0,0.0002,0.2354,0.1407,0.0833,0.1701
LOKESHMACH,0.0,0.0,0.0,0.0026,0.1987,0.6617
COLPAL,0.0,0.6975,0.1397,0.1421,0.0503,0.9932
FMGOETZE,0.0,0.0012,0.0148,0.4687,0.0784,0.1356
RJL,0.0,0.0,0.0,0.8855,0.1218,0.1352
XCHANGING,0.0,0.0,0.0013,0.1224,0.1054,0.1437
RAMASTEEL,0.0099,0.0344,0.1437,0.7961,0.0364,0.8566
RAJESHEXPO,0.0,0.0029,0.026,0.3862,0.0999,0.0393
BLISSGVS,0.0,0.0,0.0013,0.017,0.1438,0.2038
BANCOINDIA,0.0,0.0,0.0,0.65,0.177,0.1242
ISFT,0.0,0.0001,0.0506,0.0003,0.1004,0.0375
ADANIPOWER,0.0,0.0,0.0,0.0,0.4093,0.8306
ALLCARGO,0.0,0.0,0.3223,0.4051,0.1331,0.5042
SANGHIIND,0.0,0.0,0.0577,0.8611,0.0715,0.1553
RELINFRA,0.0,0.8593,0.0,0.0,0.5591,0.7594
KOTAKNIFTY,0.0,0.8623,0.6045,0.7934,0.0738,0.7501
GESHIP,0.0,0.0,0.0,0.0105,0.1213,0.5121
OMAXE,0.0,0.5507,0.0827,0.2365,0.1887,0.1171
IITL,0.4822,0.0027,0.0,0.9771,0.0439,0.9793
NDL,0.0,0.0,0.0,0.0055,0.1673,0.1234
GAL,0.0,0.0351,0.7085,0.7791,0.053,0.64
KCP,0.0,0.0,0.0,0.0511,0.2751,0.438
EDL,0.0,0.0,0.0,0.1645,0.1659,0.8354
BEL,0.0,0.0026,0.2957,0.6563,0.0497,0.8695
PFS,0.0,0.0,0.0,0.5571,0.2991,0.5194
AUTOLITIND,0.0,0.0,0.0994,0.0747,0.1714,0.4773
ORIENTPPR,0.0,0.0,0.0001,0.149,0.0909,0.0895
ECLERX,0.0,0.2147,0.5286,0.1802,0.0274,0.1178
GRAPHITE,0.0,0.0,0.0,0.5871,0.1251,0.0112
MORARJEE,0.0,0.0,0.0,0.4905,0.1702,0.4158
SWANENERGY,0.0001,0.86,0.6587,0.4886,0.0159,0.3348
TIMESGTY,0.1175,0.0103,0.0413,0.341,0.0198,0.1449
BALPHARMA,0.0,0.0,0.0003,0.586,0.1056,0.2363
OMKARCHEM,0.0,0.0,0.0901,0.1351,0.1112,0.6178
LUMAXTECH,0.0,0.0,0.0,0.0794,0.2363,0.1338
TIPSINDLTD,0.0,0.0,0.0046,0.9751,0.073,0.5964
MAHABANK,0.0,0.1512,0.0,0.0037,0.297,0.268
TTL,0.0,0.0,0.0,0.026,0.1068,0.2643
PRIMESECU,0.0007,0.0304,0.0238,0.1713,0.0346,0.0552
GET&D,0.0,0.0035,0.2559,0.0061,0.1111,0.1024
LAKSHVILAS,0.0,0.0507,0.0,0.0822,0.1851,0.4069
LYKALABS,0.0,0.0,0.0,0.6794,0.2093,0.181
SDBL,0.0,0.0028,0.5203,0.0799,0.048,0.6804
DELTAMAGNT,0.8907,0.0241,0.3823,0.0956,0.012,0.4464
MMFL,0.0,0.0,0.0005,0.0038,0.1281,0.0024
KANSAINER,0.0,0.0028,0.0261,0.2104,0.0647,0.564
SNOWMAN,0.0,0.0,0.0016,0.7682,0.2492,0.3331
ARROWTEX,0.0,0.0,0.0072,0.5286,0.0959,0.1372
UNICHEMLAB,0.0,0.0,0.0949,0.1611,0.1451,0.5238
COROMANDEL,0.0,0.0,0.5527,0.1695,0.1565,0.2071
TRIGYN,0.0,0.0,0.0003,0.085,0.1387,0.1005
JSWSTEEL,0.0,0.0001,0.0067,0.3917,0.1484,0.6173
ESSARSHPNG,0.0,0.0,0.0,0.0,0.1468,0.477
JTEKTINDIA,0.0,0.0,0.0,0.4281,0.2354,0.0161
VISESHINFO,0.9056,0.6233,0.8816,0.6245,-0.0048,0.0014
VAKRANGEE,0.0,0.0,0.3822,0.3972,0.0619,0.0137
SPENTEX,0.0009,0.0,0.0,0.234,0.0717,0.549
EXCELINDUS,0.0,0.0,0.0,0.0067,0.1962,0.072
ZODJRDMKJ,0.1294,0.0269,0.5911,0.2087,0.0075,0.2082
TBZ,0.0,0.0,0.0026,0.6771,0.201,0.3819
INFRATEL,0.0,0.8364,0.1132,0.3639,0.0564,0.1567
KPIT,0.0,0.0,0.0021,0.0596,0.1387,0.624
MADRASFERT,0.0,0.0,0.0,0.0918,0.185,0.2732
REPCOHOME,0.0,0.0,0.6871,0.1576,0.1907,0.0759
HUBTOWN,0.0,0.0,0.0,0.2949,0.0942,0.8897
