Symbol,Rm-Rf %,SMB %,HML %,Adj-r_sq,const
VOLTAMP,0.0,0.0092,0.1059,0.316,0.7378
KOTHARIPET,0.0,0.002,0.5105,0.2237,0.8954
RATNAMANI,0.0021,0.0005,0.9758,0.0955,0.3226
FIEMIND,0.0,0.0879,0.0395,0.2118,0.1674
BALAJITELE,0.0,0.0,0.0347,0.3791,0.3925
KOHINOOR,0.0,0.0175,0.0306,0.1872,0.2899
ELGIEQUIP,0.0,0.9591,0.7194,0.1359,0.1389
DABUR,0.0,0.9959,0.0008,0.2106,0.6901
ASHOKLEY,0.0,0.0631,0.2535,0.3361,0.9116
BANG,0.0054,0.026,0.0026,0.16,0.121
SRTRANSFIN,0.0,0.5958,0.0075,0.3324,0.7312
SUNDRMFAST,0.0,0.0454,0.8094,0.1515,0.0589
KOTARISUG,0.0023,0.0,0.0078,0.1993,0.2498
IVC,0.0075,0.001,0.0007,0.1793,0.5881
RBL,0.0,0.0006,0.6934,0.1646,0.0288
SYMPHONY,0.0284,0.6321,0.7229,0.0146,0.5086
NFL,0.0,0.0002,0.0008,0.3166,0.3092
UNITEDBNK,0.1127,0.0993,0.0,0.4853,0.7906
MAJESCO,0.0,0.0,0.0041,0.4578,0.2377
MINDACORP,0.0,0.0,0.0156,0.2324,0.8159
AGCNET,0.004,0.0017,0.3821,0.0981,0.7092
MUKTAARTS,0.0011,0.0,0.0,0.295,0.1318
NITCO,0.0,0.0,0.0087,0.4014,0.4806
BKMINDST,0.3118,0.0238,0.3506,0.0311,0.0994
ASAL,0.0325,0.0013,0.0217,0.1202,0.3463
CENTURYTEX,0.0,0.0367,0.3222,0.5282,0.1335
NCLIND,0.0,0.0003,0.0427,0.2498,0.8367
ASTRAL,0.0,0.1357,0.1413,0.0789,0.9662
RKFORGE,0.0,0.0982,0.66,0.2066,0.2484
LGBFORGE,0.0,0.0001,0.0086,0.2813,0.7929
IGARASHI,0.0,0.0001,0.5491,0.3205,0.4463
JPOLYINVST,0.0001,0.005,0.0384,0.1767,0.822
KIRIINDUS,0.0051,0.0,0.0149,0.1854,0.0429
RPOWER,0.0,0.12,0.0,0.6818,0.2565
FCSSOFT,0.0876,0.5946,0.0993,0.0431,0.5844
HINDCOPPER,0.0001,0.2299,0.0,0.2709,0.6073
PENINLAND,0.0,0.0,0.0051,0.3301,0.337
JAGRAN,0.0002,0.013,0.0912,0.1428,0.457
MTEDUCARE,0.0,0.0003,0.0077,0.3873,0.5212
3IINFOTECH,0.0116,0.0,0.0,0.2785,0.4279
ADSL,0.0,0.0,0.0288,0.3058,0.7996
WOCKPHARMA,0.0,0.0016,0.001,0.2946,0.0658
ESTER,0.0,0.0,0.0005,0.3839,0.3711
KTIL,0.0033,0.0057,0.9206,0.072,0.6589
APOLLOHOSP,0.0,0.2074,0.1909,0.1527,0.6071
EUROTEXIND,0.0921,0.0609,0.0976,0.0568,0.9254
SPMLINFRA,0.0,0.0223,0.005,0.2037,0.8514
TANTIACONS,0.0,0.0165,0.0011,0.2279,0.6138
GLOBALVECT,0.0,0.0315,0.0278,0.1823,0.8015
AJANTPHARM,0.0,0.1546,0.1652,0.2049,0.1191
GILLETTE,0.0,0.2866,0.2135,0.1394,0.9957
CLNINDIA,0.0,0.0,0.0197,0.2774,0.8123
3PLAND,0.2597,0.0081,0.0423,0.0623,0.7781
PAPERPROD,0.0,0.0381,0.6281,0.2159,0.6623
SUPERHOUSE,0.0,0.0,0.02,0.3289,0.7212
MCDOWELL-N,0.0,0.2429,0.8786,0.1232,0.2892
GULFPETRO,0.0,0.0,0.0001,0.4218,0.4721
VOLTAS,0.0,0.8987,0.6761,0.4192,0.5654
HIMATSEIDE,0.0,0.0089,0.1214,0.3485,0.1777
INDOTHAI,0.0032,0.0349,0.0093,0.142,0.929
SWELECTES,0.0,0.0004,0.181,0.2591,0.355
KWALITY,0.0,0.0,0.0,0.4243,0.851
BALLARPUR,0.0,0.0,0.0746,0.2391,0.8024
JKIL,0.0,0.0015,0.6284,0.139,0.4847
POLYMED,0.0,0.0272,0.0222,0.1856,0.6905
AMRUTANJAN,0.0,0.0057,0.4362,0.2759,0.4696
RSYSTEMS,0.0019,0.0162,0.0002,0.1997,0.6831
JYOTISTRUC,0.0,0.0043,0.0036,0.2643,0.6096
UNIVCABLES,0.0,0.0,0.2309,0.2138,0.7399
RCOM,0.0,0.1347,0.0,0.4725,0.0098
DALMIASUG,0.0003,0.0,0.0002,0.2742,0.059
JUBLINDS,0.0,0.0006,0.0818,0.2204,0.3979
GODREJCP,0.0,0.8883,0.0001,0.3704,0.3718
PILITA,0.1322,0.0506,0.1676,0.0433,0.5879
CAMLINFINE,0.0,0.0012,0.8793,0.207,0.851
GSFC,0.0001,0.0,0.0008,0.2781,0.1907
IL&FSTRANS,0.0,0.0001,0.0148,0.2643,0.4377
PPAP,0.0,0.0003,0.0627,0.3251,0.7129
APOLLOTYRE,0.0,0.0628,0.1152,0.2709,0.3618
VAIBHAVGBL,0.0018,0.0523,0.6489,0.0745,0.2832
ADVANIHOTR,0.0009,0.0106,0.6382,0.0767,0.8205
ANSALAPI,0.0,0.0,0.0,0.4608,0.3233
BODALCHEM,0.0,0.0,0.0145,0.308,0.0235
SUNTV,0.0,0.3374,0.2587,0.3479,0.3938
HIL,0.0,0.0004,0.0715,0.2595,0.6472
EMAMIINFRA,0.0078,0.0001,0.0068,0.1639,0.2083
SATIN,0.0,0.0,0.8404,0.3028,0.8284
PRAJIND,0.0,0.0001,0.0044,0.4021,0.9786
INDIANHUME,0.0,0.1912,0.1585,0.0861,0.7239
RENUKA,0.0005,0.0,0.0024,0.2195,0.5888
GLENMARK,0.0,0.1003,0.2397,0.2858,0.7576
WHEELS,0.0,0.4021,0.307,0.1828,0.596
ELAND,0.0,0.0548,0.1097,0.2452,0.1302
LYCOS,0.0521,0.1664,0.0011,0.1174,0.0935
JKTYRE,0.0,0.0014,0.0389,0.4199,0.6336
WIPRO,0.0,0.1773,0.004,0.1778,0.6145
CHAMBLFERT,0.0,0.0187,0.1824,0.1841,0.3864
SIMPLEX,0.03,0.0227,0.0056,0.1186,0.9271
BASF,0.0,0.1507,0.9456,0.1635,0.2526
ORIENTHOT,0.0,0.0046,0.0313,0.239,0.6839
KKCL,0.0,0.0023,0.3159,0.1226,0.6243
BAFNAPHARM,0.0,0.0,0.0001,0.4098,0.469
INDOCO,0.0186,0.0454,0.4913,0.0533,0.8421
MADHAV,0.0,0.0,0.0002,0.3106,0.914
GNFC,0.0001,0.0,0.167,0.1836,0.0161
TARAJEWELS,0.0,0.0,0.0012,0.3074,0.6681
THANGAMAYL,0.0,0.0013,0.0225,0.1431,0.663
GKWLIMITED,0.1306,0.2283,0.0979,0.0421,0.9926
BHARATRAS,0.0047,0.1211,0.8003,0.0535,0.1583
MANUGRAPH,0.0,0.0,0.201,0.2784,0.9061
HATSUN,0.2052,0.2148,0.5168,0.0131,0.9482
CAREERP,0.0,0.0,0.1532,0.2867,0.896
NCC,0.0,0.2888,0.0003,0.493,0.4719
JBMA,0.0,0.0001,0.4071,0.2515,0.3757
SQSBFSI,0.0,0.0297,0.6709,0.2054,0.5037
HARITASEAT,0.0,0.0,0.1775,0.2103,0.1777
GATI,0.0,0.0,0.2261,0.3141,0.6293
LINDEINDIA,0.0,0.449,0.3696,0.248,0.411
ABBOTINDIA,0.0,0.0321,0.8042,0.1588,0.498
ZUARI,0.0,0.0,0.4097,0.2495,0.1804
DATAMATICS,0.0,0.0251,0.0012,0.2766,0.1024
TALBROAUTO,0.0,0.0,0.0344,0.3753,0.579
NAHARCAP,0.0,0.0002,0.0083,0.2714,0.3772
BANKBEES,0.0,0.0,0.0011,0.741,0.1358
OISL,0.0256,0.0018,0.0,0.1907,0.319
NIBL,0.0005,0.0001,0.8203,0.1172,0.348
GENUSPAPER,0.0263,0.0,0.0078,0.1687,0.5636
WELINV,0.0018,0.0238,0.5973,0.0826,0.2138
ICRA,0.0,0.1183,0.2795,0.094,0.9716
VLSFINANCE,0.0,0.0,0.1868,0.2385,0.5508
ANKITMETAL,0.2835,0.0,0.0017,0.1345,0.6271
HINDPETRO,0.0003,0.5139,0.1907,0.0468,0.8636
FINPIPE,0.0,0.0013,0.7276,0.2264,0.0718
NEULANDLAB,0.0001,0.0494,0.0736,0.156,0.266
GOKEX,0.0,0.0938,0.3111,0.2001,0.656
BALMLAWRIE,0.07,0.2983,0.0551,0.058,0.8748
J&KBANK,0.0026,0.1638,0.0001,0.196,0.7187
IFBIND,0.0,0.0097,0.3146,0.2772,0.7437
NAGAROIL,0.0291,0.0063,0.0399,0.0983,0.4558
ARCHIDPLY,0.0,0.0,0.188,0.3757,0.6347
JINDALPHOT,0.0751,0.0712,0.0003,0.1372,0.494
ADORWELD,0.0,0.0807,0.0223,0.246,0.8857
MERCATOR,0.0,0.0,0.0013,0.3844,0.156
JINDALPOLY,0.0,0.0002,0.0003,0.4059,0.4242
PSUBNKBEES,0.0,0.0,0.0,0.6539,0.4059
GIPCL,0.0001,0.1816,0.097,0.1389,0.3503
RAJRAYON,0.3059,0.1607,0.4759,0.0119,0.6564
ZYDUSWELL,0.0001,0.0041,0.4834,0.1358,0.6505
PTC,0.0,0.0197,0.0008,0.3996,0.3446
UPL,0.0,0.0844,0.8523,0.3342,0.0763
TI,0.0023,0.0001,0.013,0.1737,0.4784
PGHH,0.0173,0.0129,0.4427,0.0645,0.1111
JUSTDIAL,0.0174,0.9555,0.0263,0.0857,0.2231
VASCONEQ,0.0,0.0,0.0011,0.495,0.9507
GTNTEX,0.1055,0.0227,0.172,0.0526,0.697
TATACHEM,0.0,0.2269,0.2142,0.3532,0.1945
SPICEMOBI,0.0619,0.017,0.1445,0.0633,0.957
REPRO,0.0001,0.0024,0.1912,0.1522,0.9886
GRINDWELL,0.1736,0.6975,0.9664,0.0007,0.3923
KARURVYSYA,0.1045,0.0046,0.8753,0.0378,0.296
AXISCADES,0.0,0.0,0.014,0.3782,0.4132
HOVS,0.0,0.0009,0.3363,0.1214,0.656
DIVISLAB,0.0,0.66,0.9525,0.103,0.4218
CUB,0.0,0.1022,0.2077,0.1565,0.0745
RUCHIRA,0.0,0.0,0.0623,0.3095,0.0831
DECCANCE,0.0,0.0,0.0049,0.3613,0.242
JMCPROJECT,0.0,0.0005,0.3528,0.3121,0.8966
GUJAPOLLO,0.0882,0.0098,0.3898,0.0483,0.7612
SHYAMCENT,0.0566,0.0155,0.5623,0.0451,0.5822
SUNPHARMA,0.0,0.7314,0.5235,0.1572,0.5007
SCHAEFFLER,0.0,0.3842,0.232,0.1754,0.883
IFBAGRO,0.0,0.0,0.0814,0.325,0.859
EVEREADY,0.0,0.5772,0.0016,0.2294,0.4387
ABAN,0.0,0.0022,0.0013,0.3367,0.56
MANAKALUCO,0.0173,0.0026,0.4225,0.0776,0.5891
NILAINFRA,0.0,0.0,0.007,0.3397,0.6893
BHUSANSTL,0.0,0.0003,0.0,0.3946,0.758
VSTTILLERS,0.0,0.0827,0.2746,0.1249,0.2623
THIRUSUGAR,0.001,0.0015,0.0146,0.1653,0.3314
POWERMECH,0.0,0.0,0.6487,0.1887,0.3188
NTL,0.0,0.0,0.0005,0.2873,0.4795
KOTAKGOLD,0.7117,0.5255,0.1487,0.0076,0.1997
QUICKHEAL,0.0,0.2813,0.0153,0.1931,0.8056
IPCALAB,0.0,0.357,0.1019,0.1496,0.5227
MEGH,0.0,0.0,0.0028,0.3271,0.1613
ICICINF100,0.1228,0.2406,0.002,0.0322,0.6834
MHRIL,0.0,0.0004,0.2182,0.3037,0.9396
3MINDIA,0.0,0.0181,0.3355,0.1575,0.7145
HDFC,0.0,0.3064,0.0001,0.3719,0.6726
GLOBUSSPR,0.0,0.0001,0.0417,0.2816,0.443
TRIDENT,0.0,0.0,0.0794,0.4098,0.576
RALLIS,0.0,0.073,0.7825,0.2396,0.5185
JKCEMENT,0.0,0.0133,0.7399,0.2409,0.3087
KITEX,0.0,0.0003,0.3468,0.2149,0.3731
VGUARD,0.7708,0.0532,0.8424,0.0047,0.7963
BANKBARODA,0.0,0.0,0.0,0.5277,0.6444
SAGCEM,0.0036,0.0001,0.0018,0.1898,0.207
EASTSILK,0.0649,0.0035,0.3475,0.061,0.754
KOTAKPSUBK,0.0,0.0,0.0,0.5528,0.4803
MAHSCOOTER,0.0,0.0,0.3101,0.2997,0.3959
SABTN,0.0442,0.3413,0.4312,0.0334,0.7943
MANAPPURAM,0.0,0.0041,0.2645,0.2604,0.0263
ELGIRUBCO,0.0001,0.0033,0.0147,0.1905,0.1417
BERGEPAINT,0.0,0.0364,0.0694,0.1264,0.9522
IDFCBANK,0.0,0.3678,0.0606,0.321,0.6651
CENTENKA,0.0,0.0,0.0488,0.4289,0.1209
AXISGOLD,0.6005,0.3918,0.8634,-0.0069,0.3306
HINDZINC,0.0,0.1263,0.0251,0.2296,0.0358
BINANIIND,0.0,0.0,0.0358,0.417,0.7631
BFUTILITIE,0.0,0.0,0.0038,0.4557,0.2543
ORIENTBELL,0.0,0.0,0.0022,0.3465,0.8525
SUPREMEIND,0.0002,0.0109,0.21,0.1317,0.1416
PIONDIST,0.0943,0.0557,0.0387,0.0657,0.6137
GICHSGFIN,0.0,0.0091,0.4863,0.3471,0.3776
ICICINIFTY,0.0,0.3113,0.0005,0.2625,0.6152
POLARIS,0.843,0.6152,0.0106,0.0324,0.4861
MAYURUNIQ,0.0001,0.0021,0.2107,0.1453,0.3585
HAVELLS,0.0,0.5631,0.207,0.372,0.4877
JAYNECOIND,0.0015,0.0002,0.0,0.3177,0.7898
MOSERBAER,0.0,0.0,0.0004,0.3553,0.1678
UNIPLY,0.0,0.0039,0.0092,0.211,0.373
IDBIGOLD,0.127,0.5459,0.5464,0.0125,0.3849
IZMO,0.0,0.0,0.0991,0.3636,0.8051
63MOONS,0.0,0.0017,0.0641,0.214,0.286
KOKUYOCMLN,0.0,0.0014,0.0018,0.2382,0.9428
STERTOOLS,0.0,0.0,0.0945,0.3105,0.0573
DYNAMATECH,0.0,0.0001,0.7218,0.2237,0.3804
HMVL,0.0003,0.0,0.5633,0.1336,0.9819
TTKPRESTIG,0.0001,0.075,0.1645,0.0736,0.314
INDIAGLYCO,0.0,0.0001,0.0158,0.258,0.2775
VIPCLOTHNG,0.0,0.0,0.0393,0.3291,0.6976
DENORA,0.0,0.0001,0.6045,0.3184,0.5801
AHLEAST,0.0,0.7117,0.1771,0.1432,0.4026
NETWORK18,0.0,0.0016,0.0375,0.3175,0.2185
JAGSNPHARM,0.0,0.0,0.0,0.4564,0.825
BALRAMCHIN,0.0,0.0486,0.0089,0.1955,0.0632
SHAHALLOYS,0.9666,0.0179,0.3578,0.017,0.255
CAPLIPOINT,0.0013,0.353,0.9259,0.0581,0.688
JUBILANT,0.0,0.0026,0.2829,0.3187,0.1632
EASUNREYRL,0.0,0.0003,0.0038,0.2817,0.1983
BBTC,0.0,0.0005,0.1145,0.3759,0.514
SUPPETRO,0.0,0.0,0.6461,0.2852,0.0423
MAHLIFE,0.0,0.0,0.2738,0.1885,0.3863
RELCAPITAL,0.0,0.8419,0.0,0.6669,0.6826
AJMERA,0.0,0.0,0.0821,0.5264,0.9881
EMCO,0.0,0.0,0.0001,0.3848,0.8741
HDFCBANK,0.0,0.0212,0.0033,0.4488,0.1445
GREENPOWER,0.0,0.0002,0.0073,0.3366,0.161
GSS,0.0063,0.0,0.0092,0.1922,0.9377
INTELLECT,0.0,0.0007,0.0005,0.3976,0.251
VADILALIND,0.0,0.0169,0.009,0.2674,0.8557
ENGINERSIN,0.0038,0.2901,0.1216,0.0866,0.8984
INGERRAND,0.0,0.0014,0.245,0.3584,0.8945
SHREYANIND,0.0009,0.0067,0.0501,0.159,0.1014
ARCHIES,0.0,0.0,0.0015,0.3427,0.9581
TWL,0.0,0.0,0.0023,0.3712,0.9201
BLKASHYAP,0.0002,0.0,0.0001,0.2878,0.7385
FMNL,0.0,0.0042,0.8936,0.1392,0.7225
DISHTV,0.0,0.185,0.0798,0.3799,0.968
AARVEEDEN,0.0006,0.0,0.046,0.1867,0.3347
BIOCON,0.0,0.0082,0.7226,0.1685,0.0138
KTKBANK,0.0,0.0696,0.0012,0.2706,0.8886
SHK,0.0,0.0088,0.8911,0.1939,0.2553
JMTAUTOLTD,0.0019,0.0387,0.1031,0.1094,0.1764
SGL,0.4448,0.8971,0.0828,0.02,0.1141
BHEL,0.0,0.3,0.0,0.3726,0.5933
LUMAXIND,0.0,0.0001,0.0348,0.3357,0.069
KESORAMIND,0.0,0.0,0.0023,0.3585,0.4236
SUPERSPIN,0.0,0.0,0.0001,0.3446,0.3773
RML,0.0,0.0052,0.0824,0.2017,0.3956
KESARENT,0.0011,0.0,0.0853,0.1769,0.2338
MANGLMCEM,0.0,0.0193,0.1603,0.2568,0.2186
SANOFI,0.0,0.0898,0.5585,0.1178,0.6823
GRANULES,0.0,0.0008,0.0001,0.4497,0.5524
SIGNET,0.0011,0.0016,0.5735,0.1063,0.4766
RADICO,0.0,0.0304,0.0016,0.2359,0.7006
SHREEPUSHK,0.0,0.0,0.0026,0.2658,0.1371
MCLEODRUSS,0.0,0.0073,0.0,0.3595,0.77
CENTRALBK,0.0,0.2109,0.0018,0.2271,0.3467
GARWALLROP,0.0,0.5755,0.0132,0.2659,0.1255
ASAHISONG,0.0,0.0,0.0037,0.3016,0.2302
BANKINDIA,0.0,0.0002,0.0,0.6742,0.7158
SAKHTISUG,0.0,0.0,0.0002,0.312,0.4531
COALINDIA,0.0,0.5657,0.128,0.2127,0.936
VENUSREM,0.0,0.0,0.0251,0.3002,0.9205
BOMDYEING,0.0,0.0,0.0,0.532,0.6323
PARABDRUGS,0.0018,0.0057,0.5255,0.0707,0.8631
AARTIDRUGS,0.0,0.0,0.1735,0.2655,0.5821
KOTAKNV20,0.0,0.2996,0.6043,0.1428,0.661
WABCOINDIA,0.0,0.7474,0.003,0.1729,0.7648
SANDESH,0.0,0.0041,0.5618,0.2618,0.7134
ALEMBICLTD,0.0,0.0,0.0,0.4352,0.7381
DCW,0.0,0.0,0.0205,0.3654,0.4503
MPSLTD,0.0,0.0,0.3424,0.2093,0.9154
TOKYOPLAST,0.3635,0.0077,0.1512,0.0426,0.1465
SURANAT&P,0.6235,0.0,0.0,0.1913,0.9589
CREST,0.1674,0.0242,0.1672,0.0457,0.2378
TVSMOTOR,0.0,0.7409,0.1225,0.2906,0.1858
TAKE,0.0,0.0352,0.0032,0.2517,0.9695
HFCL,0.0,0.0,0.0018,0.292,0.4759
HNGSNGBEES,0.8829,0.3801,0.219,0.0022,0.6643
TCIFINANCE,0.0113,0.0026,0.0098,0.1361,0.8531
INDHOTEL,0.0,0.0162,0.0239,0.2052,0.7438
BSELINFRA,0.1349,0.0,0.0001,0.195,0.3528
KMSUGAR,0.005,0.0,0.0412,0.1865,0.0007
PROZONINTU,0.0001,0.0,0.0024,0.248,0.537
EVERESTIND,0.0,0.0026,0.6008,0.1959,0.4882
HONDAPOWER,0.0,0.0001,0.4653,0.3022,0.366
NSIL,0.0004,0.7918,0.2038,0.1036,0.6634
EMKAY,0.0,0.0,0.9878,0.2101,0.8443
GTL,0.0,0.0,0.0109,0.2397,0.563
UFLEX,0.0,0.0,0.0025,0.5419,0.0391
ORCHIDPHAR,0.0,0.0,0.0,0.4384,0.0981
SESHAPAPER,0.0017,0.0103,0.0919,0.1212,0.0193
FLEXITUFF,0.0266,0.0698,0.046,0.0829,0.9624
NECCLTD,0.0465,0.2079,0.0438,0.0703,0.8362
ARCOTECH,0.0037,0.7405,0.5786,0.0524,0.1446
KANORICHEM,0.0,0.0,0.0024,0.3462,0.8375
MOIL,0.0,0.0047,0.2155,0.1852,0.0692
NESTLEIND,0.0,0.0173,0.0005,0.1532,0.5651
AUROPHARMA,0.0,0.2601,0.6255,0.3359,0.6224
BLUEDART,0.0,0.1445,0.4757,0.1932,0.2084
EXCELCROP,0.0,0.0207,0.7012,0.1299,0.1089
ATLANTA,0.0,0.0056,0.1732,0.2459,0.1463
TATAGLOBAL,0.0,0.0,0.0415,0.5222,0.828
GUJFLUORO,0.0,0.4935,0.0831,0.1605,0.9638
ITDCEM,0.0,0.0303,0.4987,0.283,0.1841
CIPLA,0.0,0.8571,0.0876,0.1848,0.8433
HEG,0.0,0.0016,0.0136,0.2928,0.9283
PCJEWELLER,0.0,0.0015,0.1519,0.205,0.6205
SANGHVIMOV,0.0,0.0,0.4966,0.2576,0.1534
DBREALTY,0.0,0.0,0.0,0.3163,0.5351
PRABHAT,0.0,0.0049,0.011,0.2517,0.7295
SUPREMEINF,0.0002,0.0007,0.007,0.1978,0.6823
METKORE,0.6543,0.0004,0.0254,0.0714,0.7342
GDL,0.0,0.8155,0.8224,0.1036,0.7078
FEL,0.9076,0.0173,0.1431,0.0226,0.2107
LOTUSEYE,0.0,0.0041,0.1535,0.1722,0.4618
LALPATHLAB,0.0012,0.2121,0.8151,0.055,0.2183
SHILPI,0.0,0.0019,0.1385,0.1784,0.0008
ACE,0.0,0.0,0.0021,0.377,0.6276
UNITY,0.0,0.0,0.0,0.3494,0.2279
RELIGARE,0.0045,0.8683,0.9245,0.0395,0.7494
NHPC,0.0,0.161,0.008,0.3361,0.1512
GAEL,0.0,0.0047,0.3609,0.2021,0.1003
SAIL,0.0,0.1085,0.0,0.5994,0.4358
SALORAINTL,0.0,0.0394,0.2947,0.2182,0.7317
HONAUT,0.0,0.0152,0.0633,0.201,0.5554
MUTHOOTCAP,0.0031,0.0,0.7887,0.1284,0.2315
V2RETAIL,0.0,0.0,0.249,0.2209,0.1736
PHOENIXLTD,0.0001,0.0401,0.4671,0.1131,0.4741
LOKESHMACH,0.0,0.0009,0.0039,0.3127,0.8009
COLPAL,0.0,0.2151,0.0885,0.1484,0.9943
FMGOETZE,0.0001,0.1822,0.1689,0.1248,0.2426
PRATIBHA,0.0,0.0,0.0157,0.3049,0.0299
RJL,0.0,0.0,0.0262,0.3193,0.7826
XCHANGING,0.0014,0.0406,0.1001,0.1137,0.7463
RAMASTEEL,0.1554,0.3573,0.4749,0.0147,0.5473
RAJESHEXPO,0.0,0.8742,0.5632,0.1184,0.2977
BLISSGVS,0.0045,0.0,0.0146,0.1695,0.8248
BANCOINDIA,0.0,0.0059,0.0549,0.2823,0.2247
ISFT,0.0,0.0,0.0015,0.4009,0.5567
ADANIPOWER,0.0,0.0186,0.0,0.4774,0.8588
ALLCARGO,0.0,0.0,0.0708,0.2878,0.9295
SANGHIIND,0.0,0.0,0.02,0.3169,0.8197
RELINFRA,0.0,0.713,0.0,0.5927,0.8371
KOTAKNIFTY,0.0,0.0,0.0055,0.8646,0.0789
GESHIP,0.0014,0.0053,0.0002,0.2087,0.6753
OMAXE,0.0,0.5716,0.0761,0.3052,0.0545
NDL,0.0,0.0,0.0,0.3324,0.8339
GAL,0.0,0.6964,0.4096,0.1178,0.521
BIRLAMONEY,0.0163,0.0,0.0048,0.183,0.8166
KCP,0.0,0.0,0.022,0.3817,0.6011
EDL,0.0,0.0,0.0086,0.3023,0.6989
BEL,0.0,0.6565,0.3978,0.4127,0.6295
PFS,0.0,0.0057,0.0001,0.3268,0.8032
AUTOLITIND,0.0,0.0,0.0774,0.2659,0.7833
ORIENTPPR,0.0001,0.0,0.0316,0.2502,0.0369
ECLERX,0.0055,0.545,0.9031,0.0401,0.762
GRAPHITE,0.0002,0.001,0.0047,0.2032,0.8933
MORARJEE,0.0,0.0001,0.0684,0.2078,0.6082
SWANENERGY,0.971,0.5895,0.2854,-0.0045,0.0726
BALPHARMA,0.0001,0.0,0.0006,0.2569,0.9942
OMKARCHEM,0.0,0.0002,0.03,0.2621,0.6022
LUMAXTECH,0.0,0.0035,0.4913,0.3493,0.53
TIPSINDLTD,0.0131,0.0002,0.855,0.083,0.5492
SRSLTD,0.0,0.0002,0.0128,0.2479,0.0333
MAHABANK,0.0126,0.4911,0.0,0.381,0.9355
TTL,0.0,0.0034,0.0127,0.2737,0.8555
PRIMESECU,0.0404,0.2138,0.9361,0.0237,0.0061
GET&D,0.0,0.8505,0.3751,0.1289,0.2515
LAKSHVILAS,0.0038,0.0084,0.0058,0.1512,0.1137
LYKALABS,0.0,0.0,0.0008,0.4623,0.1024
SDBL,0.0891,0.0144,0.6849,0.0375,0.6907
MMFL,0.0013,0.0032,0.002,0.1846,0.9874
KANSAINER,0.0,0.001,0.0018,0.2431,0.2345
SNOWMAN,0.0,0.0,0.5259,0.2596,0.5282
ARROWTEX,0.0,0.0072,0.6208,0.1965,0.5175
UNICHEMLAB,0.0,0.0002,0.6811,0.256,0.7557
COROMANDEL,0.0,0.0607,0.3013,0.1879,0.085
TRIGYN,0.0,0.0,0.0009,0.3513,0.2751
JSWSTEEL,0.0,0.0311,0.0002,0.3027,0.0145
ESSARSHPNG,0.4641,0.0015,0.0001,0.1301,0.6026
JTEKTINDIA,0.0,0.0071,0.0723,0.3421,0.5305
VAKRANGEE,0.0055,0.0806,0.053,0.1019,0.0677
SPENTEX,0.0408,0.0,0.0214,0.1604,0.1588
EXCELINDUS,0.0,0.0,0.007,0.2826,0.1607
TBZ,0.0,0.0006,0.0025,0.2927,0.5809
INFRATEL,0.0001,0.7243,0.2941,0.0652,0.7555
KPIT,0.0,0.0374,0.1213,0.1825,0.8392
MADRASFERT,0.0,0.0789,0.1187,0.2428,0.7875
REPCOHOME,0.0,0.1328,0.0001,0.2707,0.6943
HUBTOWN,0.014,0.2332,0.2139,0.0609,0.8402
RECLTD,0.0,0.8564,0.3004,0.1207,0.6349
NIITLTD,0.0,0.0018,0.0023,0.2971,0.9065
SIMPLEXINF,0.0,0.0453,0.8526,0.1914,0.8601
BANARBEADS,0.0019,0.0317,0.3178,0.0933,0.4432
TTML,0.0,0.0003,0.0243,0.2651,0.6805
CANBK,0.0,0.0,0.0,0.5774,0.3197
SORILINFRA,0.0002,0.0,0.4016,0.1768,0.0626
SHALPAINTS,0.0,0.0004,0.2784,0.333,0.6294
BALKRISHNA,0.0,0.0007,0.0866,0.215,0.3401
NILKAMAL,0.0,0.0,0.0821,0.3625,0.5591
SUNDARMFIN,0.0,0.0312,0.5301,0.1512,0.7147
UTINIFTETF,0.0,0.3041,0.0639,0.6496,0.4194
TIMETECHNO,0.0,0.0011,0.084,0.2558,0.1366
DONEAR,0.0007,0.0014,0.2593,0.134,0.2453
L&TFH,0.0,0.0001,0.7004,0.4212,0.1192
LIQUIDBEES,0.0343,0.6117,0.0419,0.0126,0.0
AGARIND,0.0821,0.0001,0.0008,0.1551,0.072
PUNJLLOYD,0.0,0.0,0.0,0.3364,0.5249
IOLCP,0.0,0.0002,0.978,0.2757,0.2135
SCI,0.0,0.0,0.0,0.4846,0.3708
DHARSUGAR,0.0006,0.0004,0.6707,0.1182,0.2988
GTNIND,0.0012,0.039,0.3049,0.0589,0.5836
PIIND,0.0,0.1772,0.9979,0.1041,0.2845
BAJAJHLDNG,0.0,0.0711,0.9894,0.2064,0.4582
RAMKY,0.0,0.0157,0.002,0.2812,0.0863
ASTRAZEN,0.1252,0.0001,0.0003,0.16,0.3988
MIRZAINT,0.0,0.0,0.0003,0.4478,0.412
SURYAROSNI,0.0,0.0,0.001,0.4238,0.2599
ADROITINFO,0.0206,0.0,0.0345,0.1504,0.9683
SUNDARAM,0.0002,0.0342,0.1612,0.1281,0.262
AUSOMENT,0.0674,0.1832,0.7888,0.0255,0.6295
VESUVIUS,0.0034,0.0244,0.7294,0.0697,0.1714
DIAPOWER,0.0001,0.0003,0.4287,0.1525,0.9642
NH,0.0001,0.0,0.069,0.211,0.5373
VEDL,0.0,0.0058,0.0,0.5481,0.0038
PRAENG,0.0003,0.0,0.0117,0.2079,0.2948
HITECHCORP,0.0,0.0,0.0001,0.3304,0.8048
