Symbol,Rm-Rf %,SMB %,HML %,high-low,Adj-r_sq,const
GREENPLY,0.0,0.0029,0.0746,0.304,0.0558,0.4448
ZEEMEDIA,0.0,0.0,0.0,0.0748,0.2772,0.3491
MUTHOOTFIN,0.0,0.0653,0.8036,0.1394,0.1172,0.2384
BAJFINANCE,0.0,0.3558,0.01,0.0065,0.0934,0.2025
BASML,0.0,0.0,0.0,0.037,0.1286,0.2198
KNRCON,0.0,0.0,0.0006,0.5917,0.0609,0.1146
IBREALEST,0.0,0.3305,0.0,0.3202,0.3788,0.2359
VOLTAMP,0.0,0.0,0.0,0.5364,0.1882,0.2345
KOTHARIPET,0.0,0.0,0.0603,0.6672,0.1057,0.1612
RATNAMANI,0.0,0.0,0.0014,0.8764,0.1073,0.0084
FIEMIND,0.0,0.0,0.0435,0.8861,0.1139,0.0136
BALAJITELE,0.0,0.0,0.0004,0.9196,0.2458,0.4555
KOHINOOR,0.0,0.0,0.0,0.4577,0.1585,0.3977
ELGIEQUIP,0.0,0.0,0.0006,0.1228,0.0983,0.0826
DABUR,0.0,0.1332,0.0315,0.8575,0.1322,0.0211
ASHOKLEY,0.0,0.0007,0.005,0.0225,0.3051,0.0659
BANG,0.0422,0.0002,0.0,0.6857,0.0574,0.6434
SRTRANSFIN,0.0,0.2643,0.0089,0.4838,0.221,0.3489
SUNDRMFAST,0.0,0.0,0.0162,0.8999,0.1644,0.0018
KOTARISUG,0.0002,0.0,0.0,0.9273,0.0776,0.4531
IVC,0.0,0.0,0.0002,0.1606,0.108,0.5502
RBL,0.0,0.0,0.1574,0.0825,0.135,0.0263
SYMPHONY,0.0,0.0001,0.6253,0.4564,0.0821,0.0574
NFL,0.0,0.0,0.0,0.0565,0.2839,0.9036
UNITEDBNK,0.0,0.2814,0.0,0.1375,0.3023,0.0662
MAJESCO,0.0,0.0,0.0011,0.627,0.2342,0.9535
MINDACORP,0.0,0.0001,0.0206,0.6248,0.1361,0.8402
AGCNET,0.0,0.0,0.0,0.3396,0.1049,0.9823
MUKTAARTS,0.0,0.0,0.0,0.6994,0.1143,0.2619
NITCO,0.0,0.0,0.0,0.235,0.197,0.1553
BKMINDST,0.6787,0.0045,0.212,0.3257,0.0188,0.2439
ASAL,0.0,0.0,0.0057,0.4821,0.1069,0.2918
CENTURYTEX,0.0,0.0009,0.0,0.5266,0.4943,0.1384
NCLIND,0.0,0.0,0.0,0.1302,0.1854,0.1257
ASTRAL,0.0,0.0,0.0926,0.4486,0.0489,0.1843
RKFORGE,0.0073,0.8249,0.6642,0.8559,0.0078,0.2137
IGARASHI,0.0,0.0,0.002,0.1977,0.1798,0.0254
JPOLYINVST,0.0,0.0,0.0014,0.3379,0.11,0.9079
KIRIINDUS,0.6227,0.002,0.1079,0.1546,0.0148,0.1216
RPOWER,0.0,0.3631,0.0,0.0376,0.59,0.2181
HINDCOPPER,0.0,0.0,0.0,0.0026,0.3105,0.6697
PENINLAND,0.0,0.0,0.0,0.0035,0.2959,0.4146
JAGRAN,0.0,0.0,0.0117,0.3598,0.1244,0.2998
MTEDUCARE,0.0,0.0,0.0,0.304,0.17,0.6825
3IINFOTECH,0.0,0.0,0.0,0.5075,0.1507,0.8524
ADSL,0.0,0.0,0.0,0.6636,0.1753,0.8314
WOCKPHARMA,0.0,0.0,0.0309,0.9897,0.1859,0.3626
ESTER,0.0,0.0,0.0,0.6622,0.1134,0.1651
KTIL,0.0,0.0,0.0906,0.8511,0.0906,0.2172
APOLLOHOSP,0.0,0.0099,0.0,0.4908,0.1436,0.4133
EUROTEXIND,0.0024,0.0,0.0028,0.297,0.069,0.464
SPMLINFRA,0.0,0.0,0.0,0.9013,0.1156,0.3492
GLOBALVECT,0.0,0.0,0.0005,0.7206,0.0836,0.0869
AJANTPHARM,0.0,0.009,0.6385,0.2664,0.0629,0.0927
GILLETTE,0.0,0.0066,0.6158,0.0031,0.0946,0.0329
CLNINDIA,0.0,0.0,0.0004,0.9892,0.0942,0.8891
3PLAND,0.0333,0.0001,0.0274,0.0691,0.0354,0.4877
PAPERPROD,0.0,0.0,0.0253,0.5329,0.1525,0.0385
SUPERHOUSE,0.0,0.0,0.0,0.8726,0.2338,0.3994
MCDOWELL-N,0.0,0.1722,0.5265,0.882,0.1147,0.2561
GULFPETRO,0.0,0.0,0.0007,0.1512,0.1193,0.2537
VOLTAS,0.0,0.2285,0.0851,0.91,0.3057,0.0104
HIMATSEIDE,0.0,0.0,0.0,0.763,0.2298,0.0171
INDOTHAI,0.0,0.0,0.0003,0.2245,0.0643,0.0821
SWELECTES,0.0,0.0,0.0,0.0681,0.1901,0.2036
KWALITY,0.0,0.0,0.0,0.08,0.2267,0.4041
BALLARPUR,0.0,0.0,0.0,0.9036,0.2488,0.5734
JKIL,0.0,0.0,0.0012,0.4627,0.0635,0.6596
POLYMED,0.0003,0.2732,0.5086,0.9177,0.0177,0.6353
AMRUTANJAN,0.0,0.0,0.0162,0.6774,0.2047,0.1173
RSYSTEMS,0.0002,0.0003,0.0178,0.6472,0.0336,0.8166
UNIVCABLES,0.0015,0.0028,0.1662,0.9155,0.0296,0.3048
RCOM,0.0,0.0637,0.0,0.0354,0.3221,0.9096
DALMIASUG,0.0,0.0,0.0,0.9409,0.129,0.042
JUBLINDS,0.0,0.0,0.0,0.0394,0.124,0.4267
GODREJCP,0.0,0.9163,0.0001,0.4009,0.1035,0.428
PILITA,0.0367,0.2121,0.8311,0.3243,0.0163,0.0835
CAMLINFINE,0.0,0.0,0.127,0.7625,0.1723,0.6966
GSFC,0.0,0.0,0.0,0.0211,0.2109,0.2739
IL&FSTRANS,0.0,0.0,0.0,0.2474,0.2848,0.1709
PPAP,0.0,0.0,0.0515,0.9919,0.1165,0.0196
APOLLOTYRE,0.0,0.0172,0.0003,0.0529,0.2318,0.1622
VAIBHAVGBL,0.0,0.1429,0.0726,0.1137,0.0451,0.016
ADVANIHOTR,0.0,0.0,0.7629,0.2832,0.0575,0.3155
ANSALAPI,0.0,0.0,0.0,0.0079,0.3624,0.5826
BODALCHEM,0.0002,0.0,0.0579,0.0647,0.0728,0.061
SUNTV,0.0,0.0602,0.0009,0.2479,0.187,0.3079
HIL,0.0,0.0,0.0,0.403,0.2179,0.1881
SATIN,0.0,0.0,0.6819,0.164,0.2012,0.391
PRAJIND,0.0,0.0,0.0,0.2038,0.2438,0.4029
INDIANHUME,0.0,0.0,0.0007,0.282,0.1546,0.2092
RENUKA,0.0,0.0,0.0,0.207,0.1923,0.5945
GLENMARK,0.0,0.0003,0.5626,0.57,0.121,0.662
WHEELS,0.0,0.0007,0.0071,0.2414,0.1176,0.2637
ELAND,0.0,0.0,0.2751,0.8109,0.1185,0.4161
JKTYRE,0.0,0.0,0.0,0.9555,0.1484,0.5295
WIPRO,0.0,0.7346,0.0012,0.1973,0.0422,0.7547
CHAMBLFERT,0.0,0.0,0.0,0.0389,0.238,0.2473
SIMPLEX,0.0,0.0,0.0,0.4572,0.1035,0.7373
BASF,0.0,0.0001,0.1323,0.0,0.1479,0.1705
ORIENTHOT,0.0,0.0,0.0033,0.8595,0.0899,0.451
KKCL,0.0,0.0004,0.2989,0.4182,0.0417,0.0315
BAFNAPHARM,0.0,0.0,0.0,0.8565,0.1561,0.7296
INDOCO,0.0,0.0001,0.4351,0.4402,0.0618,0.0394
MADHAV,0.0,0.0,0.0,0.4489,0.1636,0.3243
GNFC,0.0,0.0,0.0,0.4188,0.2081,0.0376
TARAJEWELS,0.0,0.0,0.0001,0.44,0.1427,0.0143
THANGAMAYL,0.0,0.0,0.3613,0.6834,0.0855,0.3134
BHARATRAS,0.0,0.0,0.1629,0.8564,0.069,0.0025
MANUGRAPH,0.0,0.0,0.0,0.1814,0.1195,0.8473
HATSUN,0.0014,0.0936,0.75,0.2475,0.0337,0.0358
CAREERP,0.0,0.0,0.0001,0.6312,0.146,0.8953
NCC,0.0,0.0009,0.0,0.023,0.32,0.2885
JBMA,0.0,0.0,0.0005,0.0007,0.1285,0.1134
SQSBFSI,0.0,0.0,0.0007,0.8869,0.1049,0.0688
HARITASEAT,0.0,0.0,0.3107,0.8458,0.0979,0.0437
GATI,0.0,0.0,0.0,0.1802,0.2225,0.2445
LINDEINDIA,0.0,0.0005,0.0029,0.9437,0.0992,0.4253
ABBOTINDIA,0.0,0.0001,0.3786,0.4986,0.0455,0.0045
ZUARI,0.0,0.0,0.0,0.4451,0.1497,0.491
DATAMATICS,0.0,0.0,0.0002,0.8361,0.144,0.2345
TALBROAUTO,0.0,0.0,0.0,0.1264,0.2003,0.0906
NAHARCAP,0.0,0.0,0.0,0.7809,0.1829,0.1206
BANKBEES,0.0,0.0,0.3579,0.3306,0.6352,0.0035
OISL,0.0002,0.0,0.0,0.2856,0.1012,0.2841
NIBL,0.01,0.007,0.4983,0.507,0.0177,0.1896
GENUSPAPER,0.0131,0.0,0.0033,0.6798,0.0804,0.1511
ICRA,0.0,0.0005,0.045,0.9505,0.0732,0.0363
VLSFINANCE,0.0,0.0,0.0,0.5275,0.1785,0.203
HINDPETRO,0.0,0.0297,0.6758,0.6806,0.1551,0.335
FINPIPE,0.0,0.0,0.0028,0.2683,0.1088,0.0007
NEULANDLAB,0.0,0.0,0.0115,0.4183,0.1056,0.044
GOKEX,0.0,0.0,0.0001,0.185,0.151,0.4772
BALMLAWRIE,0.0,0.0,0.0005,0.194,0.1149,0.8974
J&KBANK,0.0,0.8225,0.0016,0.1906,0.0856,0.3581
IFBIND,0.0,0.0,0.0,0.768,0.1437,0.0079
NAGAROIL,0.0,0.0,0.0,0.3541,0.1273,0.9795
ARCHIDPLY,0.0001,0.0,0.0004,0.1638,0.0797,0.0447
JINDALPHOT,0.0,0.0,0.0,0.36,0.0967,0.7106
ADORWELD,0.0,0.0,0.0171,0.6828,0.1682,0.1862
MERCATOR,0.0,0.0,0.0,0.9537,0.2972,0.7211
JINDALPOLY,0.0,0.0,0.0,0.8158,0.3093,0.6013
PSUBNKBEES,0.0,0.0,0.0,0.0508,0.3737,0.6833
GIPCL,0.0,0.0,0.0,0.6209,0.2061,0.3696
ZYDUSWELL,0.0,0.0023,0.0088,0.6683,0.0714,0.1355
PTC,0.0,0.0,0.0,0.3104,0.4272,0.5619
UPL,0.0,0.0113,0.0489,0.6574,0.2231,0.0092
TI,0.0,0.0,0.0,0.0388,0.1394,0.3391
PGHH,0.0,0.0081,0.7345,0.0406,0.0692,0.002
JUSTDIAL,0.0,0.1818,0.3294,0.017,0.0867,0.9548
VASCONEQ,0.0,0.0,0.0,0.4637,0.2027,0.8613
GTNTEX,0.0013,0.0003,0.0333,0.2915,0.0356,0.1362
TATACHEM,0.0,0.0001,0.0001,0.123,0.3593,0.2173
SPICEMOBI,0.0,0.0,0.0561,0.1894,0.0393,0.8225
REPRO,0.0,0.0,0.0022,0.5354,0.1154,0.1868
GRINDWELL,0.0,0.0,0.0697,0.6458,0.0514,0.1573
KARURVYSYA,0.0,0.0,0.1453,0.2325,0.0838,0.4803
AXISCADES,0.0,0.0,0.0,0.0588,0.2133,0.5562
HOVS,0.0,0.0,0.2171,0.6536,0.086,0.0616
DIVISLAB,0.0,0.0048,0.3175,0.9782,0.0716,0.7209
CUB,0.0,0.0048,0.2125,0.6705,0.1165,0.0206
RUCHIRA,0.0,0.0,0.0006,0.2789,0.0994,0.0155
DECCANCE,0.0,0.0,0.0001,0.0085,0.1449,0.5369
JMCPROJECT,0.0,0.0,0.0,0.4927,0.2456,0.1063
GUJAPOLLO,0.0,0.0,0.1846,0.9407,0.0795,0.2469
SUNPHARMA,0.0,0.4756,0.0043,0.1025,0.0912,0.7878
SCHAEFFLER,0.0,0.0,0.2179,0.0248,0.098,0.0133
EVEREADY,0.0,0.0,0.0001,0.5339,0.2116,0.0002
ABAN,0.0,0.0,0.0,0.1603,0.2597,0.4659
MANAKALUCO,0.0016,0.0002,0.9688,0.8346,0.0481,0.6418
NILAINFRA,0.0,0.0,0.0084,0.0447,0.2188,0.2412
BHUSANSTL,0.0,0.0,0.0001,0.6047,0.1021,0.107
VSTTILLERS,0.0,0.0001,0.057,0.88,0.1041,0.0077
THIRUSUGAR,0.0,0.0,0.0029,0.3644,0.0968,0.802
POWERMECH,0.0,0.0005,0.4494,0.4137,0.0948,0.7236
KOTAKGOLD,0.1745,0.8391,0.7128,0.7057,0.0008,0.5511
IPCALAB,0.0,0.0007,0.0043,0.0162,0.0757,0.6745
MEGH,0.0,0.0,0.0,0.8532,0.244,0.0283
ICICINF100,0.6274,0.7261,0.1288,0.5461,0.0034,0.1318
MHRIL,0.0,0.0,0.0,0.4883,0.1939,0.8836
3MINDIA,0.0,0.0,0.0259,0.0,0.1811,0.0383
HDFC,0.0,0.0002,0.0,0.8265,0.3511,0.0581
GLOBUSSPR,0.0,0.0,0.0,0.4558,0.2168,0.9661
TRIDENT,0.0,0.0,0.0,0.181,0.2678,0.0629
RALLIS,0.0,0.0035,0.6376,0.6704,0.1591,0.4109
JKCEMENT,0.0,0.0028,0.035,0.9029,0.1553,0.1033
KITEX,0.0,0.0,0.0003,0.75,0.1231,0.1239
VGUARD,0.0,0.0128,0.09,0.9236,0.0372,0.4496
BANKBARODA,0.0,0.0,0.0,0.7696,0.2382,0.7676
SAGCEM,0.0,0.0,0.0001,0.0705,0.0901,0.2136
EASTSILK,0.053,0.001,0.0002,0.2416,0.0443,0.3221
KOTAKPSUBK,0.0,0.0,0.0,0.2216,0.4304,0.8172
MAHSCOOTER,0.0,0.0,0.5111,0.3027,0.141,0.0193
SABTN,0.0,0.0213,0.2436,0.5185,0.0311,0.1712
MANAPPURAM,0.0,0.0001,0.0065,0.4155,0.1485,0.2007
ELGIRUBCO,0.0,0.0,0.0,0.4782,0.0962,0.4172
STINDIA,0.0195,0.0752,0.4774,0.0002,0.029,0.3395
BERGEPAINT,0.0,0.002,0.9509,0.6202,0.0727,0.3236
IDFCBANK,0.0,0.1027,0.0039,0.2448,0.2788,0.3734
CENTENKA,0.0,0.0,0.0,0.0282,0.3129,0.4346
AXISGOLD,0.0269,0.5732,0.4065,0.2309,0.0056,0.3481
HINDZINC,0.0,0.0042,0.0024,0.7138,0.275,0.0972
BINANIIND,0.0,0.0,0.0,0.1,0.2477,0.9228
BFUTILITIE,0.0,0.0,0.0001,0.7593,0.2525,0.8947
ORIENTBELL,0.0,0.0,0.0,0.0414,0.1933,0.4588
SUPREMEIND,0.0,0.0001,0.1666,0.1114,0.0835,0.0058
PIONDIST,0.0013,0.0005,0.0219,0.3544,0.0411,0.1406
GICHSGFIN,0.0,0.0,0.0,0.6432,0.3198,0.0974
ICICINIFTY,0.0,0.058,0.0543,0.6981,0.0623,0.1319
POLARIS,0.0,0.0025,0.0016,0.2019,0.0804,0.1414
MAYURUNIQ,0.0,0.0,0.0235,0.4259,0.0472,0.6055
HAVELLS,0.0,0.0176,0.3231,0.8551,0.1009,0.5847
JAYNECOIND,0.0,0.0,0.0,0.6467,0.2824,0.6894
UNIPLY,0.0018,0.0334,0.7946,0.4104,0.0157,0.0294
IDBIGOLD,0.0094,0.9016,0.8602,0.6411,0.007,0.3452
IZMO,0.0,0.0,0.0,0.5131,0.1541,0.2864
63MOONS,0.0,0.0007,0.1866,0.6405,0.0905,0.2791
KOKUYOCMLN,0.0,0.0,0.0,0.117,0.1892,0.2763
STERTOOLS,0.0,0.0,0.0072,0.8884,0.0851,0.0808
DYNAMATECH,0.0,0.0002,0.156,0.0008,0.0848,0.382
HMVL,0.0,0.0,0.0326,0.6102,0.0721,0.2907
TTKPRESTIG,0.0,0.0407,0.2002,0.8529,0.0602,0.1181
INDIAGLYCO,0.0,0.0,0.0,0.0907,0.2666,0.3834
VIPCLOTHNG,0.0,0.0,0.0,0.8632,0.2293,0.4722
DENORA,0.0,0.0,0.007,0.8895,0.1697,0.9407
AHLEAST,0.0,0.0,0.0165,0.0815,0.0803,0.7425
NETWORK18,0.0,0.0,0.0,0.0177,0.2799,0.7357
JAGSNPHARM,0.0,0.0,0.0,0.5588,0.1791,0.3868
BALRAMCHIN,0.0,0.0,0.0,0.8396,0.135,0.247
SHAHALLOYS,0.3293,0.002,0.0034,0.3662,0.0181,0.2075
CAPLIPOINT,0.0,0.0005,0.2655,0.4545,0.0981,0.1134
JUBILANT,0.0,0.0,0.0032,0.041,0.1609,0.2007
BBTC,0.0,0.0,0.0148,0.9735,0.2605,0.0113
SUPPETRO,0.0,0.0,0.0018,0.4931,0.1726,0.037
MAHLIFE,0.0,0.0,0.0137,0.5423,0.1145,0.7521
RELCAPITAL,0.0,0.9757,0.0,0.8305,0.5556,0.9191
AJMERA,0.0,0.0,0.0,0.4421,0.2042,0.3263
HDFCBANK,0.0,0.0,0.0,0.2081,0.4276,0.0003
GREENPOWER,0.0,0.0,0.0,0.2354,0.175,0.8769
GSS,0.0,0.0,0.0,0.3194,0.0872,0.9569
INTELLECT,0.0,0.0,0.0001,0.3229,0.2761,0.5838
VADILALIND,0.0,0.0,0.0109,0.8136,0.2125,0.1615
ENGINERSIN,0.0,0.0049,0.0002,0.3566,0.1909,0.9999
INGERRAND,0.0,0.0,0.0,0.6671,0.2318,0.5692
SHREYANIND,0.0,0.0,0.0819,0.5141,0.0735,0.0547
TWL,0.0,0.0,0.0001,0.8855,0.1052,0.7573
BLKASHYAP,0.0,0.0,0.0,0.1706,0.2168,0.2469
FMNL,0.0,0.0016,0.0092,0.701,0.0568,0.0958
DISHTV,0.0,0.0446,0.0,0.9863,0.2576,0.837
AARVEEDEN,0.0,0.0,0.0,0.3613,0.1554,0.9194
BIOCON,0.0,0.0023,0.1143,0.6207,0.0846,0.2309
KTKBANK,0.0,0.0428,0.0,0.7763,0.3885,0.9775
SHK,0.0,0.0,0.9475,0.5846,0.1341,0.4939
JMTAUTOLTD,0.116,0.4247,0.4698,0.9182,0.0024,0.7672
SGL,0.2963,0.2793,0.0133,0.1574,0.0157,0.0202
BHEL,0.0,0.5453,0.0,0.0882,0.281,0.4356
LUMAXIND,0.0,0.0,0.0316,0.031,0.165,0.0681
KESORAMIND,0.0,0.0,0.0,0.6482,0.2298,0.8655
RML,0.0,0.0,0.0099,0.76,0.127,0.0866
KESARENT,0.0044,0.0,0.0536,0.6134,0.0504,0.5144
MANGLMCEM,0.0,0.0,0.0,0.2352,0.2664,0.5583
SANOFI,0.0,0.0585,0.8239,0.7103,0.0541,0.0813
GRANULES,0.0,0.0,0.0006,0.311,0.1467,0.4113
SIGNET,0.0093,0.0015,0.0911,0.4502,0.0539,0.5836
RADICO,0.0,0.0,0.0,0.8883,0.1539,0.392
SHREEPUSHK,0.0,0.0,0.0004,0.613,0.1981,0.1044
MCLEODRUSS,0.0,0.0,0.0,0.2431,0.2158,0.3642
CENTRALBK,0.0,0.3266,0.0,0.9051,0.2625,0.902
ASAHISONG,0.0,0.0,0.0,0.0354,0.2097,0.1914
BANKINDIA,0.0,0.0,0.0,0.0767,0.514,0.7301
SAKHTISUG,0.0,0.0,0.0,0.9747,0.1745,0.9501
COALINDIA,0.0,0.322,0.1175,0.019,0.2081,0.9661
VENUSREM,0.0,0.0,0.0004,0.1077,0.1809,0.3127
AARTIDRUGS,0.0,0.0,0.0074,0.2995,0.1296,0.188
WABCOINDIA,0.0,0.0011,0.4189,0.0,0.1151,0.0259
SANDESH,0.0,0.0001,0.0082,0.5619,0.0866,0.0366
ALEMBICLTD,0.0,0.0,0.0,0.4794,0.2109,0.3122
DCW,0.0,0.0,0.0,0.1357,0.3076,0.5981
MPSLTD,0.0,0.0,0.9034,0.5097,0.0969,0.0455
TOKYOPLAST,0.0002,0.0,0.0037,0.7458,0.0728,0.0658
SURANAT&P,0.2174,0.0,0.0,0.1652,0.0614,0.9924
CREST,0.0047,0.0002,0.0024,0.8097,0.0373,0.0977
TVSMOTOR,0.0,0.1369,0.3835,0.7252,0.1426,0.0001
TAKE,0.0,0.0,0.0001,0.0008,0.1567,0.1387
HFCL,0.0,0.0,0.0,0.0445,0.2683,0.4751
HNGSNGBEES,0.003,0.2398,0.6766,0.8069,0.0103,0.2554
TCIFINANCE,0.0,0.0,0.0005,0.0535,0.0891,0.7987
INDHOTEL,0.0,0.0099,0.0023,0.5341,0.1228,0.2219
BSELINFRA,0.0002,0.0,0.0,0.4729,0.1143,0.4141
KMSUGAR,0.0,0.0,0.0063,0.6085,0.0818,0.0434
PROZONINTU,0.0,0.0,0.0,0.7916,0.1931,0.6003
EVERESTIND,0.0,0.0,0.0,0.0455,0.2004,0.3698
HONDAPOWER,0.0,0.0,0.0052,0.2711,0.1774,0.3279
NSIL,0.0,0.0003,0.0005,0.6914,0.0971,0.3498
EMKAY,0.0018,0.0,0.0001,0.7439,0.0594,0.0539
GTL,0.0,0.0,0.0,0.5108,0.3271,0.5786
UFLEX,0.0,0.0,0.0,0.549,0.4008,0.0987
SESHAPAPER,0.0,0.0008,0.0322,0.4988,0.0893,0.1015
FLEXITUFF,0.0004,0.0429,0.0414,0.1998,0.0233,0.91
ARCOTECH,0.0721,0.6045,0.5611,0.6927,0.0076,0.9389
KANORICHEM,0.0,0.0,0.0,0.7871,0.2517,0.5332
MOIL,0.0,0.0,0.0172,0.4309,0.1444,0.9037
NESTLEIND,0.0,0.5314,0.0043,0.0047,0.0816,0.2032
AUROPHARMA,0.0,0.6686,0.0079,0.7467,0.1478,0.0718
BLUEDART,0.0,0.0025,0.7556,0.0086,0.1128,0.1944
EXCELCROP,0.0251,0.0117,0.2708,0.2501,0.0184,0.0813
ATLANTA,0.0,0.0,0.0,0.3914,0.2149,0.49
TATAGLOBAL,0.0,0.0,0.0,0.171,0.4011,0.4344
GUJFLUORO,0.0,0.0066,0.0011,0.2523,0.1508,0.1306
ITDCEM,0.0,0.0,0.0405,0.4467,0.0635,0.3126
CIPLA,0.0,0.0502,0.5149,0.6505,0.1873,0.3511
HEG,0.0,0.0,0.0,0.7363,0.1719,0.019
PCJEWELLER,0.0,0.0,0.2601,0.9904,0.1021,0.2797
SANGHVIMOV,0.0101,0.0003,0.0025,0.1632,0.0371,0.4269
DBREALTY,0.0,0.0,0.0,0.004,0.3101,0.2477
PRABHAT,0.0,0.0,0.2193,0.0685,0.1671,0.4457
SUPREMEINF,0.0,0.0,0.0,0.0246,0.1387,0.8229
METKORE,0.0026,0.0001,0.0105,0.5065,0.0326,0.9373
GDL,0.0,0.0001,0.0556,0.7751,0.0997,0.3563
FEL,0.0,0.0056,0.0,0.3307,0.0997,0.7471
LOTUSEYE,0.0,0.0,0.0001,0.8116,0.1163,0.1187
LALPATHLAB,0.0005,0.0233,0.3974,0.0653,0.0464,0.7274
ACE,0.0,0.0,0.0,0.3331,0.296,0.1089
UNITY,0.0,0.0,0.0,0.3521,0.3349,0.0336
RELIGARE,0.0,0.6205,0.1352,0.6104,0.0534,0.2667
NHPC,0.0,0.0,0.0,0.9331,0.2711,0.6946
GAEL,0.0,0.0,0.0,0.8745,0.1959,0.0618
SAIL,0.0,0.0338,0.0,0.2545,0.3924,0.9298
SALORAINTL,0.0,0.0011,0.1101,0.3345,0.0633,0.1768
HONAUT,0.0,0.0469,0.5225,0.0018,0.139,0.0002
MUTHOOTCAP,0.0004,0.0,0.2354,0.64,0.0997,0.0698
V2RETAIL,0.0674,0.0052,0.636,0.2883,0.0086,0.1216
PHOENIXLTD,0.0,0.0001,0.3571,0.9566,0.0816,0.133
LOKESHMACH,0.0,0.0,0.0,0.2192,0.1937,0.5458
COLPAL,0.0,0.5392,0.0763,0.7675,0.0487,0.9227
FMGOETZE,0.0,0.0045,0.0137,0.0023,0.085,0.1772
RJL,0.0,0.0,0.0,0.9078,0.1218,0.1359
XCHANGING,0.0,0.0,0.0003,0.3988,0.1041,0.2091
RAMASTEEL,0.0254,0.0272,0.1421,0.6133,0.0367,0.8686
RAJESHEXPO,0.0,0.0044,0.0306,0.1061,0.1013,0.0426
BLISSGVS,0.0,0.0,0.0038,0.0367,0.1429,0.1829
BANCOINDIA,0.0,0.0,0.0,0.0152,0.1808,0.1816
ISFT,0.0,0.0,0.1848,0.0216,0.0944,0.0243
ADANIPOWER,0.0,0.0006,0.0,0.8156,0.3968,0.5084
ALLCARGO,0.0,0.0,0.2435,0.9717,0.1326,0.5493
SANGHIIND,0.0,0.0,0.0671,0.1159,0.0737,0.125
RELINFRA,0.0,0.3383,0.0,0.5266,0.5512,0.9547
KOTAKNIFTY,0.0,0.8575,0.6253,0.7609,0.0738,0.7483
GESHIP,0.0,0.0,0.0,0.6776,0.1167,0.3665
OMAXE,0.0,0.5182,0.0527,0.1367,0.1892,0.1162
IITL,0.1197,0.0007,0.0,0.0495,0.0485,0.8784
NDL,0.0,0.0,0.0,0.0058,0.1673,0.1118
GAL,0.0,0.0322,0.6827,0.5764,0.0532,0.6464
KCP,0.0,0.0,0.0,0.9543,0.2729,0.3438
EDL,0.0,0.0,0.0,0.9657,0.1646,0.7425
BEL,0.0,0.0075,0.2841,0.0181,0.0539,0.7714
PFS,0.0,0.0,0.0,0.703,0.299,0.5699
AUTOLITIND,0.0,0.0,0.1638,0.2359,0.1699,0.4722
ORIENTPPR,0.0,0.0,0.0,0.5132,0.0896,0.1121
ECLERX,0.0,0.1532,0.6914,0.7113,0.0261,0.0981
GRAPHITE,0.0,0.0,0.0,0.2619,0.1258,0.0121
MORARJEE,0.0,0.0,0.0,0.2331,0.1709,0.4254
SWANENERGY,0.0004,0.7596,0.7516,0.9885,0.0155,0.3059
TIMESGTY,0.2278,0.0182,0.0191,0.7612,0.0188,0.1699
BALPHARMA,0.0,0.0,0.0004,0.7396,0.1055,0.2124
OMKARCHEM,0.0,0.0,0.1494,0.873,0.1096,0.7038
LUMAXTECH,0.0,0.0,0.0,0.0384,0.2371,0.1313
TIPSINDLTD,0.0,0.0,0.0048,0.1676,0.0746,0.5204
MAHABANK,0.0,0.2395,0.0,0.1099,0.2936,0.2134
TTL,0.0,0.0,0.0001,0.0145,0.1076,0.256
PRIMESECU,0.0015,0.0509,0.0163,0.6594,0.0329,0.0769
GET&D,0.0,0.0135,0.5211,0.6757,0.1058,0.1542
LAKSHVILAS,0.0,0.0359,0.0,0.0106,0.1874,0.3901
LYKALABS,0.0,0.0,0.0,0.7982,0.2092,0.1638
SDBL,0.0,0.0006,0.792,0.5192,0.0453,0.7809
DELTAMAGNT,0.738,0.0087,0.5148,0.7889,0.0073,0.3456
MMFL,0.0,0.0,0.0,0.9886,0.1221,0.0054
KANSAINER,0.0,0.001,0.0118,0.711,0.0636,0.4774
SNOWMAN,0.0,0.0,0.0012,0.7455,0.2492,0.3052
ARROWTEX,0.0,0.0,0.0099,0.6159,0.0958,0.1183
UNICHEMLAB,0.0,0.0,0.1487,0.6851,0.1439,0.4654
COROMANDEL,0.0,0.0,0.3779,0.7241,0.1552,0.2627
TRIGYN,0.0,0.0,0.0009,0.8863,0.1364,0.081
JSWSTEEL,0.0,0.0001,0.009,0.6294,0.148,0.5889
ESSARSHPNG,0.0,0.0,0.0,0.0176,0.138,0.616
JTEKTINDIA,0.0,0.0,0.0,0.3927,0.2354,0.0222
VISESHINFO,0.7861,0.6414,0.9614,0.7219,-0.0049,0.0014
VAKRANGEE,0.0,0.0001,0.2896,0.8582,0.0614,0.0172
SPENTEX,0.0001,0.0,0.0,0.0281,0.0747,0.5326
EXCELINDUS,0.0,0.0,0.0,0.0832,0.1932,0.0572
ZODJRDMKJ,0.4919,0.0755,0.4607,0.2598,0.0071,0.3007
TBZ,0.0,0.0,0.0024,0.226,0.2018,0.3554
INFRATEL,0.0,0.7791,0.1365,0.1807,0.0571,0.1517
KPIT,0.0,0.0,0.0055,0.8698,0.1362,0.5219
MADRASFERT,0.0,0.0,0.0,0.02,0.1868,0.2599
REPCOHOME,0.0,0.0,0.8809,0.6618,0.1894,0.0643
