,Adj-r_sq,F-statistics,HML %,P(F-value),Rm-Rf %,SMB %,Symbol,WML %,const
303,0.2104,81.9228,0.0,0.0,0.0,0.0,HINDMOTORS,0.1554,0.8584
304,0.0732,24.8099,0.0003,0.0,0.0,0.0,WELSPUNIND,0.0856,0.4709
305,0.2452,100.9625,0.6144,0.0,0.0,0.2496,NTPC,0.0131,0.8769
306,0.0721,21.6007,0.0023,0.0,0.0,0.0,SPLIL,0.7109,0.2531
307,0.2109,83.231,0.0003,0.0,0.0,0.0,ESSELPACK,0.0106,0.0181
308,0.4044,209.9342,0.5334,0.0,0.0,0.7764,SIEMENS,0.0056,0.498
309,0.1523,53.8989,0.0192,0.0,0.0,0.0,SPARC,0.5851,0.3344
310,0.0634,21.8207,0.0012,0.0,0.0,0.0004,KIRLOSENG,0.6807,0.465
311,0.0984,30.6724,0.0,0.0,0.0,0.0,CENTUM,0.7213,0.0434
312,0.1989,77.3357,0.0,0.0,0.0,0.0,KABRAEXTRU,0.9791,0.3793
313,0.1779,66.9834,0.0,0.0,0.0,0.0,RNAVAL,0.1578,0.2185
314,0.0803,24.1443,0.0006,0.0,0.0001,0.0,NAGREEKEXP,0.6208,0.4278
315,0.1375,48.5783,0.0,0.0,0.0,0.0,BANARISUG,0.8063,0.5621
316,0.1684,60.4196,0.0,0.0,0.0,0.0,ASSAMCO,0.0115,0.9912
317,0.0488,10.0642,0.016,0.0,0.0026,0.0,STEL,0.2406,0.1436
318,0.105,35.1368,0.0008,0.0,0.0,0.0,MINDAIND,0.3725,0.0926
319,0.2561,104.6845,0.0021,0.0,0.0,0.0,PRSMJOHNSN,0.3778,0.7551
320,0.1702,62.1759,0.0,0.0,0.0,0.0,TEXMOPIPES,0.7658,0.5329
321,0.1729,65.3516,0.0,0.0,0.0,0.0,AVTNPL,0.3084,0.9283
322,0.1558,57.2823,0.0001,0.0,0.0,0.0,SUNILHITEC,0.2389,0.9292
323,0.2975,131.357,0.0,0.0,0.0,0.0483,MRF,0.0234,0.0239
324,0.1669,62.6636,0.0,0.0,0.0,0.0,GUJALKALI,0.0125,0.161
325,0.0338,11.7822,0.1396,0.0,0.0,0.404,GOLDBEES,0.5874,0.9486
326,0.0837,26.3774,0.0146,0.0,0.0,0.0,VSSL,0.2055,0.232
327,0.146,30.5012,0.0676,0.0,0.0,0.0,HESTERBIO,0.3007,0.0972
328,0.0844,28.7326,0.8201,0.0,0.0,0.0002,ESABINDIA,0.312,0.529
329,0.1866,70.6868,0.0,0.0,0.0,0.0,SELMCL,0.0015,0.8811
330,0.0837,21.9042,0.0,0.0,0.0002,0.0,PNC,0.4455,0.5737
331,0.0643,21.6105,0.0277,0.0,0.0,0.0174,RESPONIND,0.1361,0.3694
332,0.1494,33.7512,0.2158,0.0,0.0,0.0,MONTECARLO,0.174,0.865
333,0.1242,44.6594,0.0517,0.0,0.0,0.0034,SOBHA,0.2664,0.8555
334,0.0194,5.6217,0.0621,0.0002,0.0445,0.0005,TARMAT,0.8092,0.2682
335,0.1841,70.4269,0.2639,0.0,0.0,0.0025,RAMCOCEM,0.8067,0.1607
336,0.1354,49.1993,0.8537,0.0,0.0,0.0,TRITURBINE,0.0054,0.3883
337,0.1428,52.2887,0.1171,0.0,0.0,0.0,GREAVESCOT,0.015,0.5021
338,0.1175,41.9743,0.8081,0.0,0.0,0.0974,LUPIN,0.0005,0.9881
339,0.1837,70.238,0.0176,0.0,0.0,0.0,EROSMEDIA,0.214,0.7644
340,0.0057,2.6121,0.8228,0.0341,0.0048,0.7374,GALLISPAT,0.9229,0.0891
341,0.1721,63.0543,0.0,0.0,0.0,0.0,GAYAPROJ,0.0958,0.3921
342,0.2646,111.7058,0.0,0.0,0.0,0.0006,JPPOWER,0.0,0.5336
343,0.1397,48.6708,0.0,0.0,0.0,0.0,MBLINFRA,0.0261,0.238
344,0.1508,52.0288,0.0,0.0,0.0,0.0,WELENT,0.1037,0.1835
345,0.0795,27.5905,0.0001,0.0,0.0,0.0,TIDEWATER,0.8389,0.8702
346,0.1434,52.5371,0.0127,0.0,0.0,0.0,AARTIIND,0.115,0.007
347,0.1268,43.3521,0.0049,0.0,0.0,0.0,AURIONPRO,0.128,0.8476
348,0.0778,26.2749,0.0248,0.0,0.0,0.0,SANWARIA,0.196,0.9654
349,0.0292,10.2425,0.0566,0.0,0.0,0.139,QGOLDHALF,0.1998,0.8895
350,0.3481,165.2991,0.0,0.0,0.0,0.0007,JPASSOCIAT,0.0,0.4553
351,0.2411,98.7615,0.0,0.0,0.0,0.0,HBLPOWER,0.9128,0.4655
352,0.0806,27.9972,0.0018,0.0,0.0,0.0,20MICRONS,0.7343,0.3239
353,0.0177,5.5227,0.3668,0.0002,0.0019,0.0145,VIVIDHA,0.773,0.18
354,0.4,206.2018,0.0,0.0,0.0,0.0,UNITECH,0.0004,0.3692
355,0.0895,29.0781,0.0087,0.0,0.0,0.0,SUTLEJTEX,0.303,0.9741
356,0.1545,57.2462,0.7367,0.0,0.0,0.0001,AMARAJABAT,0.0068,0.2546
357,0.1494,39.9039,0.0507,0.0,0.0,0.0028,WONDERLA,0.0491,0.641
358,0.2091,82.3416,0.0,0.0,0.0,0.0,SBIN,0.5352,0.5887
359,0.1053,37.2113,0.0036,0.0,0.0,0.0,PANACEABIO,0.2548,0.6433
360,0.2159,83.9599,0.0,0.0,0.0,0.0,SUBROS,0.2972,0.0865
361,0.1487,24.5784,0.002,0.0,0.0,0.0,ORTINLABSS,0.7922,0.4673
362,0.093,27.7308,0.0038,0.0,0.0,0.0,INDBANK,0.0923,0.1866
363,0.2653,108.8102,0.0,0.0,0.0,0.0,MADHUCON,0.2506,0.792
364,0.0875,27.6652,0.0059,0.0,0.0,0.0,ONWARDTEC,0.0677,0.459
365,0.1283,41.7129,0.0,0.0,0.0,0.0,NAHARPOLY,0.5499,0.4247
366,0.0974,34.2212,0.3927,0.0,0.0,0.1046,IDEA,0.1336,0.7942
367,0.0752,25.0558,0.0331,0.0,0.0,0.0,TREEHOUSE,0.6156,0.0134
368,0.0298,9.0598,0.0209,0.0,0.0021,0.0001,INDOSOLAR,0.701,0.4441
369,0.2223,52.2517,0.0,0.0,0.0,0.0,CCHHL,0.0134,0.9286
370,0.0896,31.2954,0.1559,0.0,0.0,0.0069,KAJARIACER,0.2566,0.231
371,0.1631,58.557,0.0112,0.0,0.0,0.0,BBL,0.6541,0.348
372,0.0496,9.0052,0.0454,0.0,0.0248,0.0001,MANAKSTEEL,0.8951,0.3604
373,0.1297,46.8751,0.1742,0.0,0.0,0.0005,SWARAJENG,0.7291,0.0446
374,0.2573,107.6132,0.0,0.0,0.0,0.0,DREDGECORP,0.0,0.2188
375,0.1574,58.4757,0.0,0.0,0.0,0.0,KRBL,0.353,0.0007
376,0.1128,37.5611,0.0003,0.0,0.0,0.0,GEECEE,0.1788,0.3932
377,0.029,7.8482,0.8508,0.0,0.0,0.2378,MOHOTAIND,0.6658,0.0906
378,0.1252,42.0852,0.0001,0.0,0.0,0.0,INDOTECH,0.6583,0.7079
379,0.1861,71.3645,0.0001,0.0,0.0,0.0,SHANTIGEAR,0.3612,0.5669
380,0.2047,80.1923,0.0233,0.0,0.0,0.0,JKLAKSHMI,0.0032,0.3697
381,0.1652,61.9196,0.984,0.0,0.0,0.2586,OIL,0.0136,0.7685
382,0.1729,58.1124,0.0001,0.0,0.0,0.0,FCONSUMER,0.4722,0.1742
383,0.1677,63.0278,0.3589,0.0,0.0,0.8433,BHARATFORG,0.1769,0.2842
384,0.1699,58.6994,0.0,0.0,0.0,0.0,PSL,0.0024,0.0388
385,0.0645,13.4279,0.1161,0.0,0.0004,0.0,GULPOLY,0.8519,0.6235
386,0.0785,26.2939,0.0072,0.0,0.0,0.0001,CELESTIAL,0.162,0.9046
387,0.116,23.769,0.0254,0.0,0.0,0.0,MENONBE,0.435,0.9245
388,0.0799,22.3082,0.0006,0.0,0.0,0.0,PATSPINLTD,0.0475,0.194
389,0.0523,17.988,0.6925,0.0,0.0,0.2186,IGL,0.7278,0.3396
390,0.2662,112.6282,0.0035,0.0,0.0,0.6709,IDFC,0.0666,0.2893
391,0.3067,137.1571,0.0227,0.0,0.0,0.0,JMFINANCIL,0.7274,0.1161
392,0.2054,76.0817,0.0,0.0,0.0,0.0,TRIVENI,0.2812,0.4554
393,0.0729,23.6563,0.0,0.0,0.0,0.0,ZODIACLOTH,0.0567,0.8711
394,0.1095,38.8253,0.2154,0.0,0.0,0.1743,PETRONET,0.2524,0.5198
395,0.1153,39.1062,0.0,0.0,0.0,0.0,VISASTEEL,0.2424,0.6232
396,0.0355,12.332,0.0566,0.0,0.0001,0.0003,CYIENT,0.0063,0.1554
397,0.1429,52.3131,0.0,0.0,0.0,0.003,PNBGILTS,0.7372,0.7107
398,0.0554,18.8856,0.1073,0.0,0.0,0.0011,GREENPLY,0.6336,0.5368
399,0.2756,113.019,0.0,0.0,0.0,0.0,ZEEMEDIA,0.4501,0.7187
400,0.1173,41.8862,0.9927,0.0,0.0,0.0623,MUTHOOTFIN,0.1226,0.4174
401,0.0903,31.5362,0.0227,0.0,0.0,0.283,BAJFINANCE,0.0675,0.3309
402,0.1259,43.4468,0.0,0.0,0.0,0.0,BASML,0.4128,0.3537
403,0.0619,20.3732,0.0004,0.0,0.0,0.0001,KNRCON,0.2314,0.2104
404,0.3785,188.4359,0.0,0.0,0.0,0.3167,IBREALEST,0.265,0.3953
405,0.1882,72.3423,0.0,0.0,0.0,0.0,VOLTAMP,0.7043,0.4235
406,0.107,36.7593,0.0343,0.0,0.0,0.0,KOTHARIPET,0.1899,0.3192
407,0.1078,38.165,0.0027,0.0,0.0,0.0,RATNAMANI,0.4947,0.0232
408,0.1145,40.7906,0.0313,0.0,0.0,0.0,FIEMIND,0.3866,0.059
409,0.246,98.9662,0.0007,0.0,0.0,0.0,BALAJITELE,0.7548,0.6749
410,0.1622,60.589,0.0,0.0,0.0,0.0,KOHINOOR,0.0143,0.4898
411,0.0966,33.9189,0.0006,0.0,0.0,0.0,ELGIEQUIP,0.611,0.195
412,0.135,49.0474,0.0807,0.0,0.0,0.2482,DABUR,0.0451,0.15
413,0.3021,134.2338,0.0079,0.0,0.0,0.0001,ASHOKLEY,0.9269,0.1391
414,0.0591,13.5905,0.0002,0.0,0.0122,0.0001,BANG,0.199,0.7282
415,0.2212,88.421,0.0153,0.0,0.0,0.2844,SRTRANSFIN,0.36,0.6752
416,0.1645,61.6063,0.0182,0.0,0.0,0.0,SUNDRMFAST,0.9077,0.0067
417,0.0779,26.9179,0.0,0.0,0.0,0.0,KOTARISUG,0.5221,0.6687
418,0.1068,37.7971,0.0003,0.0,0.0,0.0,IVC,0.5085,0.888
419,0.1347,44.236,0.1003,0.0,0.0,0.0,RBL,0.0934,0.064
420,0.0895,31.2393,0.9213,0.0,0.0,0.0007,SYMPHONY,0.0013,0.1784
421,0.2924,128.1836,0.0,0.0,0.0,0.0,NFL,0.0,0.7569
422,0.3149,142.4843,0.0,0.0,0.0,0.0775,UNITEDBNK,0.0,0.0399
423,0.234,44.6052,0.0014,0.0,0.0,0.0,MAJESCO,0.8443,0.7898
424,0.1359,31.0068,0.0192,0.0,0.0,0.0001,MINDACORP,0.8231,0.6198
425,0.1054,34.5319,0.0,0.0,0.0,0.0,AGCNET,0.2152,0.8733
426,0.1145,38.6754,0.0,0.0,0.0,0.0,MUKTAARTS,0.6026,0.4186
427,0.1958,67.9087,0.0,0.0,0.0,0.0,NITCO,0.9376,0.2104
428,0.0179,3.2998,0.2706,0.011,0.254,0.0023,BKMINDST,0.4669,0.2666
429,0.1064,32.5017,0.0065,0.0,0.0,0.0,ASAL,0.9332,0.3925
430,0.4954,303.1475,0.0,0.0,0.0,0.0002,CENTURYTEX,0.0984,0.2616
431,0.1842,70.1331,0.0,0.0,0.0,0.0,NCLIND,0.5583,0.2108
432,0.0501,17.2432,0.0497,0.0,0.0,0.0,ASTRAL,0.1365,0.4193
433,0.008,2.9919,0.7147,0.0181,0.0027,0.7652,RKFORGE,0.6015,0.2696
434,0.1787,67.2353,0.0039,0.0,0.0,0.0,IGARASHI,0.6347,0.0462
435,0.1131,32.0105,0.0085,0.0,0.0,0.0,JPOLYINVST,0.039,0.8039
436,0.0128,4.2189,0.1077,0.0022,0.2389,0.0011,KIRIINDUS,0.9938,0.1163
437,0.6034,469.2286,0.0,0.0,0.0,0.0685,RPOWER,0.0,0.129
438,0.3466,164.2445,0.0,0.0,0.0,0.0,HINDCOPPER,0.0,0.7079
439,0.2952,129.9061,0.0,0.0,0.0,0.0,PENINLAND,0.0069,0.2457
440,0.1254,45.1156,0.0073,0.0,0.0,0.0,JAGRAN,0.1805,0.716
441,0.1698,63.14,0.0,0.0,0.0,0.0,MTEDUCARE,0.397,0.434
442,0.1579,50.5043,0.0,0.0,0.0,0.0,3IINFOTECH,0.0021,0.8685
443,0.1843,53.301,0.0,0.0,0.0,0.0,ADSL,0.0014,0.8185
444,0.1864,69.0466,0.0501,0.0,0.0,0.0,WOCKPHARMA,0.4167,0.2417
445,0.1133,36.7642,0.0,0.0,0.0,0.0,ESTER,0.9511,0.2678
446,0.0915,26.6941,0.0754,0.0,0.0,0.0,KTIL,0.3741,0.361
447,0.1553,57.5988,0.0,0.0,0.0,0.0549,APOLLOHOSP,0.0,0.9252
448,0.0683,20.1884,0.0059,0.0,0.0001,0.0,EUROTEXIND,0.4793,0.562
449,0.1192,35.9981,0.0,0.0,0.0,0.0,SPMLINFRA,0.044,0.3306
450,0.0906,24.7306,0.0001,0.0,0.0,0.0,GLOBALVECT,0.0065,0.1575
451,0.0659,22.7204,0.3969,0.0,0.0,0.0169,AJANTPHARM,0.0235,0.2145
452,0.0929,32.5004,0.9115,0.0,0.0,0.0057,GILLETTE,0.0099,0.1575
453,0.0989,34.7623,0.0001,0.0,0.0,0.0,CLNINDIA,0.0103,0.3363
454,0.0323,7.3559,0.0104,0.0,0.1945,0.0004,3PLAND,0.3341,0.69
455,0.152,56.1773,0.0305,0.0,0.0,0.0,PAPERPROD,0.933,0.1065
456,0.2373,63.156,0.0,0.0,0.0,0.0,SUPERHOUSE,0.0553,0.1713
457,0.1157,41.2623,0.6692,0.0,0.0,0.2541,MCDOWELL-N,0.2998,0.5697
458,0.1177,38.7266,0.0011,0.0,0.0,0.0,GULFPETRO,0.7653,0.3161
459,0.3063,136.9079,0.1253,0.0,0.0,0.1795,VOLTAS,0.4028,0.0318
460,0.2313,93.5842,0.0,0.0,0.0,0.0,HIMATSEIDE,0.1231,0.0629
461,0.0633,20.9357,0.0004,0.0,0.0,0.0,INDOTHAI,0.8336,0.1393
462,0.1892,72.7988,0.0,0.0,0.0,0.0,SWELECTES,0.171,0.3959
463,0.2246,90.1373,0.0,0.0,0.0,0.0,KWALITY,0.7044,0.5352
464,0.2507,103.9932,0.0,0.0,0.0,0.0,BALLARPUR,0.0845,0.4177
465,0.0631,21.6828,0.0016,0.0,0.0,0.0,JKIL,0.9883,0.8824
466,0.0178,6.5795,0.5402,0.0,0.0001,0.2663,POLYMED,0.8518,0.8347
467,0.2049,78.1042,0.0148,0.0,0.0,0.0,AMRUTANJAN,0.7156,0.2647
468,0.0334,11.5594,0.0142,0.0,0.0002,0.0006,RSYSTEMS,0.6152,0.8861
469,0.0309,6.1597,0.1254,0.0001,0.0011,0.0045,UNIVCABLES,0.3689,0.4057
470,0.3232,147.9693,0.0,0.0,0.0,0.08,RCOM,0.0099,0.7019
471,0.13,44.6927,0.0,0.0,0.0,0.0,DALMIASUG,0.281,0.0585
472,0.1248,43.692,0.0,0.0,0.0,0.0,JUBLINDS,0.023,0.52
473,0.1038,36.6292,0.0002,0.0,0.0,0.9628,GODREJCP,0.2629,0.7505
474,0.0197,4.7542,0.673,0.0009,0.0141,0.414,PILITA,0.0598,0.1539
475,0.1722,38.7606,0.1353,0.0,0.0,0.0,CAMLINFINE,0.9833,0.8857
476,0.2094,82.5055,0.0,0.0,0.0,0.0,GSFC,0.0795,0.7441
477,0.2975,131.3464,0.0,0.0,0.0,0.0,IL&FSTRANS,0.0,0.1296
478,0.1188,40.5893,0.0234,0.0,0.0,0.0,PPAP,0.0808,0.0589
479,0.233,94.4819,0.0001,0.0,0.0,0.0217,APOLLOTYRE,0.0199,0.3823
480,0.043,13.7243,0.0779,0.0,0.0,0.2278,VAIBHAVGBL,0.8485,0.0465
481,0.0579,17.7819,0.9253,0.0,0.0,0.0,ADVANIHOTR,0.1685,0.5006
482,0.3708,180.7246,0.0,0.0,0.0,0.0,ANSALAPI,0.0,0.4746
483,0.0697,18.5376,0.0778,0.0,0.0,0.0,BODALCHEM,0.6974,0.0605
484,0.1879,72.2193,0.0005,0.0,0.0,0.0727,SUNTV,0.119,0.5637
485,0.2172,84.6077,0.0,0.0,0.0,0.0,HIL,0.7966,0.3998
486,0.2033,37.0369,0.4001,0.0,0.0,0.0,SATIN,0.0665,0.6158
487,0.243,99.8058,0.0,0.0,0.0,0.0,PRAJIND,0.71,0.6999
488,0.1538,56.9296,0.0007,0.0,0.0,0.0,INDIANHUME,0.8817,0.4165
489,0.1974,76.6781,0.0,0.0,0.0,0.0,RENUKA,0.0025,0.4833
490,0.1308,47.3309,0.1875,0.0,0.0,0.0051,GLENMARK,0.0001,0.6164
491,0.1188,42.4874,0.0233,0.0,0.0,0.0001,WHEELS,0.0697,0.3235
492,0.1187,33.9693,0.2469,0.0,0.0,0.0,ELAND,0.5867,0.598
493,0.1485,54.6556,0.0001,0.0,0.0,0.0,JKTYRE,0.8277,0.7327
494,0.0411,14.1913,0.0019,0.0,0.0,0.8279,WIPRO,0.541,0.8712
495,0.2408,98.6277,0.0,0.0,0.0,0.0,CHAMBLFERT,0.0029,0.4389
496,0.1031,33.1282,0.0,0.0,0.0,0.0,SIMPLEX,0.5554,0.9522
497,0.1342,48.717,0.1185,0.0,0.0,0.0,BASF,0.1598,0.2908
498,0.0905,31.1725,0.0018,0.0,0.0,0.0,ORIENTHOT,0.2566,0.8107
499,0.0428,14.7364,0.4316,0.0,0.0,0.0003,KKCL,0.1679,0.0984
500,0.1568,55.8154,0.0,0.0,0.0,0.0,BAFNAPHARM,0.2965,0.4714
501,0.0613,21.1142,0.4182,0.0,0.0,0.0001,INDOCO,0.9506,0.111
502,0.1641,53.3841,0.0,0.0,0.0,0.0,MADHAV,0.2948,0.4008
503,0.2082,81.9311,0.0,0.0,0.0,0.0,GNFC,0.2607,0.145
504,0.1424,52.0672,0.0001,0.0,0.0,0.0,TARAJEWELS,0.6213,0.0074
505,0.0854,26.5692,0.4103,0.0,0.0,0.0,THANGAMAYL,0.7177,0.5078
506,0.0691,21.3173,0.1459,0.0,0.0,0.0,BHARATRAS,0.6213,0.0065
507,0.1182,40.8735,0.0,0.0,0.0,0.0,MANUGRAPH,0.7956,0.9768
508,0.0331,8.4075,0.7113,0.0,0.0001,0.1284,HATSUN,0.3879,0.0893
509,0.1535,51.9687,0.0002,0.0,0.0,0.0,CAREERP,0.0013,0.9151
510,0.319,145.1505,0.0,0.0,0.0,0.0009,NCC,0.0344,0.4769
511,0.1209,37.517,0.0003,0.0,0.0,0.0,JBMA,0.1198,0.1452
512,0.1051,35.1704,0.0006,0.0,0.0,0.0,SQSBFSI,0.6297,0.141
513,0.1026,31.4516,0.1268,0.0,0.0,0.0,HARITASEAT,0.0139,0.1241
514,0.2218,86.8475,0.0,0.0,0.0,0.0,GATI,0.4755,0.5084
515,0.0993,34.9388,0.0032,0.0,0.0,0.0006,LINDEINDIA,0.9095,0.7642
516,0.0495,17.0246,0.1947,0.0,0.0,0.0002,ABBOTINDIA,0.0171,0.0432
517,0.1495,55.1139,0.0001,0.0,0.0,0.0,ZUARI,0.3601,0.7372
518,0.1441,52.2354,0.0002,0.0,0.0,0.0,DATAMATICS,0.7047,0.3684
519,0.2003,77.5141,0.0,0.0,0.0,0.0,TALBROAUTO,0.1262,0.1864
520,0.183,65.7992,0.0,0.0,0.0,0.0,NAHARCAP,0.6922,0.2184
521,0.6347,535.663,0.4328,0.0,0.0,0.0,BANKBEES,0.7671,0.071
522,0.1013,28.3938,0.0,0.0,0.0002,0.0,OISL,0.2074,0.2164
523,0.0187,5.7639,0.4135,0.0001,0.0021,0.014,NIBL,0.2265,0.3037
524,0.0803,15.5144,0.0032,0.0,0.0124,0.0,GENUSPAPER,0.8128,0.2239
525,0.0732,25.3229,0.0396,0.0,0.0,0.0007,ICRA,0.6696,0.1528
526,0.1814,65.1097,0.0,0.0,0.0,0.0,VLSFINANCE,0.0096,0.3395
527,0.1556,57.6916,0.7691,0.0,0.0,0.0253,HINDPETRO,0.4619,0.5485
528,0.1096,38.8837,0.0071,0.0,0.0,0.0,FINPIPE,0.1316,0.0028
529,0.1058,37.4006,0.0084,0.0,0.0,0.0,NEULANDLAB,0.4723,0.1044
530,0.1555,52.0635,0.001,0.0,0.0,0.0,GOKEX,0.006,0.546
531,0.1139,40.5622,0.0007,0.0,0.0,0.0,BALMLAWRIE,0.5751,0.6093
532,0.0844,29.359,0.0014,0.0,0.0,0.6051,J&KBANK,0.7834,0.1827
533,0.1463,53.7398,0.0001,0.0,0.0,0.0,IFBIND,0.0438,0.0142
534,0.127,43.0759,0.0,0.0,0.0,0.0,NAGAROIL,0.5639,0.867
535,0.0953,29.4649,0.0001,0.0,0.0,0.0,ARCHIDPLY,0.0,0.1783
536,0.0981,28.4493,0.0,0.0,0.0,0.0,JINDALPHOT,0.126,0.7871
537,0.1681,61.3047,0.0256,0.0,0.0,0.0,ADORWELD,0.6359,0.3271
538,0.2989,128.6592,0.0,0.0,0.0,0.0,MERCATOR,0.0881,0.8736
539,0.3098,138.0396,0.0,0.0,0.0,0.0,JINDALPOLY,0.3216,0.8302
540,0.375,185.6395,0.0,0.0,0.0,0.0002,PSUBNKBEES,0.0137,0.8473
541,0.2124,84.0103,0.0,0.0,0.0,0.0,GIPCL,0.0017,0.5119
542,0.072,24.8685,0.0047,0.0,0.0,0.0061,ZYDUSWELL,0.228,0.4389
543,0.4329,235.9185,0.0,0.0,0.0,0.0,PTC,0.0003,0.8005
544,0.2231,89.358,0.0371,0.0,0.0,0.0203,UPL,0.502,0.0461
545,0.1401,50.4828,0.0,0.0,0.0,0.0,TI,0.0236,0.2411
546,0.0672,23.162,0.6068,0.0,0.0,0.0057,PGHH,0.1816,0.0209
547,0.0838,26.7033,0.5301,0.0,0.0,0.0405,JUSTDIAL,0.1484,0.8895
548,0.2024,74.9805,0.0,0.0,0.0,0.0,VASCONEQ,0.8259,0.9863
549,0.0345,9.4047,0.0381,0.0,0.0021,0.0006,GTNTEX,0.7578,0.2163
550,0.3591,173.4471,0.0001,0.0,0.0,0.0001,TATACHEM,0.0727,0.6718
551,0.0378,12.8253,0.0532,0.0,0.0,0.0,SPICEMOBI,0.9839,0.8975
552,0.1154,41.1316,0.0019,0.0,0.0,0.0,REPRO,0.531,0.3411
553,0.0514,17.6482,0.0587,0.0,0.0,0.0,GRINDWELL,0.6417,0.3724
554,0.0858,29.8677,0.278,0.0,0.0,0.0,KARURVYSYA,0.0335,0.312
555,0.2106,78.786,0.0,0.0,0.0,0.0,AXISCADES,0.098,0.647
556,0.0875,27.1446,0.1418,0.0,0.0,0.0,HOVS,0.1451,0.1138
557,0.0718,24.8078,0.3648,0.0,0.0,0.0062,DIVISLAB,0.6804,0.92
558,0.1167,41.665,0.2797,0.0,0.0,0.0037,CUB,0.3873,0.0847
559,0.102,33.7173,0.0002,0.0,0.0,0.0,RUCHIRA,0.0393,0.0404
560,0.1393,45.6875,0.0001,0.0,0.0,0.0,DECCANCE,0.7131,0.6911
561,0.246,100.5291,0.0,0.0,0.0,0.0,JMCPROJECT,0.3189,0.1868
562,0.0799,27.7029,0.1473,0.0,0.0,0.0,GUJAPOLLO,0.4356,0.5211
563,0.0894,31.2099,0.0047,0.0,0.0,0.6191,SUNPHARMA,0.6534,0.795
564,0.0943,33.0555,0.2982,0.0,0.0,0.0,SCHAEFFLER,0.6439,0.0458
565,0.2148,80.8179,0.0009,0.0,0.0,0.0,EVEREADY,0.019,0.0005
566,0.263,110.8169,0.0,0.0,0.0,0.0,ABAN,0.0072,0.3188
567,0.0503,8.3769,0.8029,0.0,0.0003,0.0001,MANAKALUCO,0.2509,0.6833
568,0.2168,45.6385,0.021,0.0,0.0,0.0,NILAINFRA,0.1232,0.3074
569,0.1028,36.2667,0.0001,0.0,0.0,0.0,BHUSANSTL,0.2612,0.0444
570,0.1057,36.6241,0.1155,0.0,0.0,0.0,VSTTILLERS,0.1338,0.021
571,0.0962,27.5241,0.003,0.0,0.0,0.0,THIRUSUGAR,0.6524,0.6395
572,0.0938,15.9077,0.4156,0.0,0.0,0.0008,POWERMECH,0.9199,0.9639
573,0.0016,1.478,0.8735,0.2065,0.0922,0.6425,KOTAKGOLD,0.3134,0.2792
574,0.0825,28.6656,0.0005,0.0,0.0,0.0019,IPCALAB,0.0001,0.782
575,0.2441,94.3963,0.0,0.0,0.0,0.0,MEGH,0.9555,0.0571
576,0.0042,2.0034,0.2281,0.092,0.2987,0.9393,ICICINF100,0.2909,0.1964
577,0.1936,74.8878,0.0,0.0,0.0,0.0,MHRIL,0.6742,0.5606
578,0.1601,59.6679,0.0234,0.0,0.0,0.0,3MINDIA,0.0861,0.0841
579,0.3515,167.8189,0.0,0.0,0.0,0.0003,HDFC,0.5987,0.2311
580,0.216,83.9733,0.0,0.0,0.0,0.0,GLOBUSSPR,0.3842,0.7481
581,0.2677,113.5238,0.0,0.0,0.0,0.0,TRIDENT,0.173,0.1376
582,0.1594,59.3377,0.7104,0.0,0.0,0.0022,RALLIS,0.7406,0.6924
583,0.1609,59.9995,0.1219,0.0,0.0,0.0004,JKCEMENT,0.0049,0.1638
584,0.1239,44.5242,0.0008,0.0,0.0,0.0,KITEX,0.3184,0.1816
585,0.0393,13.5892,0.0474,0.0,0.0,0.0308,VGUARD,0.0998,0.7598
586,0.2403,98.3529,0.0,0.0,0.0,0.0,BANKBARODA,0.0633,0.6276
587,0.0873,27.7259,0.0001,0.0,0.0,0.0,SAGCEM,0.7433,0.2838
588,0.0429,11.8451,0.0003,0.0,0.0083,0.0006,EASTSILK,0.9844,0.3866
589,0.4406,243.1641,0.0,0.0,0.0,0.0001,KOTAKPSUBK,0.0,0.9541
590,0.1421,51.9594,0.3134,0.0,0.0,0.0,MAHSCOOTER,0.0929,0.1014
591,0.0309,10.7422,0.2197,0.0,0.0,0.0199,SABTN,0.5968,0.0671
592,0.1497,55.1732,0.0033,0.0,0.0,0.0002,MANAPPURAM,0.1227,0.3873
593,0.1004,35.1925,0.0,0.0,0.0,0.0,ELGIRUBCO,0.0136,0.7274
594,0.0037,1.4759,0.2514,0.2082,0.6427,0.1835,STINDIA,0.3931,0.5266
595,0.0724,25.0303,0.9049,0.0,0.0,0.0019,BERGEPAINT,0.7012,0.5697
596,0.2786,51.0134,0.0106,0.0,0.0,0.0603,IDFCBANK,0.279,0.2939
597,0.3104,139.5016,0.0,0.0,0.0,0.0,CENTENKA,0.4567,0.619
598,0.0066,3.0299,0.2446,0.0168,0.0026,0.2756,AXISGOLD,0.1072,0.7148
599,0.2756,118.0922,0.0049,0.0,0.0,0.0061,HINDZINC,0.3261,0.2469
600,0.2489,99.6924,0.0,0.0,0.0,0.0,BINANIIND,0.0265,0.6616
601,0.2535,100.1439,0.0002,0.0,0.0,0.0,BFUTILITIE,0.2631,0.9981
602,0.1908,67.6891,0.0,0.0,0.0,0.0,ORIENTBELL,0.3511,0.5184
603,0.0817,28.3856,0.1787,0.0,0.0,0.0001,SUPREMEIND,0.7899,0.025
604,0.0412,9.2603,0.0307,0.0,0.0011,0.0005,PIONDIST,0.3249,0.1662
