Date,RNAVAL
2015-09-07,54.5
2015-09-08,57.2
2015-09-09,58.25
2015-09-10,59.25
2015-09-11,58.35
2015-09-14,59.9
2015-09-15,58.65
2015-09-16,58.3
2015-09-18,59.8
2015-09-21,58.65
2015-09-22,58.25
2015-09-23,58.3
2015-09-24,58.5
2015-09-28,59.85
2015-09-29,59.6
2015-09-30,58.8
2015-10-01,58.6
2015-10-05,58.8
2015-10-06,59.4
2015-10-07,59.0
2015-10-08,59.25
2015-10-09,59.95
2015-10-12,59.6
2015-10-13,59.9
2015-10-14,59.75
2015-10-15,59.8
2015-10-16,59.75
2015-10-19,59.2
2015-10-20,59.0
2015-10-21,58.7
2015-10-23,58.45
2015-10-26,57.6
2015-10-27,56.8
2015-10-28,56.7
2015-10-29,58.1
2015-10-30,57.15
2015-11-02,57.35
2015-11-03,57.25
2015-11-04,57.2
2015-11-05,57.95
2015-11-06,58.85
2015-11-09,59.75
2015-11-10,59.5
2015-11-11,59.95
2015-11-13,59.65
2015-11-16,59.9
2015-11-17,62.95
2015-11-18,63.65
2015-11-19,64.15
2015-11-20,63.95
2015-11-23,64.1
2015-11-24,64.0
2015-11-26,64.05
2015-11-27,64.3
2015-11-30,64.8
2015-12-01,66.0
2015-12-02,66.5
2015-12-03,66.7
2015-12-04,66.15
2015-12-07,66.1
2015-12-08,65.85
2015-12-09,66.0
2015-12-10,66.4
2015-12-11,66.3
2015-12-14,64.35
2015-12-15,65.15
2015-12-16,76.65
2015-12-17,73.2
2015-12-18,79.55
2015-12-21,79.1
2015-12-22,80.0
2015-12-23,83.55
2015-12-24,100.25
2015-12-28,98.2
2015-12-29,88.9
2015-12-30,87.2
2015-12-31,89.0
2016-01-01,91.7
2016-01-04,89.35
2016-01-05,89.6
2016-01-06,87.05
2016-01-07,81.5
2016-01-08,82.5
2016-01-11,84.95
2016-01-12,82.8
2016-01-13,79.95
2016-01-14,81.0
2016-01-15,79.95
2016-01-18,69.45
2016-01-19,75.95
2016-01-20,78.45
2016-01-21,75.0
2016-01-22,74.9
2016-01-25,76.7
2016-01-27,75.1
2016-01-28,74.55
2016-01-29,73.2
2016-02-01,73.0
2016-02-02,70.1
2016-02-03,67.9
2016-02-04,65.2
2016-02-05,66.95
2016-02-08,67.45
2016-02-09,66.7
2016-02-10,64.85
2016-02-11,55.75
2016-02-12,58.1
2016-02-15,62.15
2016-02-16,63.45
2016-02-17,65.0
2016-02-18,64.45
2016-02-19,64.45
2016-02-22,64.75
2016-02-23,63.3
2016-02-24,63.5
2016-02-25,62.9
2016-02-26,61.3
2016-02-29,61.5
2016-03-01,62.8
2016-03-02,63.75
2016-03-03,64.7
2016-03-04,65.05
2016-03-08,72.45
2016-03-09,71.25
2016-03-10,69.85
2016-03-11,67.85
2016-03-14,66.95
2016-03-15,69.25
2016-03-16,68.95
2016-03-17,66.7
2016-03-18,65.25
2016-03-21,66.05
2016-03-22,68.8
2016-03-23,68.8
2016-03-28,69.4
2016-03-29,68.0
2016-03-30,67.85
2016-03-31,67.9
2016-04-01,68.3
2016-04-04,67.65
2016-04-05,65.75
2016-04-06,66.45
2016-04-07,65.75
2016-04-08,65.65
2016-04-11,68.0
2016-04-12,68.8
2016-04-13,67.7
2016-04-18,67.15
2016-04-20,68.25
2016-04-21,67.3
2016-04-22,68.1
2016-04-25,66.6
2016-04-26,66.9
2016-04-27,67.0
2016-04-28,65.7
2016-04-29,65.15
2016-05-02,66.05
2016-05-03,66.4
2016-05-04,65.2
2016-05-05,67.7
2016-05-06,66.55
2016-05-09,66.75
2016-05-10,66.1
2016-05-11,66.4
2016-05-12,65.95
2016-05-13,64.9
2016-05-16,66.15
2016-05-17,65.5
2016-05-18,64.75
2016-05-19,64.0
2016-05-20,62.25
2016-05-23,61.65
2016-05-24,59.35
2016-05-25,58.1
2016-05-26,57.8
2016-05-27,58.25
2016-05-30,58.95
2016-05-31,59.6
2016-06-01,59.65
2016-06-02,59.65
2016-06-03,59.1
2016-06-06,58.9
2016-06-07,59.25
2016-06-08,65.1
2016-06-09,65.25
2016-06-10,63.15
2016-06-13,61.3
2016-06-14,62.7
2016-06-15,62.45
2016-06-16,61.4
2016-06-17,61.35
2016-06-20,66.1
2016-06-21,65.35
2016-06-22,63.0
2016-06-23,64.15
2016-06-24,62.05
2016-06-27,63.1
2016-06-28,63.25
2016-06-29,63.25
2016-06-30,63.3
2016-07-01,65.75
2016-07-04,66.45
2016-07-05,65.8
2016-07-07,66.95
2016-07-08,65.6
2016-07-11,65.55
2016-07-12,64.45
2016-07-13,63.85
2016-07-14,64.35
2016-07-15,63.05
2016-07-18,64.65
2016-07-19,64.2
2016-07-20,64.5
2016-07-21,64.05
2016-07-22,65.35
2016-07-25,64.8
2016-07-26,64.55
2016-07-27,64.9
2016-07-28,67.3
2016-07-29,68.45
2016-08-01,69.7
2016-08-02,67.5
2016-08-03,65.85
2016-08-04,65.5
2016-08-05,66.0
2016-08-08,65.9
2016-08-09,65.05
2016-08-10,64.0
2016-08-11,63.85
2016-08-12,63.8
2016-08-16,63.65
2016-08-17,64.35
2016-08-18,65.85
2016-08-19,66.7
2016-08-22,66.2
2016-08-23,65.3
2016-08-24,65.1
2016-08-25,64.8
2016-08-26,64.0
2016-08-29,63.2
2016-08-30,65.25
2016-08-31,64.75
2016-09-01,63.55
2016-09-02,64.0
2016-09-06,65.1
2016-09-07,65.7
2016-09-08,68.7
2016-09-09,64.95
2016-09-12,55.4
2016-09-14,57.05
2016-09-15,56.0
2016-09-16,57.4
2016-09-19,58.85
2016-09-20,57.6
2016-09-21,58.95
2016-09-22,60.9
2016-09-23,60.7
2016-09-26,59.15
2016-09-27,59.05
2016-09-28,59.0
2016-09-29,55.35
2016-09-30,56.45
2016-10-03,61.35
2016-10-04,62.3
2016-10-05,61.35
2016-10-06,60.3
2016-10-07,61.7
2016-10-10,61.35
2016-10-13,60.0
2016-10-14,61.35
2016-10-17,61.6
2016-10-18,61.6
2016-10-19,60.85
2016-10-20,60.2
2016-10-21,59.6
2016-10-24,60.4
2016-10-25,60.45
2016-10-26,59.95
2016-10-27,59.25
2016-10-28,59.2
2016-10-30,59.9
2016-11-01,59.55
2016-11-02,58.3
2016-11-03,58.3
2016-11-04,55.75
2016-11-07,57.55
2016-11-08,57.1
2016-11-09,54.85
2016-11-10,56.6
2016-11-11,54.95
2016-11-15,52.05
2016-11-16,51.45
2016-11-17,51.25
2016-11-18,51.1
2016-11-21,49.6
2016-11-22,48.65
2016-11-23,50.45
2016-11-24,49.75
2016-11-25,51.0
2016-11-28,52.5
2016-11-29,53.85
2016-11-30,53.9
2016-12-01,53.7
2016-12-02,52.3
2016-12-05,52.7
2016-12-06,53.0
2016-12-07,52.8
2016-12-08,54.6
2016-12-09,56.05
2016-12-12,54.95
2016-12-13,54.6
2016-12-14,53.75
2016-12-15,54.1
2016-12-16,53.25
2016-12-19,55.35
2016-12-20,55.2
2016-12-21,53.65
2016-12-22,53.2
2016-12-23,54.55
2016-12-26,53.7
2016-12-27,53.9
2016-12-28,54.4
2016-12-29,55.3
2016-12-30,55.1
2017-01-02,55.3
2017-01-03,55.7
2017-01-04,55.85
2017-01-05,55.85
2017-01-06,55.85
2017-01-09,57.05
2017-01-10,58.45
2017-01-11,58.0
2017-01-12,57.45
2017-01-13,57.7
2017-01-16,57.55
2017-01-17,56.95
2017-01-18,57.35
2017-01-19,56.4
2017-01-20,56.1
2017-01-23,56.95
2017-01-24,57.25
2017-01-25,57.45
2017-01-27,57.25
2017-01-30,61.9
2017-01-31,60.5
2017-02-01,59.35
2017-02-02,58.0
2017-02-03,58.55
2017-02-06,59.2
2017-02-07,58.5
2017-02-08,58.55
2017-02-09,59.35
2017-02-10,58.65
2017-02-13,59.25
2017-02-14,59.95
2017-02-15,58.25
2017-02-16,59.95
2017-02-17,59.4
2017-02-20,59.65
2017-02-21,59.6
2017-02-22,59.55
2017-02-23,59.6
2017-02-27,62.75
2017-02-28,62.7
2017-03-01,62.85
2017-03-02,60.3
2017-03-03,60.2
2017-03-06,60.9
2017-03-07,59.6
2017-03-08,58.25
2017-03-09,58.05
2017-03-10,58.9
2017-03-14,59.35
2017-03-15,59.35
2017-03-16,62.4
2017-03-17,61.45
2017-03-20,60.25
2017-03-21,59.95
2017-03-22,58.7
2017-03-23,63.3
2017-03-24,63.35
2017-03-27,61.9
2017-03-28,62.0
2017-03-29,63.85
2017-03-30,65.95
2017-03-31,67.2
2017-04-03,68.2
2017-04-05,67.25
2017-04-06,68.7
2017-04-07,66.25
2017-04-10,68.05
2017-04-11,68.65
2017-04-12,65.05
2017-04-13,64.5
2017-04-17,65.45
2017-04-18,64.25
2017-04-19,63.95
2017-04-20,66.1
2017-04-21,65.5
2017-04-24,66.85
2017-04-25,65.8
2017-04-26,64.95
2017-04-27,65.05
2017-04-28,64.85
2017-05-02,67.85
2017-05-03,66.55
2017-05-04,65.45
2017-05-05,63.85
2017-05-08,65.0
2017-05-09,66.85
2017-05-10,67.3
2017-05-11,67.4
2017-05-12,65.8
2017-05-15,65.9
2017-05-16,66.35
2017-05-17,65.9
2017-05-18,63.95
2017-05-19,63.5
2017-05-22,63.4
2017-05-23,60.8
2017-05-24,55.95
2017-05-25,57.6
2017-05-26,58.2
2017-05-29,54.85
2017-05-30,56.05
2017-05-31,56.05
2017-06-01,56.55
2017-06-02,56.45
2017-06-05,56.25
2017-06-06,55.05
2017-06-07,55.3
2017-06-08,56.25
2017-06-09,56.85
2017-06-12,56.4
2017-06-13,55.65
2017-06-14,55.45
2017-06-15,55.4
2017-06-16,55.45
2017-06-19,55.0
2017-06-20,56.75
2017-06-21,56.95
2017-06-22,60.1
2017-06-23,60.8
2017-06-27,60.0
2017-06-28,58.5
2017-06-29,58.8
2017-06-30,60.6
2017-07-03,60.85
2017-07-04,60.75
2017-07-05,61.0
2017-07-06,60.95
2017-07-07,61.3
2017-07-10,61.7
2017-07-11,62.15
2017-07-12,62.65
2017-07-13,61.1
2017-07-14,60.6
2017-07-17,60.55
2017-07-18,59.3
2017-07-19,59.15
2017-07-20,59.45
2017-07-21,59.55
2017-07-24,60.75
2017-07-25,61.05
2017-07-26,61.45
2017-07-27,62.45
2017-07-28,62.85
2017-07-31,62.25
2017-08-01,61.95
2017-08-02,59.75
2017-08-03,58.25
2017-08-04,58.2
2017-08-07,58.9
2017-08-08,56.5
2017-08-09,54.9
2017-08-10,50.95
2017-08-11,51.2
2017-08-14,52.6
2017-08-16,53.35
2017-08-17,53.25
2017-08-18,52.9
2017-08-21,52.25
2017-08-22,52.4
2017-08-23,52.45
2017-08-24,52.85
2017-08-28,53.25
2017-08-29,53.5
2017-08-30,54.0
2017-08-31,57.75
2017-09-01,57.8
2017-09-04,56.15
2017-09-05,56.4
2017-09-06,56.3
2017-09-07,56.4
2017-09-08,55.95
2017-09-11,55.9
2017-09-12,56.5
2017-09-13,59.65
2017-09-14,59.35
2017-09-15,57.95
2017-09-18,58.05
2017-09-19,59.15
2017-09-20,57.0
2017-09-21,56.25
2017-09-22,54.2
2017-09-25,53.15
2017-09-26,53.85
2017-09-27,53.1
2017-09-28,52.35
2017-09-29,52.65
2017-10-03,51.5
2017-10-04,51.35
2017-10-05,51.1
2017-10-06,51.6
2017-10-09,52.8
2017-10-10,53.35
2017-10-11,52.7
2017-10-12,53.05
2017-10-13,52.9
2017-10-16,51.5
2017-10-17,51.2
2017-10-18,51.0
2017-10-19,51.05
2017-10-23,51.7
2017-10-24,51.65
2017-10-25,51.95
2017-10-26,52.4
2017-10-27,51.2
2017-10-30,52.65
2017-10-31,54.2
2017-11-01,54.1
2017-11-02,53.85
2017-11-03,53.45
2017-11-06,51.5
2017-11-07,50.65
2017-11-08,50.05
2017-11-09,50.15
2017-11-10,49.95
2017-11-13,48.0
2017-11-14,47.65
2017-11-15,43.65
2017-11-16,42.15
2017-11-17,41.7
2017-11-20,42.35
2017-11-21,43.6
2017-11-22,43.9
2017-11-23,43.6
2017-11-24,43.95
2017-11-27,44.7
2017-11-28,41.0
2017-11-29,40.0
2017-11-30,39.4
2017-12-01,38.8
2017-12-04,35.55
2017-12-05,34.9
2017-12-06,36.2
2017-12-07,36.65
2017-12-08,36.7
2017-12-11,36.65
2017-12-12,36.45
2017-12-13,35.15
2017-12-14,35.15
2017-12-15,35.35
2017-12-18,34.9
2017-12-19,35.6
2017-12-20,39.35
2017-12-21,39.6
2017-12-22,43.2
2017-12-26,45.5
2017-12-27,47.25
2017-12-28,48.55
2017-12-29,49.3
