Date,GREENPOWER
2015-02-12,16.1
2015-02-13,15.9
2015-02-16,16.0
2015-02-18,17.45
2015-02-19,17.8
2015-02-20,18.6
2015-02-23,18.6
2015-02-24,18.0
2015-02-25,18.35
2015-02-26,17.9
2015-02-27,18.75
2015-02-28,17.55
2015-03-02,16.75
2015-03-03,17.1
2015-03-04,16.95
2015-03-05,16.7
2015-03-09,16.4
2015-03-10,16.0
2015-03-11,16.0
2015-03-12,15.95
2015-03-13,15.7
2015-03-16,15.3
2015-03-17,15.1
2015-03-18,15.45
2015-03-19,15.05
2015-03-20,14.7
2015-03-23,14.5
2015-03-24,14.35
2015-03-25,14.25
2015-03-26,14.5
2015-03-27,14.05
2015-03-30,14.35
2015-03-31,14.55
2015-04-01,15.3
2015-04-06,15.3
2015-04-07,15.45
2015-04-08,15.4
2015-04-09,15.2
2015-04-10,15.3
2015-04-13,15.35
2015-04-15,15.15
2015-04-16,14.7
2015-04-17,14.85
2015-04-20,14.3
2015-04-21,14.4
2015-04-22,14.3
2015-04-23,14.3
2015-04-24,14.05
2015-04-27,13.7
2015-04-28,13.95
2015-04-29,13.95
2015-04-30,13.7
2015-05-04,14.15
2015-05-05,14.2
2015-05-06,13.65
2015-05-07,13.35
2015-05-08,13.25
2015-05-11,13.25
2015-05-12,12.65
2015-05-13,13.3
2015-05-14,13.05
2015-05-15,12.8
2015-05-18,12.85
2015-05-19,13.15
2015-05-20,13.05
2015-05-21,13.45
2015-05-22,13.15
2015-05-25,13.1
2015-05-26,13.15
2015-05-27,13.05
2015-05-28,12.75
2015-05-29,12.65
2015-06-01,13.0
2015-06-02,12.65
2015-06-03,12.2
2015-06-04,12.05
2015-06-05,12.75
2015-06-08,12.55
2015-06-09,12.6
2015-06-10,12.85
2015-06-11,14.05
2015-06-12,13.5
2015-06-15,14.3
2015-06-16,14.1
2015-06-17,14.15
2015-06-18,14.15
2015-06-19,14.0
2015-06-22,13.85
2015-06-23,14.05
2015-06-24,14.0
2015-06-25,13.85
2015-06-26,13.6
2015-06-29,13.4
2015-06-30,13.3
2015-07-01,13.55
2015-07-02,13.45
2015-07-03,13.2
2015-07-06,13.4
2015-07-07,13.7
2015-07-08,13.6
2015-07-09,13.6
2015-07-10,13.8
2015-07-13,13.95
2015-07-14,13.8
2015-07-15,13.85
2015-07-16,14.35
2015-07-17,14.25
2015-07-20,14.8
2015-07-21,13.95
2015-07-22,14.2
2015-07-23,14.25
2015-07-24,14.15
2015-07-27,13.7
2015-07-28,13.9
2015-07-29,13.55
2015-07-30,13.8
2015-07-31,13.85
2015-08-03,13.8
2015-08-04,13.95
2015-08-05,14.8
2015-08-06,14.55
2015-08-07,14.7
2015-08-10,14.4
2015-08-11,14.85
2015-08-12,13.95
2015-08-13,13.55
2015-08-14,13.45
2015-08-17,13.8
2015-08-18,14.05
2015-08-19,13.8
2015-08-20,13.6
2015-08-21,13.0
2015-08-24,11.1
2015-08-25,11.9
2015-08-26,11.55
2015-08-27,11.8
2015-08-28,11.85
2015-08-31,11.9
2015-09-01,11.65
2015-09-02,11.75
2015-09-03,11.85
2015-09-04,11.3
2015-09-07,10.35
2015-09-08,10.25
2015-09-09,11.05
2015-09-10,10.6
2015-09-11,11.05
2015-09-14,11.25
2015-09-15,11.05
2015-09-16,11.25
2015-09-18,11.2
2015-09-21,11.15
2015-09-22,11.0
2015-09-23,11.45
2015-09-24,11.9
2015-09-28,11.65
2015-09-29,11.55
2015-09-30,11.5
2015-10-01,11.45
2015-10-05,11.7
2015-10-06,11.7
2015-10-07,11.9
2015-10-08,11.75
2015-10-09,11.9
2015-10-12,11.95
2015-10-13,11.9
2015-10-14,11.8
2015-10-15,12.7
