Date,SURYAROSNI
2016-03-17,132.4
2016-03-18,132.5
2016-03-21,136.2
2016-03-22,137.9
2016-03-23,136.25
2016-03-28,132.35
2016-03-29,142.05
2016-03-30,144.3
2016-03-31,142.65
2016-04-01,146.9
2016-04-04,147.6
2016-04-05,139.8
2016-04-06,144.6
2016-04-07,141.75
2016-04-08,143.3
2016-04-11,149.5
2016-04-12,152.8
2016-04-13,153.65
2016-04-18,155.7
2016-04-20,156.05
2016-04-21,153.05
2016-04-22,153.6
2016-04-25,151.1
2016-04-26,156.75
2016-04-27,155.05
2016-04-28,149.4
2016-04-29,149.55
2016-05-02,149.75
2016-05-03,149.75
2016-05-04,146.0
2016-05-05,147.25
2016-05-06,147.15
2016-05-09,149.0
2016-05-10,151.6
2016-05-11,148.8
2016-05-12,150.65
2016-05-13,148.5
2016-05-16,150.05
2016-05-17,149.15
2016-05-18,153.2
2016-05-19,150.7
2016-05-20,149.45
2016-05-23,151.55
2016-05-24,148.9
2016-05-25,152.5
2016-05-26,154.0
2016-05-27,157.65
2016-05-30,151.65
2016-05-31,150.35
2016-06-01,151.15
2016-06-02,162.45
2016-06-03,155.45
2016-06-06,156.0
2016-06-07,157.05
2016-06-08,156.5
2016-06-09,160.7
2016-06-10,158.7
2016-06-13,163.25
2016-06-14,162.5
2016-06-15,163.9
2016-06-16,159.45
2016-06-17,159.7
2016-06-20,161.8
2016-06-21,162.25
2016-06-22,162.75
2016-06-23,162.5
2016-06-24,157.95
2016-06-27,165.2
2016-06-28,176.95
2016-06-29,167.1
2016-06-30,166.5
2016-07-01,167.25
2016-07-04,167.25
2016-07-05,164.15
2016-07-07,166.1
2016-07-08,166.95
2016-07-11,172.0
2016-07-12,168.45
2016-07-13,167.4
2016-07-14,167.05
2016-07-15,164.55
2016-07-18,162.85
2016-07-19,160.5
2016-07-20,165.35
2016-07-21,162.5
2016-07-22,167.35
2016-07-25,167.1
2016-07-26,167.0
2016-07-27,164.8
2016-07-28,166.15
2016-07-29,168.75
2016-08-01,172.0
2016-08-02,170.2
2016-08-03,166.9
2016-08-04,170.9
2016-08-05,170.95
2016-08-08,168.5
2016-08-09,172.6
2016-08-10,168.05
2016-08-11,170.8
2016-08-12,172.45
2016-08-16,169.65
2016-08-17,171.8
2016-08-18,173.5
2016-08-19,175.8
2016-08-22,174.7
2016-08-23,175.0
2016-08-24,175.35
2016-08-25,178.1
2016-08-26,180.45
2016-08-29,182.95
2016-08-30,182.55
2016-08-31,184.65
2016-09-01,190.85
2016-09-02,194.2
2016-09-06,198.65
2016-09-07,204.3
2016-09-08,192.4
2016-09-09,194.65
2016-09-12,191.8
2016-09-14,195.95
2016-09-15,200.6
2016-09-16,199.9
2016-09-19,202.9
2016-09-20,207.0
2016-09-21,221.8
2016-09-22,230.85
2016-09-23,224.65
2016-09-26,227.65
2016-09-27,230.1
2016-09-28,234.2
2016-09-29,204.35
2016-09-30,216.3
2016-10-03,228.4
2016-10-04,228.6
2016-10-05,229.5
2016-10-06,224.75
2016-10-07,223.5
2016-10-10,224.05
2016-10-13,214.8
2016-10-14,212.9
2016-10-17,216.25
2016-10-18,229.45
2016-10-19,226.45
2016-10-20,233.7
2016-10-21,236.7
2016-10-24,238.9
2016-10-25,233.7
2016-10-26,238.8
2016-10-27,240.1
2016-10-28,239.8
2016-10-30,240.5
2016-11-01,239.2
2016-11-02,232.75
2016-11-03,230.5
2016-11-04,222.6
2016-11-07,224.4
2016-11-08,220.15
2016-11-09,212.15
2016-11-10,220.8
2016-11-11,209.3
2016-11-15,193.15
2016-11-16,197.9
2016-11-17,199.8
2016-11-18,200.5
2016-11-21,186.3
2016-11-22,187.65
2016-11-23,193.95
2016-11-24,192.75
2016-11-25,198.5
2016-11-28,197.35
