Date,BAJFINANCE
2014-12-04,3131.0
2014-12-05,3199.8
2014-12-08,3254.7
2014-12-09,3251.45
2014-12-10,3195.6
2014-12-11,3302.5
2014-12-12,3303.8
2014-12-15,3343.35
2014-12-16,3158.15
2014-12-17,3200.75
2014-12-18,3324.55
2014-12-19,3326.7
2014-12-22,3329.2
2014-12-23,3483.6
2014-12-24,3424.8
2014-12-26,3459.4
2014-12-29,3467.05
2014-12-30,3459.15
2014-12-31,3483.95
2015-01-01,3499.7
2015-01-02,3443.75
2015-01-05,3434.75
2015-01-06,3425.85
2015-01-07,3495.6
2015-01-08,3489.65
2015-01-09,3450.05
2015-01-12,3438.2
2015-01-13,3483.0
2015-01-14,3773.95
2015-01-15,3860.2
2015-01-16,3937.8
2015-01-19,3901.75
2015-01-20,3904.75
2015-01-21,3817.4
2015-01-22,3840.65
2015-01-23,3870.15
2015-01-27,4169.55
2015-01-28,4322.6
2015-01-29,4128.4
2015-01-30,4050.55
2015-02-02,4160.1
2015-02-03,4172.3
2015-02-04,4107.2
2015-02-05,4130.5
2015-02-06,4042.5
2015-02-09,4007.0
2015-02-10,4003.8
2015-02-11,4112.35
2015-02-12,4126.25
2015-02-13,4184.4
2015-02-16,4306.25
2015-02-18,4319.0
2015-02-19,4309.45
2015-02-20,4191.2
2015-02-23,4162.55
2015-02-24,4120.35
2015-02-25,4081.5
2015-02-26,4096.85
2015-02-27,4107.1
2015-02-28,4384.95
2015-03-02,4371.35
2015-03-03,4329.9
2015-03-04,4312.95
2015-03-05,4341.85
2015-03-09,4214.9
2015-03-10,4182.5
2015-03-11,4132.7
2015-03-12,4139.5
2015-03-13,4107.6
2015-03-16,4005.1
2015-03-17,4033.9
2015-03-18,4048.05
2015-03-19,4035.5
2015-03-20,4020.5
2015-03-23,3993.0
2015-03-24,3968.05
2015-03-25,3948.2
2015-03-26,3956.55
2015-03-27,3961.65
2015-03-30,3999.65
2015-03-31,4108.45
2015-04-01,4140.05
2015-04-06,4240.85
2015-04-07,4341.2
2015-04-08,4489.2
2015-04-09,4504.65
2015-04-10,4522.1
2015-04-13,4453.75
2015-04-15,4456.0
2015-04-16,4584.95
2015-04-17,4529.45
2015-04-20,4558.25
2015-04-21,4373.4
2015-04-22,4279.9
2015-04-23,4274.65
2015-04-24,4139.9
2015-04-27,3995.2
2015-04-28,4007.8
2015-04-29,3989.5
2015-04-30,4044.3
2015-05-04,4192.65
2015-05-05,4290.15
2015-05-06,4285.4
2015-05-07,4180.55
2015-05-08,4344.45
2015-05-11,4347.1
2015-05-12,4341.5
2015-05-13,4327.1
2015-05-14,4384.7
2015-05-15,4483.9
2015-05-18,4460.55
2015-05-19,4481.55
2015-05-20,4498.75
2015-05-21,4577.0
2015-05-22,4507.0
2015-05-25,4503.35
2015-05-26,4483.3
2015-05-27,4411.6
2015-05-28,4424.2
2015-05-29,4216.55
2015-06-01,4379.9
2015-06-02,4284.7
2015-06-03,4324.85
2015-06-04,4352.25
2015-06-05,4450.65
2015-06-08,4472.7
2015-06-09,4582.35
2015-06-10,4553.2
2015-06-11,4665.3
2015-06-12,4676.45
2015-06-15,4715.3
2015-06-16,4700.15
2015-06-17,4776.2
2015-06-18,4902.9
2015-06-19,5158.05
2015-06-22,5386.3
2015-06-23,5319.1
2015-06-24,5253.7
2015-06-25,5384.9
2015-06-26,5435.75
2015-06-29,5455.35
2015-06-30,5443.4
2015-07-01,5498.2
2015-07-02,5450.6
2015-07-03,5561.1
2015-07-06,5564.25
2015-07-07,5558.0
2015-07-08,5225.9
2015-07-09,5021.35
2015-07-10,5024.7
2015-07-13,5095.35
2015-07-14,5082.25
2015-07-15,5157.75
2015-07-16,5248.9
2015-07-17,5178.85
2015-07-20,5171.5
2015-07-21,5106.75
2015-07-22,5131.3
2015-07-23,5140.2
2015-07-24,5170.1
2015-07-27,5228.2
2015-07-28,5339.35
2015-07-29,5439.55
2015-07-30,5440.6
2015-07-31,5511.3
2015-08-03,5682.35
2015-08-04,5626.9
2015-08-05,5562.05
2015-08-06,5460.45
2015-08-07,5482.65
2015-08-10,5438.7
2015-08-11,5452.3
2015-08-12,5311.9
2015-08-13,5356.0
2015-08-14,5411.75
2015-08-17,5399.95
2015-08-18,5397.55
2015-08-19,5391.0
2015-08-20,5307.8
2015-08-21,5344.35
2015-08-24,4870.8
2015-08-25,4915.55
2015-08-26,4967.25
2015-08-27,5099.95
2015-08-28,5052.5
2015-08-31,5021.2
2015-09-01,4935.05
2015-09-02,5021.95
2015-09-03,5202.2
2015-09-04,5075.6
2015-09-07,5039.05
2015-09-08,5011.6
2015-09-09,5049.95
2015-09-10,5054.7
2015-09-11,5036.85
2015-09-14,5148.85
2015-09-15,5246.95
2015-09-16,5200.1
2015-09-18,4965.6
2015-09-21,4935.9
2015-09-22,4821.4
2015-09-23,4844.9
2015-09-24,4868.1
2015-09-28,4822.75
2015-09-29,5110.95
2015-09-30,5131.25
2015-10-01,5107.55
2015-10-05,5207.55
2015-10-06,5165.4
2015-10-07,5120.1
2015-10-08,5041.45
2015-10-09,4996.35
2015-10-12,4963.4
2015-10-13,4976.65
2015-10-14,4939.9
2015-10-15,4984.35
2015-10-16,4980.4
2015-10-19,5015.45
2015-10-20,5310.85
2015-10-21,5358.05
2015-10-23,5273.05
2015-10-26,5307.9
2015-10-27,5320.8
2015-10-28,5208.25
2015-10-29,5162.1
2015-10-30,5222.35
2015-11-02,5223.2
2015-11-03,5253.4
2015-11-04,5344.95
2015-11-05,5325.65
2015-11-06,5297.35
2015-11-09,5346.15
2015-11-10,5342.2
2015-11-11,5385.35
2015-11-13,5310.65
2015-11-16,5272.1
2015-11-17,5230.4
2015-11-18,5275.8
2015-11-19,5417.0
2015-11-20,5448.25
2015-11-23,5496.8
2015-11-24,5544.8
2015-11-26,5550.5
2015-11-27,5579.35
2015-11-30,5515.15
2015-12-01,5603.8
2015-12-02,5572.65
2015-12-03,5546.15
2015-12-04,5447.1
2015-12-07,5476.7
2015-12-08,5537.2
2015-12-09,5504.45
2015-12-10,5537.75
2015-12-11,5524.6
2015-12-14,5437.95
2015-12-15,5605.9
2015-12-16,5608.25
2015-12-17,5736.8
2015-12-18,5813.8
2015-12-21,5869.8
2015-12-22,5895.45
2015-12-23,5911.5
2015-12-24,5900.9
2015-12-28,5906.35
2015-12-29,5986.4
2015-12-30,5974.2
2015-12-31,6009.95
2016-01-01,6095.85
2016-01-04,6052.45
2016-01-05,5997.85
2016-01-06,6107.25
2016-01-07,6106.3
2016-01-08,6314.5
2016-01-11,6306.2
2016-01-12,6208.8
2016-01-13,6077.85
2016-01-14,6075.9
2016-01-15,5975.3
2016-01-18,5503.2
2016-01-19,5644.9
2016-01-20,5639.4
2016-01-21,5742.05
2016-01-22,5820.65
2016-01-25,5856.3
2016-01-27,5936.95
2016-01-28,5776.05
2016-01-29,5928.4
2016-02-01,6003.15
2016-02-02,5811.4
2016-02-03,6379.75
2016-02-04,6343.9
2016-02-05,6698.35
2016-02-08,6660.15
2016-02-09,6584.05
2016-02-10,6478.6
2016-02-11,6179.2
2016-02-12,5996.75
2016-02-15,6209.95
2016-02-16,6011.4
2016-02-17,6110.95
2016-02-18,6163.95
2016-02-19,6048.1
2016-02-22,6002.45
2016-02-23,5894.85
2016-02-24,5814.2
2016-02-25,5752.9
2016-02-26,5808.45
2016-02-29,5932.05
2016-03-01,6208.85
2016-03-02,6370.9
2016-03-03,6207.7
2016-03-04,6334.55
2016-03-08,6293.05
2016-03-09,6423.8
2016-03-10,6404.9
2016-03-11,6400.4
2016-03-14,6516.75
2016-03-15,6474.15
2016-03-16,6482.35
2016-03-17,6581.55
2016-03-18,6632.4
2016-03-21,6654.0
2016-03-22,6607.55
2016-03-23,6874.2
2016-03-28,6700.2
2016-03-29,6656.75
2016-03-30,6787.75
2016-03-31,6924.15
2016-04-01,6877.5
2016-04-04,6869.7
2016-04-05,6823.55
2016-04-06,6947.55
2016-04-07,6982.6
2016-04-08,7133.5
2016-04-11,7193.2
2016-04-12,7335.5
2016-04-13,7430.4
2016-04-18,7313.9
2016-04-20,7213.4
2016-04-21,6986.5
2016-04-22,6971.15
2016-04-25,6853.85
2016-04-26,7004.35
2016-04-27,6945.65
2016-04-28,6967.1
2016-04-29,6829.1
2016-05-02,7053.75
2016-05-03,6985.5
2016-05-04,6954.2
2016-05-05,7155.5
2016-05-06,7264.45
2016-05-09,7378.65
2016-05-10,7412.3
2016-05-11,7482.85
2016-05-12,7670.15
2016-05-13,7626.15
2016-05-16,7771.1
2016-05-17,7758.4
2016-05-18,7742.55
2016-05-19,7738.2
2016-05-20,7770.5
2016-05-23,7653.7
2016-05-24,7625.55
2016-05-25,7337.25
2016-05-26,7458.35
2016-05-27,7667.9
2016-05-30,7643.45
2016-05-31,7588.8
2016-06-01,7642.4
2016-06-02,7964.55
2016-06-03,7899.55
2016-06-06,7774.1
2016-06-07,7687.25
2016-06-08,7747.95
2016-06-09,7718.95
2016-06-10,7595.65
2016-06-13,7500.6
2016-06-14,7491.9
2016-06-15,7651.2
2016-06-16,7596.25
2016-06-17,7530.15
2016-06-20,7539.85
2016-06-21,7606.05
2016-06-22,7599.05
2016-06-23,7696.9
2016-06-24,7588.1
2016-06-27,7695.6
2016-06-28,7696.65
2016-06-29,7685.8
2016-06-30,7996.7
2016-07-01,8167.2
2016-07-04,8204.35
2016-07-05,8170.0
2016-07-07,8095.65
2016-07-08,8207.8
2016-07-11,8567.5
2016-07-12,8627.15
2016-07-13,8575.3
2016-07-14,8670.15
