Date,BAJAJHIND
2015-07-31,14.7
2015-08-03,15.0
2015-08-04,14.35
2015-08-05,15.45
2015-08-06,15.35
2015-08-07,15.35
2015-08-10,15.55
2015-08-11,15.25
2015-08-12,14.5
2015-08-13,14.75
2015-08-14,14.95
2015-08-17,14.85
2015-08-18,14.8
2015-08-19,14.7
2015-08-20,14.4
2015-08-21,14.15
2015-08-24,12.5
2015-08-25,11.8
2015-08-26,11.9
2015-08-27,12.1
2015-08-28,12.45
2015-08-31,12.45
2015-09-01,12.15
2015-09-02,12.95
2015-09-03,12.7
2015-09-04,12.45
2015-09-07,13.2
2015-09-08,12.8
2015-09-09,12.9
2015-09-10,12.95
2015-09-11,13.05
2015-09-14,13.0
2015-09-15,12.9
2015-09-16,12.75
2015-09-18,13.1
2015-09-21,13.35
2015-09-22,13.15
2015-09-23,13.2
2015-09-24,13.1
2015-09-28,13.6
2015-09-29,13.5
2015-09-30,14.0
2015-10-01,14.15
2015-10-05,14.65
2015-10-06,16.5
2015-10-07,18.25
2015-10-08,18.0
2015-10-09,18.25
2015-10-12,17.7
2015-10-13,18.5
2015-10-14,18.05
2015-10-15,18.0
2015-10-16,17.75
2015-10-19,18.05
2015-10-20,19.45
2015-10-21,21.55
2015-10-23,21.15
2015-10-26,19.7
2015-10-27,20.55
2015-10-28,20.15
2015-10-29,20.6
2015-10-30,19.9
2015-11-02,19.95
2015-11-03,20.45
2015-11-04,18.95
2015-11-05,17.9
2015-11-06,17.7
2015-11-09,18.9
2015-11-10,18.35
2015-11-11,18.8
2015-11-13,20.65
2015-11-16,21.85
2015-11-17,22.0
2015-11-18,21.7
2015-11-19,20.15
2015-11-20,19.7
2015-11-23,19.4
2015-11-24,19.6
2015-11-26,19.25
2015-11-27,19.05
2015-11-30,18.4
2015-12-01,18.45
2015-12-02,19.1
2015-12-03,18.45
2015-12-04,18.05
2015-12-07,17.95
2015-12-08,17.4
2015-12-09,16.6
2015-12-10,17.15
2015-12-11,16.85
2015-12-14,17.15
2015-12-15,17.95
2015-12-16,17.5
2015-12-17,17.8
2015-12-18,17.25
2015-12-21,17.4
2015-12-22,17.85
2015-12-23,17.5
2015-12-24,17.6
2015-12-28,17.6
2015-12-29,17.5
2015-12-30,17.65
2015-12-31,17.8
2016-01-01,18.5
2016-01-04,18.95
2016-01-05,18.65
2016-01-06,19.45
2016-01-07,18.35
2016-01-08,20.2
2016-01-11,20.25
2016-01-12,19.7
2016-01-13,19.45
2016-01-14,18.8
2016-01-15,17.7
2016-01-18,16.7
2016-01-19,17.1
2016-01-20,16.25
2016-01-21,16.05
2016-01-22,16.75
2016-01-25,16.7
2016-01-27,16.45
2016-01-28,16.3
2016-01-29,16.8
2016-02-01,17.3
2016-02-02,16.8
2016-02-03,16.3
2016-02-04,15.95
2016-02-05,16.4
2016-02-08,16.55
2016-02-09,16.6
2016-02-10,16.1
2016-02-11,14.4
2016-02-12,14.1
2016-02-15,14.8
2016-02-16,14.2
2016-02-17,14.4
2016-02-18,14.7
2016-02-19,14.65
2016-02-22,14.65
2016-02-23,14.55
2016-02-24,14.85
2016-02-25,14.85
2016-02-26,14.95
2016-02-29,14.8
2016-03-01,15.2
